A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
MZ,MZ,15,0.75,0.000332,2255.8,,0.0,0.0,True
MZ,-,3,0.15,0.000177,845.925,1591.4471,0.0,2e-08,True
<rx>,>,3,1.0,0.001662,601.5467,,0.0,2e-08,True
3>,3,5,1.0,0.002926,341.7879,,0.0,0.0,True
>,2,13,0.171053,0.00051,335.5309,929.1905,0.0,0.0,True
<xr>,x,21,0.875,0.00297,294.6007,2786.3097,0.0,0.0,True
(9),22,3,0.057692,0.000199,289.2051,459.7755,1.2e-07,4e-07,True
22,(9),3,0.333333,0.001263,263.8363,417.1574,1.6e-07,5.3e-07,True
2,(10),3,0.136364,0.000621,219.7208,284.6463,3.3e-07,1.05e-06,True
(10),2,3,0.111111,0.00051,217.9517,281.6812,3.4e-07,1.06e-06,True
(8),<lp>,4,0.190476,0.001286,148.1642,196.2571,1e-08,5e-08,True
<(2)la>,r,8,1.0,0.007979,125.3222,,0.0,0.0,True
r,<lg(2r)>,11,0.030471,0.000244,124.9751,,0.0,0.0,True
r,<(2)la>,8,0.022161,0.000177,124.9751,,0.0,0.0,True
<(2r)lg>,(2),4,1.0,0.009575,104.4352,,1e-08,3e-08,True
2222,(2),3,1.0,0.009575,104.4352,,8.7e-07,2.56e-06,True
(2),<(2r)lg>,4,0.009174,8.9e-05,103.4771,,1e-08,3e-08,True
(2),2222,3,0.006881,6.6e-05,103.4771,,9e-07,2.61e-06,True
(4),222,3,0.014286,0.000155,92.0735,162.6884,3.43e-06,9.75e-06,True
222,(4),3,0.428571,0.004743,90.3525,159.59,3.63e-06,1.02e-05,True
r,r,250,0.692521,0.007979,86.7882,914.1073,0.0,0.0,True
<(3)lxl>,(3),11,0.916667,0.011083,82.7127,1003.6094,0.0,0.0,True
<glla>,<xr>,7,0.042169,0.000532,79.2701,116.3637,0.0,0.0,True
r,3>,3,0.00831,0.000111,74.985,187.5126,5.02e-06,1.358e-05,True
<(3)l3l>,(3),4,0.8,0.011083,72.1856,359.7984,7e-08,2.5e-07,True
2,(6),3,0.136364,0.001995,68.3576,81.6824,1.15e-05,3.027e-05,True
>,3,14,0.184211,0.002926,62.9609,85.9634,0.0,0.0,True
x,<lg>,4,0.022222,0.000377,58.9752,78.5367,5.6e-07,1.69e-06,True
2,(4),6,0.272727,0.004743,57.497,80.9243,0.0,0.0,True
(4),2,6,0.028571,0.00051,56.0447,77.6626,0.0,0.0,True
3,<xr>,3,0.028846,0.000532,54.226,63.6365,2.325e-05,5.812e-05,True
(5),<2>,3,0.008721,0.000177,49.1817,78.7689,2.392e-05,5.833e-05,True
<2>,(5),3,0.375,0.007625,49.1817,78.7689,2.392e-05,5.833e-05,True
(7),<lp>,4,0.0625,0.001286,48.6164,55.5531,1.47e-06,4.24e-06,True
3,<glla>,19,0.182692,0.003857,47.3698,64.6894,0.0,0.0,True
<apglpl>,a,3,1.0,0.023517,42.5221,,1.297e-05,3.378e-05,True
a,<rx>,3,0.002618,6.6e-05,39.3682,,1.635e-05,4.213e-05,True
<glplap>,g,3,1.0,0.025512,39.1972,,1.656e-05,4.225e-05,True
<2>,(2),3,0.375,0.009575,39.1632,62.4881,4.711e-05,0.00011007,True
(2),<2>,3,0.006881,0.000177,38.8039,61.9053,4.842e-05,0.00011208,True
222,(3),3,0.428571,0.011083,38.6709,67.3219,4.581e-05,0.00010805,True
<agll>,a,9,0.9,0.023517,38.2699,376.8878,0.0,0.0,True
<lp>,(7),3,0.052632,0.001441,36.5312,40.3199,7.899e-05,0.00017323,True
<4,r,4,0.285714,0.007979,35.8063,50.2764,3.75e-06,1.041e-05,True
(6),<lp>,4,0.045977,0.001286,35.7638,40.1383,5.05e-06,1.358e-05,True
r,<4,4,0.01108,0.00031,35.7072,50.1345,3.79e-06,1.041e-05,True
<la>,(4),11,0.169231,0.004743,35.6776,45.0035,0.0,0.0,True
22,(2),3,0.333333,0.009575,34.8117,52.0723,7.016e-05,0.00015662,True
(2),22,3,0.006881,0.000199,34.4924,51.5866,7.211e-05,0.00015953,True
3,<la>,5,0.048077,0.001441,33.3698,37.8384,4.4e-07,1.37e-06,True
(3),22,3,0.006,0.000199,30.0773,44.8793,0.00010815,0.00023308,True
22,(3),3,0.333333,0.011083,30.0773,44.8793,0.00010815,0.00023308,True
<gl>,(3),9,0.310345,0.011083,28.003,40.8721,0.0,0.0,True
3,(2),27,0.259615,0.009575,27.113,38.6208,0.0,0.0,True
<lp>,(6),3,0.052632,0.001995,26.3836,28.7178,0.00020776,0.00043431,True
3,(4),13,0.125,0.004743,26.3528,31.8486,0.0,0.0,True
g,<lxl(3)>,3,0.002778,0.000111,25.0644,61.3287,0.00013195,0.00028195,True
(2),<lp>,13,0.029817,0.001286,23.1931,30.4836,0.0,0.0,True
a,<pl>,8,0.006981,0.00031,22.4961,51.5103,0.0,0.0,True
(11),g,12,0.571429,0.025512,22.3984,51.4557,0.0,0.0,True
(3),<la>,16,0.032,0.001441,22.211,30.0671,0.0,0.0,True
(6),>,3,0.034483,0.001662,20.743,22.3001,0.00042302,0.00085979,True
a,(11),11,0.009599,0.000465,20.6215,42.6044,0.0,0.0,True
3,(7),3,0.028846,0.001441,20.0219,21.5347,0.00046846,0.00093692,True
IMZ,a,6,0.461538,0.023517,19.6256,35.7871,2.5e-07,8.1e-07,True
r,x,21,0.058172,0.00297,19.5856,24.4009,0.0,0.0,True
3,(6),4,0.038462,0.001995,19.2803,20.8958,5.845e-05,0.00013285,True
(4),<lp>,5,0.02381,0.001286,18.5205,20.641,7.81e-06,2.077e-05,True
2,(5),3,0.136364,0.007625,17.8842,20.7222,0.00060769,0.00120573,True
(7),g,29,0.453125,0.025512,17.7612,32.4413,0.0,0.0,True
(3),<lp>,11,0.022,0.001286,17.113,21.3314,0.0,0.0,True
(9),g,22,0.423077,0.025512,16.5834,28.5376,0.0,0.0,True
<glla>,g,70,0.421687,0.025512,16.5289,29.5909,0.0,0.0,True
a,(7),27,0.02356,0.001441,16.353,27.8953,0.0,0.0,True
p,<glplap>,3,0.00104,6.6e-05,15.6436,,0.00026096,0.00053917,True
3,(3),18,0.173077,0.011083,15.6171,19.3366,0.0,0.0,True
(5),g,134,0.389535,0.025512,15.2687,27.4532,0.0,0.0,True
a,(5),133,0.116056,0.007625,15.2209,27.2287,0.0,0.0,True
a,(9),22,0.019197,0.001263,15.1948,24.5696,0.0,0.0,True
(2),(10),4,0.009174,0.000621,14.7824,17.2284,0.00014657,0.00031053,True
<lp>,(2),8,0.140351,0.009575,14.6576,17.1871,7e-08,2.5e-07,True
2,(2),3,0.136364,0.009575,14.2412,16.4391,0.00117266,0.00225512,True
x,r,20,0.111111,0.007979,13.9247,16.3956,0.0,0.0,True
a,<glla>,60,0.052356,0.003857,13.5753,21.2542,0.0,0.0,True
a,(14),5,0.004363,0.000332,13.1227,19.2638,2.546e-05,6.062e-05,True
g,>,23,0.021296,0.001662,12.8107,18.4054,0.0,0.0,True
p,p,2282,0.791262,0.063991,12.3653,260.8188,0.0,0.0,True
<3l>,p,3,0.75,0.063991,11.7205,43.9265,0.00099689,0.00194705,True
x,<glla>,8,0.044444,0.003857,11.5239,12.5441,5.5e-07,1.69e-06,True
>,a,20,0.263158,0.023517,11.19,15.095,0.0,0.0,True
(2),>,8,0.018349,0.001662,11.0376,12.4461,6.8e-07,2.03e-06,True
(2),3,14,0.03211,0.002926,10.9748,12.5285,0.0,0.0,True
(3),<l3>,3,0.006,0.000554,10.8278,12.2354,0.00259566,0.00480678,True
(5),>,6,0.017442,0.001662,10.4921,11.5006,2.433e-05,5.849e-05,True
