teixit,volta,tipus,dist_centroide,z_intra_tipus,es_outlier,longitud_total
CM_Pasión,1,V1,0.204575,1.438964,0,3
CM_Pasión,3,V0,0.097296,0.75096,0,5
CM_Pasión,5,V1,0.124974,0.515262,0,5
CM_Pasión,7,V1,0.124974,0.515262,0,5
CM_Pasión,9,V1,0.124974,0.515262,0,5
CM_Pasión,11,V1,0.124974,0.515262,0,5
CM_Pasión,13,V1,0.070172,-0.120686,0,6
CM_Pasión,15,V0,0.13817,1.498471,0,6
CM_Pasión,17,V0,0.025666,-0.559021,0,8
CM_Pasión,19,V1,0.143216,0.726944,0,8
CM_Pasión,21,V1,0.143216,0.726944,0,8
CM_Pasión,23,V1,0.143216,0.726944,0,8
CM_Pasión,25,V0,0.046231,-0.182917,0,8
CM_Pasión,27,V1,0.077109,-0.040182,0,6
CM_Pasión,29,V1,0.101098,0.238195,0,8
CM_Pasión,31,V0,0.0799,0.432826,0,8
CM_Pasión,33,V0,0.126435,1.283858,0,8
CM_Pasión,35,V1,0.143216,0.726944,0,8
CM_Pasión,37,V1,0.143216,0.726944,0,8
CM_Pasión,39,V1,0.143216,0.726944,0,8
CM_Pasión,41,V1,0.143216,0.726944,0,8
CM_Pasión,43,V0,0.046231,-0.182917,0,8
CM_Pasión,45,V1,0.056528,-0.279009,0,9
CM_Pasión,47,V1,0.067203,-0.15513,0,8
CM_Pasión,49,V1,0.021187,-0.689118,0,12
CM_Pasión,51,V0,0.034504,-0.397396,0,10
CM_Pasión,53,V0,0.051192,-0.092187,0,9
CM_Pasión,55,V0,0.072088,0.289947,0,6
CM_Pasión,57,V0,0.118964,1.147238,0,6
CM_Pasión,59,V0,0.072088,0.289947,0,6
CM_Pasión,61,V0,0.059006,0.050708,0,6
CM_Pasión,63,V0,0.072933,0.305415,0,6
CM_Pasión,65,V0,0.059006,0.050708,0,6
CM_Pasión,67,V0,0.072933,0.305415,0,6
CM_Pasión,69,V0,0.114372,1.063252,0,6
CM_Pasión,71,V0,0.001185,-1.006733,0,6
CM_Pasión,73,V0,0.101118,0.820861,0,8
CM_Pasión,75,V0,0.024284,-0.5843,0,13
CM_Pasión,77,V1,0.079664,-0.010532,0,14
CM_Pasión,79,V0,0.064876,0.158064,0,11
CM_Pasión,81,V1,0.067603,-0.150496,0,24
CM_Pasión,83,V0,0.00323,-0.969337,0,19
CM_Pasión,85,V1,0.03931,-0.47881,0,16
CM_Pasión,87,V1,0.080577,6.6e-05,0,13
CM_Pasión,89,V1,0.16442,0.973,0,12
CM_Pasión,91,V1,0.155766,0.872573,0,7
CM_Pasión,93,V0,0.023951,-0.590386,0,16
CM_Pasión,95,V0,0.049142,-0.12968,0,18
CM_Pasión,97,V1,0.038853,-0.484116,0,31
CM_Pasión,99,V0,0.176115,2.192409,1,19
CM_Pasión,101,V0,0.058546,0.04229,0,17
CM_Pasión,103,V1,0.152794,0.838089,0,15
CM_Pasión,105,V0,0.009617,-0.852529,0,14
