teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
CM_Pasión,1,V1,<BOS>,0.5,1.0,1,0
CM_Pasión,3,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,5,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,7,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,9,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,11,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,13,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,15,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,17,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,19,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,21,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,23,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,25,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,27,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,29,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,31,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,33,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,35,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,37,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,39,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,41,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,43,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,45,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,47,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,49,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,51,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,53,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,55,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,57,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,59,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,61,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,63,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,65,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,67,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,69,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,71,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,73,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,75,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,77,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,79,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,81,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,83,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,85,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,87,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,89,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,91,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,93,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,95,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,97,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,99,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,101,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,103,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,105,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,107,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,109,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,111,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,113,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,115,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,117,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,119,V0,V0,0.63651316,0.6517,1,0
CM_Pasión,121,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,123,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,125,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,127,V0,V1,0.31155015,1.6825,1,0
CM_Pasión,129,V1,V0,0.34046053,1.5544,1,0
CM_Pasión,131,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,133,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,135,V1,V1,0.63981763,0.6443,1,0
CM_Pasión,,<EOS>,V1,0.02279635,5.4551,1,0
CM_Angelines,5,V0,<BOS>,0.34615385,1.5305,1,0
CM_Angelines,7,V0,V0,0.63651316,0.6517,1,0
CM_Angelines,11,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,13,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,15,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,17,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,19,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,21,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,23,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,25,V0,V1,0.31155015,1.6825,1,0
CM_Angelines,27,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,29,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,31,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,33,V0,V1,0.31155015,1.6825,1,0
CM_Angelines,35,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,37,V1,V1,0.63981763,0.6443,1,0
