teixit,volta,tipus_volta,context_macro,longitud_micro,score_anomalia,num_flags_actius,categoria,cross_canal,z_intra_teixit,z_salt_global,frac_outlier,surprisal_macro,z_surprisal_macro,is_zero_prob_macro,mean_surprisal_micro,max_surprisal_micro,z_mean_surprisal_micro,z_max_surprisal_micro,num_zero_prob_raw_micro,n_trans_testades,n_trans_no_validades,frac_trans_no_validades,z_frac_trans_no_validades,flag_sig_intra,flag_sig_salt,flag_macro_surp,flag_macro_zero,flag_micro_mean,flag_micro_max,flag_micro_zero,flag_trans_invalides
CM_Angelines,49,V1,V1,4,10.8479,2,ALTA,False,1.424988,-0.729536,0.0,0.6443,-0.588911,False,4.7859,10.8238,2.760075,2.266429,0,1,1,1.0,1.8094,False,False,False,False,True,True,False,False
CM_Angelines,51,V1,V1,4,10.8479,2,ALTA,False,1.424988,-0.729536,0.0,0.6443,-0.588911,False,4.7859,10.8238,2.760075,2.266429,0,1,1,1.0,1.8094,False,False,False,False,True,True,False,False
CM_Eterna,39,V1,V1,6,10.634,2,ALTA,False,-0.554393,0.019815,0.0,0.6443,-0.588911,False,4.5233,10.8238,2.39802,2.266429,0,3,3,1.0,1.8094,False,False,False,False,True,True,False,False
CM_Angelines,47,V1,V1,4,10.4345,2,ALTA,False,1.424988,0.154483,0.0,0.6443,-0.588911,False,4.7859,10.8238,2.760075,2.266429,0,1,1,1.0,1.8094,False,False,False,False,True,True,False,False
CM_Angelines,65,V1,V1,8,10.4138,1,MODERADA,False,0.483119,-0.595402,0.0,0.6443,-0.588911,False,4.0529,10.8238,1.749463,2.266429,0,5,5,1.0,1.8094,False,False,False,False,False,True,False,False
CM_Abouchete,87,V1,V1,5,10.3102,1,MODERADA,False,0.525333,-0.396,0.0,0.6443,-0.588911,False,4.2389,8.5593,2.005908,0.949567,0,3,3,1.0,1.8094,False,False,False,False,True,False,False,False
CM_Pasión,89,V1,V1,12,10.295,1,MODERADA,False,1.663347,-0.342498,0.0,0.6443,-0.588911,False,4.513,8.5593,2.383819,0.949567,0,10,10,1.0,1.8094,False,False,False,False,True,False,False,False
CM_Pasión,13,V1,V1,6,10.0968,0,normal,False,1.078758,-0.610421,0.0,0.6443,-0.588911,False,3.9284,8.5593,1.577811,0.949567,0,5,5,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Eterna,3,V0,V0,4,10.0836,0,normal,False,-0.59879,-0.729536,0.0,0.6517,-0.577678,False,3.5793,7.0859,1.096495,0.092749,0,3,3,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Pasión,29,V1,V1,8,10.0442,0,normal,False,1.218625,-0.157176,0.0,0.6443,-0.588911,False,4.1824,8.5593,1.928009,0.949567,0,7,7,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Copas de champán,95,V1,V1,13,10.0387,2,ALTA,False,0.013037,-0.518466,0.0,0.6443,-0.588911,False,4.2981,11.052,2.087529,2.399133,0,8,6,0.75,0.711355,False,False,False,False,True,True,False,False
CM_Pasión,1,V1,<BOS>,3,10.0313,2,ALTA,False,2.093785,,0.0,1.0,-0.048946,False,4.7901,8.5593,2.765866,0.949567,0,2,2,1.0,1.8094,True,False,False,False,True,False,False,False
CM_Angelines,45,V1,V1,9,10.0307,0,normal,False,-0.522805,-0.014157,0.0,0.6443,-0.588911,False,3.9343,7.6578,1.585945,0.425323,0,6,6,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Pasión,7,V1,V1,5,10.0176,0,normal,False,1.51681,-0.729536,0.0,0.6443,-0.588911,False,3.8406,8.5593,1.456758,0.949567,0,4,4,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Pasión,9,V1,V1,5,10.0176,0,normal,False,1.51681,-0.729536,0.0,0.6443,-0.588911,False,3.8406,8.5593,1.456758,0.949567,0,4,4,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Pasión,11,V1,V1,5,10.0176,0,normal,False,1.51681,-0.729536,0.0,0.6443,-0.588911,False,3.8406,8.5593,1.456758,0.949567,0,4,4,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Pasión,49,V1,V1,12,9.9757,0,normal,False,-1.0371,0.103799,0.0,0.6443,-0.588911,False,3.7409,8.5593,1.319298,0.949567,0,11,11,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Gardenia,13,V1,V1,8,9.9643,0,normal,False,1.234758,-0.470201,0.0,0.6443,-0.588911,False,3.8708,8.5593,1.498396,0.949567,0,7,7,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Hojas y cactus,5,V1,V1,2,9.9404,0,normal,False,-0.227359,-0.729536,0.0,0.6443,-0.588911,False,3.6117,5.2617,1.141166,-0.968068,0,1,1,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Hojas y cactus,7,V1,V1,2,9.9404,0,normal,False,-0.227359,-0.729536,0.0,0.6443,-0.588911,False,3.6117,5.2617,1.141166,-0.968068,0,1,1,1.0,1.8094,False,False,False,False,False,False,False,False
CM_Hojas y cactus,9,V1,V1,2,9.9404,0,normal,False,-0.227359,-0.729536,0.0,0.6443,-0.588911,False,3.6117,5.2617,1.141166,-0.968068,0,1,1,1.0,1.8094,False,False,False,False,False,False,False,False
