teixit,n_voltes,n_CRITICA,n_ALTA,n_MODERADA,n_cross_canal,score_total,score_max,score_mitja
CM_Abouchete,131,0,3,16,0,994.0752,10.3102,7.5884
CM_Gardenia,115,2,4,22,0,859.6925,9.9643,7.4756
CM_Pasión,68,0,1,6,0,568.8535,10.295,8.3655
CM_Pepita,64,0,0,9,0,500.556,9.326,7.8212
CM_Hojas de Roble,59,0,2,6,0,443.2165,9.8763,7.5121
CM_Copas de champán,52,0,1,7,0,417.5101,10.0387,8.029
CM_Angelines,43,0,3,12,0,356.7859,10.8479,8.2973
CM_Pelargonia,39,0,0,3,0,319.4115,9.8898,8.19
CM_Hojas y cactus,31,0,0,4,0,257.0622,9.9404,8.2923
CM_Eterna,17,0,2,2,0,141.125,10.634,8.3015
CM_Punto Angelines,8,0,1,2,0,49.7892,7.6778,6.2237
