prioritat,teixit,volta,n_rare,tokens_rare,z_runs,interpretacio_runs,categoria_fase5,score_anomalia
80.376,CM_Hojas de Roble,71,0,,-80.3761,menys runs dels esperats (agrupacio),ALTA,1.549
30.0,CM_Pepita,73,3,{ | 12 | },,,,
20.0,CM_Pasión,91,2,<lpl(9)> | <l3l(3)ga(2)>,,,,
19.61,CM_Gardenia,219,0,,-19.6105,menys runs dels esperats (agrupacio),,
15.37,CM_Hojas de Roble,69,0,,-15.3697,menys runs dels esperats (agrupacio),,
14.301,CM_Gardenia,115,0,,-14.3012,menys runs dels esperats (agrupacio),,
13.846,CM_Copas de champán,55,1,<l(3)lalxlg>,3.8462,mes runs dels esperats (alternancia),,
10.0,CM_Gardenia,213,1,23>,,,ALTA,3.8676
10.0,CM_Gardenia,129,1,v,,,,
10.0,CM_Hojas de Roble,101,1,<6,,,,
10.0,CM_Copas de champán,57,1,<lal3lgl(3)>,,,,
10.0,CM_Copas de champán,59,1,<3llalapgl>,,,,
10.0,CM_Angelines,81,1,<3l(3)l>,,,,
10.0,CM_Gardenia,89,1,<<4rxrxrxr>,,,,
10.0,CM_Angelines,25,1,<3,,,,
10.0,CM_Gardenia,177,1,<a(5)lpl(5)gl(4)l>,,,,
10.0,CM_Abouchete,133,1,5,,,,
10.0,CM_Pasión,121,1,<lx>,,,,
10.0,CM_Angelines,77,1,<l(2)3(2)lp>,,,,
10.0,CM_Gardenia,179,1,<a(5)lpl(5)gl(6)l>,,,,
10.0,CM_Pasión,95,1,<lglplala(5)g>,,,,
10.0,CM_Pasión,101,1,<lalal3lglgl(3)>,,,,
10.0,CM_Angelines,75,1,<(3)3(3)l>,,,,
10.0,CM_Pasión,93,1,<l(3)l(9)>,,,,
10.0,CM_Angelines,79,1,<lp3pl3>,,,,
10.0,CM_Angelines,89,1,<lapgl>2>,,,,
10.0,CM_Pasión,103,1,<allg(2)>,,,,
10.0,CM_Eterna,33,1,D,,,,
10.0,CM_Gardenia,181,1,<a(5)lpl(5)gl(8)l>,,,,
10.0,CM_Copas de champán,61,1,<l3l(6)>,,,,
10.0,CM_Copas de champán,63,1,<gllagll3>,,,,
10.0,CM_Angelines,63,1,<(3)l4l>,,,,
10.0,CM_Gardenia,117,1,33,,,,
10.0,CM_Angelines,57,1,<pl3l(2)>,,,,
10.0,CM_Angelines,69,1,(99),,,,
10.0,CM_Eterna,35,1,<(2)lxl>,,,,
10.0,CM_Abouchete,59,1,<xl(3)>,,,,
10.0,CM_Angelines,85,1,<4l(3)l>,,,,
10.0,CM_Angelines,91,1,<4l(4)l>,,,,
10.0,CM_Gardenia,161,1,2>,,,,
10.0,CM_Angelines,45,1,<lplapg>,,,,
10.0,CM_Gardenia,183,1,<a(11)gl(10)l>,,,,
10.0,CM_Angelines,65,1,<<3>23>,,,,
10.0,CM_Gardenia,187,1,<a(7)glpl(4)lxl(4)lxl(4)lpl>,,,,
10.0,CM_Gardenia,189,1,<a(5)gl(3)l(4)lrxrl(4)lrxrl(4)l(3)l>,,,,
10.0,CM_Gardenia,191,1,<a(3)glpglla(4)lxrxrxl(4)lxrxrxl(4)gllapl>,,,,
10.0,CM_Angelines,87,1,<glal3l>,,,,
10.0,CM_Eterna,39,1,<(6)lxl>,,,ALTA,10.634
10.0,CM_Gardenia,185,1,<a(9)gl(4)l(4)l(4)l>,,,,
10.0,CM_Angelines,47,1,(53),,,ALTA,10.4345
10.0,CM_Angelines,49,1,(55),,,ALTA,10.8479
10.0,CM_Angelines,51,1,(57),,,ALTA,10.8479
10.0,CM_Abouchete,71,1,<l(3)lxl>,,,,
4.967,CM_Gardenia,223,0,,-4.9666,menys runs dels esperats (agrupacio),ALTA,4.2595
3.566,CM_Angelines,29,0,,3.5661,mes runs dels esperats (alternancia),,
3.53,CM_Gardenia,221,0,,-3.5301,menys runs dels esperats (agrupacio),,
3.407,CM_Pepita,129,0,,3.4068,mes runs dels esperats (alternancia),,
3.344,CM_Gardenia,75,0,,3.3438,mes runs dels esperats (alternancia),,
3.334,CM_Copas de champán,105,0,,3.3341,mes runs dels esperats (alternancia),,
3.303,CM_Angelines,83,0,,3.3029,mes runs dels esperats (alternancia),,
3.303,CM_Pepita,127,0,,3.3029,mes runs dels esperats (alternancia),,
3.247,CM_Eterna,37,0,,-3.2467,menys runs dels esperats (agrupacio),,
3.226,CM_Gardenia,237,0,,-3.2259,menys runs dels esperats (agrupacio),,
