teixit,volta_inici,volta_final,n_voltes,score_mitja,score_acumulat,p_valor,q_valor,significatiu_FDR,n_voltes_cross_canal,n_critiques,n_altes,n_moderades,n_normals
CM_Gardenia,177,191,8,2.6083,20.8667,0.0010,0.0110,TRUE,0,0,0,3,5
CM_Copas de champán,53,65,7,1.8268,12.7877,0.0020,0.0165,TRUE,0,0,0,2,5
CM_Pelargonia,7,25,10,1.1038,11.0378,0.0010,0.0110,TRUE,0,0,0,0,10
CM_Hojas y cactus,5,19,8,1.3165,10.5322,0.0010,0.0110,TRUE,0,0,0,0,8
CM_Angelines,63,91,15,1.9391,29.0860,0.0599,0.2473,FALSE,0,0,0,8,7
CM_Angelines,45,53,5,3.3524,16.7622,0.0130,0.0857,FALSE,0,0,3,0,2
CM_Hojas de Roble,65,71,4,3.7370,14.9482,0.0569,0.2473,FALSE,0,0,1,0,3
CM_Pasión,87,95,5,1.6409,8.2046,0.1489,0.4912,FALSE,0,0,0,2,3
CM_Pasión,47,59,7,0.8558,5.9906,0.9880,1.0000,FALSE,0,0,0,0,7
CM_Pasión,7,13,4,1.3882,5.5527,0.7732,1.0000,FALSE,0,0,0,0,4
CM_Eterna,29,35,4,1.3759,5.5035,0.7652,1.0000,FALSE,0,0,0,1,3
CM_Pasión,107,117,6,0.8284,4.9703,0.9990,1.0000,FALSE,0,0,0,0,6
CM_Abouchete,165,173,5,0.9195,4.5977,0.0559,0.2473,FALSE,0,0,0,5,0
CM_Abouchete,75,83,5,0.8808,4.4039,0.0699,0.2564,FALSE,0,0,1,4,0
CM_Gardenia,31,39,5,0.8173,4.0864,0.9840,1.0000,FALSE,0,0,0,4,1
CM_Gardenia,73,81,5,0.7408,3.7038,0.9980,1.0000,FALSE,0,0,0,0,5
CM_Pasión,21,29,5,0.7185,3.5925,1.0000,1.0000,FALSE,0,0,0,0,5
CM_Gardenia,19,27,5,0.6965,3.4827,1.0000,1.0000,FALSE,0,0,0,4,1
CM_Eterna,11,15,3,1.0639,3.1916,0.9990,1.0000,FALSE,0,0,0,0,3
CM_Gardenia,3,7,3,0.9299,2.7897,1.0000,1.0000,FALSE,0,0,0,0,3
CM_Pepita,125,129,3,0.9136,2.7408,0.9990,1.0000,FALSE,0,0,0,0,3
CM_Abouchete,87,91,3,0.9072,2.7217,0.5954,1.0000,FALSE,0,0,0,1,2
CM_Pasión,33,41,5,0.4886,2.4429,1.0000,1.0000,FALSE,0,0,0,0,5
CM_Hojas de Roble,29,33,3,0.7970,2.3911,1.0000,1.0000,FALSE,0,0,0,0,3
CM_Gardenia,161,167,4,0.5705,2.2820,1.0000,1.0000,FALSE,0,0,0,0,4
CM_Gardenia,53,59,4,0.5294,2.1178,1.0000,1.0000,FALSE,0,0,0,1,3
CM_Angelines,19,25,4,0.5244,2.0977,1.0000,1.0000,FALSE,0,0,0,1,3
CM_Copas de champán,99,105,4,0.4990,1.9959,1.0000,1.0000,FALSE,0,0,0,1,3
CM_Pepita,107,111,3,0.6151,1.8453,1.0000,1.0000,FALSE,0,0,0,0,3
CM_Copas de champán,17,21,3,0.3527,1.0581,1.0000,1.0000,FALSE,0,0,0,0,3
CM_Copas de champán,41,47,4,0.2240,0.8961,1.0000,1.0000,FALSE,0,0,0,0,4
CM_Abouchete,245,249,3,0.2845,0.8536,1.0000,1.0000,FALSE,0,0,0,0,3
CM_Abouchete,47,51,3,0.2437,0.7310,1.0000,1.0000,FALSE,0,0,0,0,3
