teixit,volta_inici,volta_final,n_voltes,n_convergents,n_gramaticals,n_lexiques,n_cap,frac_gramatical,frac_lexica,score_mitja_5_2,q_valor_5_2,significatiu_FDR_5_2,veredicte,voltes_convergents,tokens_rare_segment
CM_Angelines,63,91,15,8,0,4,3,0.533,0.8,1.9391,0.24725274725274726,False,CONVERGENCIA,63|65|69|75|81|85|89|91,<(3)l4l>×1|<<3>23>×1|(99)×1|<(3)3(3)l>×1|<l(2)3(2)lp>×1|<lp3pl3>×1|<3l(3)l>×1|<4l(3)l>×1|<glal3l>×1|<lapgl>2>×1|<4l(4)l>×1
CM_Gardenia,177,191,8,3,0,5,0,0.375,1.0,2.6083,0.01098901098901099,True,CONVERGENCIA,183|187|191,<a(5)lpl(5)gl(4)l>×1|<a(5)lpl(5)gl(6)l>×1|<a(5)lpl(5)gl(8)l>×1|<a(11)gl(10)l>×1|<a(9)gl(4)l(4)l(4)l>×1|<a(7)glpl(4)lxl(4)lxl(4)lpl>×1|<a(5)gl(3)l(4)lrxrl(4)lrxrl(4)l(3)l>×1|<a(3)glpglla(4)lxrxrxl(4)lxrxrxl(4)gllapl>×1
CM_Angelines,45,53,5,3,0,1,1,0.6,0.8,3.3524,0.08571428571428572,False,CONVERGENCIA,47|49|51,<lplapg>×1|(53)×1|(55)×1|(57)×1
CM_Copas de champán,53,65,7,2,0,3,2,0.286,0.714,1.8268,0.016483516483516484,True,CONVERGENCIA,59|63,<l(3)lalxlg>×1|<lal3lgl(3)>×1|<3llalapgl>×1|<l3l(6)>×1|<gllagll3>×1
CM_Pasión,87,95,5,1,1,2,1,0.4,0.6,1.6409,0.49120879120879124,False,CONVERGENCIA,91,<lpl(9)>×1|<l3l(3)ga(2)>×1|<l(3)l(9)>×1|<lglplala(5)g>×1
CM_Hojas de Roble,65,71,4,1,0,1,2,0.25,0.5,3.737,0.24725274725274726,False,CONVERGENCIA,71,
CM_Eterna,29,35,4,1,0,1,2,0.25,0.5,1.3759,1.0,False,CONVERGENCIA,35,D×1|<(2)lxl>×1
CM_Angelines,19,25,4,1,0,0,3,0.25,0.25,0.5244,1.0,False,CONVERGENCIA,25,<3×1
CM_Pepita,125,129,3,0,0,2,1,0.0,0.667,0.9136,1.0,False,PERFIL_LEXIC,,
CM_Gardenia,161,167,4,0,0,1,3,0.0,0.25,0.5705,1.0,False,PERFIL_LEXIC,,2>×1
CM_Gardenia,73,81,5,0,0,1,4,0.0,0.2,0.7408,1.0,False,PERFIL_LEXIC,,
CM_Copas de champán,99,105,4,0,1,1,2,0.25,0.25,0.499,1.0,False,MIXT,,
CM_Abouchete,165,173,5,0,5,0,0,1.0,0.0,0.9195,0.24725274725274726,False,PERFIL_GRAMATICAL,,
CM_Abouchete,75,83,5,0,5,0,0,1.0,0.0,0.8808,0.25641025641025644,False,PERFIL_GRAMATICAL,,
CM_Gardenia,31,39,5,0,4,0,1,0.8,0.0,0.8173,1.0,False,PERFIL_GRAMATICAL,,
CM_Gardenia,19,27,5,0,4,0,1,0.8,0.0,0.6965,1.0,False,PERFIL_GRAMATICAL,,
CM_Abouchete,87,91,3,0,1,0,2,0.333,0.0,0.9072,1.0,False,PERFIL_GRAMATICAL,,
CM_Gardenia,53,59,4,0,1,0,3,0.25,0.0,0.5294,1.0,False,PERFIL_GRAMATICAL,,
CM_Pelargonia,7,25,10,0,0,0,10,0.0,0.0,1.1038,0.01098901098901099,True,SENSE_SENYAL,,
CM_Hojas y cactus,5,19,8,0,0,0,8,0.0,0.0,1.3165,0.01098901098901099,True,SENSE_SENYAL,,
CM_Pasión,47,59,7,0,0,0,7,0.0,0.0,0.8558,1.0,False,SENSE_SENYAL,,
CM_Pasión,7,13,4,0,0,0,4,0.0,0.0,1.3882,1.0,False,SENSE_SENYAL,,
CM_Pasión,107,117,6,0,0,0,6,0.0,0.0,0.8284,1.0,False,SENSE_SENYAL,,
CM_Pasión,21,29,5,0,0,0,5,0.0,0.0,0.7185,1.0,False,SENSE_SENYAL,,
CM_Eterna,11,15,3,0,0,0,3,0.0,0.0,1.0639,1.0,False,SENSE_SENYAL,,
CM_Gardenia,3,7,3,0,0,0,3,0.0,0.0,0.9299,1.0,False,SENSE_SENYAL,,
CM_Pasión,33,41,5,0,0,0,5,0.0,0.0,0.4886,1.0,False,SENSE_SENYAL,,
CM_Hojas de Roble,29,33,3,0,0,0,3,0.0,0.0,0.797,1.0,False,SENSE_SENYAL,,
CM_Pepita,107,111,3,0,0,0,3,0.0,0.0,0.6151,1.0,False,SENSE_SENYAL,,
CM_Copas de champán,17,21,3,0,0,0,3,0.0,0.0,0.3527,1.0,False,SENSE_SENYAL,,
CM_Copas de champán,41,47,4,0,0,0,4,0.0,0.0,0.224,1.0,False,SENSE_SENYAL,,
CM_Abouchete,245,249,3,0,0,0,3,0.0,0.0,0.2845,1.0,False,SENSE_SENYAL,,
CM_Abouchete,47,51,3,0,0,0,3,0.0,0.0,0.2437,1.0,False,SENSE_SENYAL,,
