teixit,forma,(11)l,(11r)3,(2)3,(2)a,(2)g,(2)gl,(2)gll,(2)l,(2)l(2),(2)l(3),(2)l(3)l,(2)l(9)l,(2)l3l,(2)la,(2)lal,(2)ll,(2)ll(2),(2)lp,(2)lpl,(2)lxl(2),(2)lxl(2)a,(2)lxl(2)l3l(2)lxl(2),(2r)a,(3)(gl-2v),(3)a,(3)g,(3)gl,(3)gl(3),(3)l,(3)l(2),(3)la,(3)la(2)l,(3)lal,(3)lap,(3)lapgl,(3)lp,(3)lpl,(3)lxl,(3)lxl(3),(3)lxl(3)l,(3)lxl(3)l3l(3)lxl(3),(4)g,(4)gl,(4)l,(4)lxl(4),(5)g,(5)l,(5)la,(5)lxl(5),(6)l,(6)lxl(6),(7)g,(7)l,(7)lxl(7),(9)l,(9)la,(al-2v)a,(al-2v)ap,(gl-2v)p,(glla-2v)(2)l,(glla-2v)3,(glla-2v)3l,(glla-2v)gl,(glla-2v)l,(glla-2v)p,(glla-2v)pl,(glla-3v)l,(la-2v)l,(la-2v)lx,(la-2v)p,(la-2v)p(gl-2v),(la-2v)pg,(la-3v)l,(la-3v)l3,(la-3v)lx,(la-4v)l,(la-4v)p,(la-7v)la,(la-8v)la,(lg-2v)l,(lg-3v)l,(lg-4v)l,(lg-6v)l,(lp-3v)l,(lx-3v)l,2g,2l,3(2)l,3(3),3(3)l,3(5),3(5)g,3(glla-2v),3(glla-3v)3,3(lg-2v),33l,3a,3glla,3glla3,3gllagl,3l,3l(2)g,3l(3),3l(3)l,3l(4)g,3l(7)l,3l(gl-2v),3la,3lapgl,3lgl,3ll,3ll3,3lla,3lp,3lpl,3p,a(11)g,a(13)g,a(2),a(2)l,a(3),a(3)g,a(3)gl,a(3)l,a(4),a(4)l,a(5),a(5)g,a(5)gl,a(7),a(7)g,a(9)g,a3g,ag,aglla,al,al3,al3l,al3lg,ala,ap,ap(gl-3v),apg,apgl,apgl(2),apgl(3)l,apl,g(2),g(2)l,g(2)lxl(2),g(3)l,g(4),g(glla-2v),g(lg-2v),g(lg-8v)l,ga,gal,gglla,gl,gl(2),gl(2)g,gl(2)l,gl(3),gl(3)glla,gl(3)l,gl(3)la,gl(3)lxl(3)l,gl(5),gl3,gl3l,gl3la,gla,glgl,gll,gll3,gll3l,glla,glla(2),glla(2)l,glla(3)la,glla3,glla3l,glla3ll,gllaapgl,gllag,gllagl,gllagl(2),gllagll,gllal,gllap,gllapl,gllp,glp,glpl,glpla,gp,gpl,l(11),l(11)l,l(2),l(2)(glla-2v),l(2)3(2)l,l(2)3(2)l(3)l,l(2)a,l(2)a(3)l,l(2)g,l(2)gl,l(2)gl(3),l(2)glla,l(2)l,l(2)la,l(3),l(3)(la-3v),l(3)3,l(3)3(3)l,l(3)3(3)lpl,l(3)g,l(3)gl,l(3)l,l(3)l(2),l(3)l3l(3)l,l(3)la,l(3)la(2),l(3)lal,l(3)lap,l(3)lxl(3),l(3)lxl(3)l,l(3)lxl(3)la,l(3)pl,l(3)x,l(4),l(4)3(4)l,l(4)g,l(4)l,l(5),l(5)gl,l(5)l,l(5)l3,l(5)l3l,l(5)l3l(5),l(5)la,l(6),l(6)l,l(7),l(7)l,l(7)la,l(8),l(8)l,l(9),l(9)l,l(al-2v),l(gl-2v),l(glla-2v),l(glla-2v)l,l(glla-3v),l(glla-3v)gl,l(pl-3v),l2,l3,l3(glla-2v),l33l,l3glla,l3l,l3l(2),l3l(3),l3l(3)l,l3l(5)l,l3l(7)l,l3la,l3lal,l3lg,l3lla,l3llagll,l3llaglla,l3lp,l3lpl,l3lpla,la,la(2),la(2)gl,la(2)l,la(2)la,la(3),la(3)g,la(3)gl,la(3)l,la(4)la,la(5),la(5)g,la(5)gl,la(7),la(9),la(glla-2v),la(glla-3v),lag,lagl,lagll,lagll3l,laglla,laglla3,lagllagl,lal,lal3,lal3l,lal3lg,lal3lgl,lala,lalal,lalg,lalplgl,lalx,lalxl,lalxlg,lap,lapg,lapgl,lapgl(3),lapl,lg,lgal,lgl,lgl(3),lgl(3)lal,lgl3l,lglla,lglp,lglplal,ll,ll(2),ll3,ll3(glla-2v),ll3gl,ll3glla,lla,llaa,llagll,llaglla,llal,llapl,llp,lp,lp3pl,lp3pl(5)l,lpg,lpgl,lpl,lpl(3),lpl3,lpl3l,lpl3lpl,lpla,lplal,lplp,lplxlpl,lx,lxl,lxl(3),lxl(6),lxl(7),lxla,lxlp,p(gl-2v),p(glla-2v),p(la-3v),p(la-3v)l,p(lxlp-3v),p3,pa,pg,pgl,pgl(3),pglla,pglp,pl,pl(2),pl(2)g,pl(3),pl(3)l,pl(5)l,pl3l,pla,plal,plg,plglla,plla,pllp,plp,plx,plxlp,x(3)l,xl,xl(2),xl(3),xl(3)l,xl(7)l,xl(9)l,xl3,xlal,xlp,xlpl
MS_Campanilla,Redondo,1,0,0,23,5,3,2,8,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,5,3,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,3,1,0,1,0,2,0,0,1,1,0,0,0,1,5,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,8,0,0,0,0,0,5,0,0,0,0,4,0,2,20,0,0,0,0,0,0,9,2,0,3,0,3,0,0,2,0,0,5,3,5,2,1,1,1,0,3,1,1,2,1,0,0,11,3,11,0,0,0,1,13,0,11,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,79,1,0,0,1,1,0,0,0,1,7,5,5,2,7,38,4,3,31,0,0,1,6,2,0,1,4,4,0,2,2,0,0,2,4,2,1,3,1,2,1,9,1,0,0,0,0,4,3,0,2,3,1,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,0,2,0,0,0,1,2,1,1,0,0,2,1,2,1,0,0,1,0,0,0,0,9,17,1,0,3,11,0,0,0,0,0,5,5,0,3,2,2,0,0,0,77,3,0,3,0,3,2,1,1,0,2,1,1,1,0,1,0,9,8,5,2,3,2,0,11,0,0,0,0,1,0,0,0,0,0,0,9,9,6,0,0,10,0,9,0,0,5,2,1,0,43,0,4,0,1,1,35,1,4,2,2,0,2,42,0,0,0,0,11,0,0,0,0,2,1,0,0,12,11,0,0,0,0,2,0,1,1,0,0,2,2,12,8,0,0,1,20,1,0,0,0,0,0,3,1,0,0,1,0,1,2,1,0,20,1,0,0,0,0,0,0,6,1
MS_Claveles,,3,0,3,5,4,2,1,19,2,4,3,0,2,1,0,4,1,1,0,1,0,0,0,0,2,7,4,0,46,4,10,0,1,0,0,2,2,16,10,10,0,4,3,8,1,26,41,12,0,7,0,3,10,0,4,2,0,0,0,2,1,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,4,0,3,2,0,2,0,4,1,1,85,1,1,1,0,1,0,10,0,1,8,2,1,9,7,1,1,0,7,3,7,3,1,4,4,0,17,3,1,3,1,0,0,10,3,6,2,2,0,1,10,0,4,2,0,0,5,5,4,0,0,1,0,0,0,0,0,0,62,0,0,0,3,3,0,0,0,13,0,0,0,1,1,41,1,0,40,2,2,3,4,3,2,0,3,3,0,1,2,2,1,0,2,0,0,1,0,2,2,19,2,3,3,4,1,2,1,0,1,6,0,44,0,3,3,1,4,3,36,3,1,7,0,0,0,10,10,2,0,0,8,3,0,4,75,1,24,8,7,2,5,8,3,10,5,1,2,0,2,2,0,0,2,2,2,0,0,0,86,3,1,4,62,2,1,1,18,1,10,0,2,0,0,0,9,7,2,101,6,1,2,0,5,2,0,3,0,16,2,0,2,1,1,1,10,8,3,0,3,1,2,4,1,1,0,0,1,0,0,0,0,0,0,7,2,1,0,4,7,0,6,1,0,0,3,0,0,70,2,8,2,4,3,45,0,1,1,3,3,1,34,0,0,3,2,25,2,7,7,4,5,0,1,0,18,18,15,0,0,0,0,0,0,0,0,0,1,1,7,4,0,1,1,34,2,0,2,0,1,9,9,0,0,0,0,1,1,0,0,0,18,1,15,15,0,0,0,0,0,0
MS_Dalila,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS_MLuisa,Redondo,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,10,0,3,0,2,0,0,0,0,0,0,0,0,1,0,5,0,1,4,0,0,3,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,10,1,1,1,5,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0,10,1,0,0,0,0,0,7,0,0,3,0,2,0,0,0,0,0,0,5,0,0,5,5,0,3,0,0,0,0,3,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,5,0,1,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,2,1,1,0,0,11,0,7,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,2,2,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,6,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0
MS_Raetine,Redondo,1,0,3,0,5,5,3,4,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,9,7,1,15,0,2,0,0,1,0,0,0,1,1,0,0,30,30,5,0,8,8,2,0,5,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,5,0,5,22,0,18,0,0,3,1,1,4,0,9,4,2,0,32,2,12,4,2,4,4,4,1,0,0,10,5,5,2,0,11,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,0,0,2,0,1,1,0,1,5,5,4,6,0,84,14,14,53,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,1,1,1,0,1,1,5,0,0,0,0,0,2,2,0,0,0,0,17,0,0,0,0,2,2,11,0,0,1,0,0,1,0,0,0,0,0,5,0,2,0,8,3,2,0,0,0,1,5,4,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,29,0,0,0,28,0,0,0,0,0,5,1,5,14,0,0,0,0,0,111,4,0,0,0,7,2,2,0,0,10,2,2,2,5,0,0,0,0,0,0,0,0,0,10,5,5,2,2,0,0,0,0,0,0,0,9,2,2,0,0,21,0,20,0,0,2,10,1,0,137,1,18,0,0,0,84,0,0,0,9,0,4,32,0,0,2,2,20,0,0,0,0,1,0,2,0,7,6,1,0,0,2,1,0,0,0,0,0,3,1,11,9,1,3,1,36,0,0,0,0,0,0,1,0,10,6,2,0,3,2,1,0,7,1,1,0,0,0,0,0,1,0
MS_Titi 1,Redondo,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1
MS_Titi 2 - Grafico B,,0,0,0,2,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,4,2,1,0,0,3,7,2,0,12,0,4,0,0,2,1,0,0,7,5,3,1,0,0,2,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,7,7,2,0,0,0,4,3,1,2,2,2,2,0,0,1,0,0,0,1,8,0,8,3,0,2,0,3,3,3,1,0,0,0,0,0,0,0,12,0,0,0,4,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,5,0,0,0,2,0,1,0,0,0,2,0,12,0,1,0,0,0,0,9,0,1,3,0,0,1,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,12,0,0,0,0,2,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,3,1,1,3,0,0,0,17,16,7,0,0,0,1,0,0,0,0,0,0,2,8,3,2,0,0,8,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,16,4,7,4,0,0,0,0,1,0
MS_Titi 2 - Grafico A,Ovalado,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,6,1,2,1,0,0,0,0,0,0
MS_Titi - Puntilla,Redondo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,2,2,2,1,0,0,2,5,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,5,0,1,1,0,0,0,0,2,2
MS_Punto Bellota,,0,2,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,3,3,0,0,0,2,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
