teixit,forma,#,(,),-,.,/,0,1,2,3,4,5,6,7,8,9,<,>,A,C,G,I,L,M,P,R,S,T,V,X,Z,[,],a,b,c,d,e,f,g,i,l,n,o,p,q,r,s,t,u,v,x,z
MS_Campanilla,Redondo,0,191,190,78,0,3,5,31,183,92,21,26,5,7,5,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,120,0,0,0,0,0,115,0,299,0,0,81,0,0,0,0,0,77,21,1
MS_Claveles,,0,331,338,48,0,0,2,31,69,217,21,104,17,23,7,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,114,0,0,0,2,0,108,0,506,0,0,54,0,0,0,0,0,48,19,0
MS_Dalila,,0,20,20,5,0,0,0,5,2,7,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,38,0,0,10,0,0,0,0,0,5,0,0
MS_MLuisa,Redondo,0,77,77,23,0,0,1,4,14,37,6,13,4,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,29,0,108,0,0,13,0,0,0,0,0,23,7,0
MS_Raetine,Redondo,30,190,190,35,0,0,5,21,30,92,45,29,9,8,2,15,0,0,0,0,0,7,0,7,0,0,0,0,6,0,1,0,0,120,0,0,0,1,0,116,0,427,30,0,68,0,0,0,0,0,30,8,0
MS_Titi 1,Redondo,0,12,12,1,0,0,0,0,16,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,20,0,0,7,0,0,0,0,0,1,5,0
MS_Titi 2 - Grafico B,,0,56,57,12,0,0,0,0,10,51,6,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,34,0,73,0,0,22,0,0,0,0,0,12,17,0
MS_Titi 2 - Grafico A,Ovalado,0,18,18,3,0,0,0,0,19,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,25,0,0,7,0,0,0,0,0,3,11,0
MS_Titi - Puntilla,Redondo,0,14,14,2,0,0,0,1,1,15,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,26,0,0,7,0,0,0,0,0,2,5,0
MS_Punto Bellota,,0,58,58,0,0,0,0,6,29,12,0,6,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,18,0,0,7,0,25,0,0,0,0,0,0
MS_Otro punto bellota,,0,20,20,0,0,0,0,0,16,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,7,0,0,0,0,0,0
MS_Otro Punto Calado,,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0
MS_Punto Calado,,0,10,10,0,0,0,0,0,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0
MS_Punto conchas,,0,41,41,9,0,0,0,0,9,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,52,0,0,67,0,21,0,0,0,9,0,0
MS_Punto dos caras,,0,20,20,0,0,0,0,4,10,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6,0,0,2,0,11,0,0,0,0,0,0
MS_Punto piñas,,0,9,9,0,0,0,0,0,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0
MS_Hojas de Matilde,,0,7,7,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,2,0,2,0,0,0,0,0,0
MS_Punto Feito,,0,26,26,6,0,0,0,0,14,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,18,0,0,2,0,0,0,0,0,6,0,0
MS_Punto plisado para vestidito,,0,14,14,0,0,0,0,0,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,2,0,6,0,0,0,0,0,0
MS_Punto Esmeralda,,0,12,12,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,4,0,0,0,0,0,0,0,0
MS_Punto Hojitas vueltas,,0,4,4,0,0,0,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,15,0,0,8,0,8,0,0,0,4,0,0
MS_Punto plisado para chaquetita,,0,18,18,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0
MS_Punto semilla,,0,13,12,0,0,0,0,0,7,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,10,0,0,3,0,0,0,0,0,5,0,0
MS_Palmito,Ovalado,0,31,31,10,0,0,0,1,11,26,0,3,0,1,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,9,0,51,0,0,19,0,0,0,0,0,8,0,0
MS_Ovalo1,Ovalado,0,111,111,44,0,0,0,0,61,73,10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,47,0,140,0,0,55,0,0,0,0,0,44,0,1
MS_Puntilla4,,0,42,42,7,0,0,0,1,7,24,4,4,3,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,14,0,44,0,0,13,0,0,0,0,0,7,0,0
MS_Antoña o Canijo,,0,32,32,12,0,1,0,0,6,18,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,16,0,49,0,0,6,0,0,0,0,0,12,5,0
MS_Ovalo2,Ovalado,0,90,89,51,0,0,2,0,19,61,23,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,62,0,106,0,0,22,0,1,0,0,0,50,4,0
