A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
MZ,MZ,6,0.545455,7.5e-05,7246.7273,,0.0,0.0,True
I,M,13,1.0,0.000226,4428.5556,,0.0,0.0,True
M,V,15,0.75,0.000213,3516.7941,119538.0,0.0,0.0,True
IMZ,IMZ,5,0.217391,6.3e-05,3465.8261,,0.0,0.0,True
R,R,12,0.705882,0.000226,3126.0392,31876.4,0.0,0.0,True
M,M,5,0.25,0.000226,1107.1389,2043.1026,0.0,0.0,True
d,d,56,0.875,0.000815,1073.0731,61943.0,0.0,0.0,True
<nl>,n,3,0.272727,0.000263,1035.2468,1660.1042,0.0,1e-08,True
4,/,7,1.0,0.001392,718.1441,,0.0,0.0,True
5,/,6,1.0,0.001392,718.1441,,0.0,0.0,True
12,/,6,1.0,0.001392,718.1441,,0.0,0.0,True
14,/,4,1.0,0.001392,718.1441,,0.0,0.0,True
8,/,4,1.0,0.001392,718.1441,,0.0,0.0,True
7,/,4,1.0,0.001392,718.1441,,0.0,0.0,True
<PLXL>,P,6,1.0,0.00143,699.2456,,0.0,0.0,True
<al>,33,7,0.081395,0.000125,648.8349,2351.7932,0.0,0.0,True
-,12,6,0.039216,7.5e-05,521.0065,,0.0,0.0,True
-,8,4,0.026144,5e-05,521.0065,,0.0,0.0,True
-,7,4,0.026144,5e-05,521.0065,,0.0,0.0,True
2,/,23,0.638889,0.001392,458.8143,1600.1486,0.0,0.0,True
-,14,3,0.019608,5e-05,390.7549,1591.2,3e-08,9e-08,True
33,<lg>,7,0.583333,0.00202,288.8188,723.1636,0.0,0.0,True
IMZ,-,12,0.521739,0.001944,268.322,606.8506,0.0,0.0,True
-,5,3,0.019608,7.5e-05,260.5033,530.3867,1.4e-07,4.4e-07,True
r,r,214,0.789668,0.003412,231.425,5138.654,0.0,0.0,True
-,2,16,0.104575,0.000464,225.3001,442.3497,0.0,0.0,True
-,4,3,0.019608,8.8e-05,223.2885,397.785,2.4e-07,7.7e-07,True
<AL>,A,4,0.8,0.003751,213.2816,1076.8,0.0,0.0,True
MZ,-,4,0.363636,0.001944,187.0123,301.0482,0.0,2e-08,True
