teixit,volta,tipus,dist_centroide,z_intra_tipus,es_outlier,longitud_total
MS_Campanilla,3,V1,0.102215,-0.110702,0,4
MS_Campanilla,5,V1,0.140934,0.269146,0,4
MS_Campanilla,7,V0,0.298384,0.139067,0,5
MS_Campanilla,9,V0,0.350392,0.334165,0,5
MS_Campanilla,11,V1,0.308408,1.912148,0,7
MS_Campanilla,13,V1,0.308408,1.912148,0,7
MS_Campanilla,15,V1,0.308408,1.912148,0,7
MS_Campanilla,17,V1,0.308408,1.912148,0,7
MS_Campanilla,19,V1,0.308408,1.912148,0,7
MS_Campanilla,21,V1,0.308408,1.912148,0,7
MS_Campanilla,23,V1,0.308408,1.912148,0,7
MS_Campanilla,25,V1,0.308408,1.912148,0,7
MS_Campanilla,27,V1,0.308408,1.912148,0,7
MS_Campanilla,29,V1,0.308408,1.912148,0,7
MS_Campanilla,31,V0,0.432114,0.640724,0,7
MS_Campanilla,33,V1,0.308408,1.912148,0,7
MS_Campanilla,35,V0,0.432114,0.640724,0,7
MS_Campanilla,37,V0,0.431023,0.63663,0,7
MS_Campanilla,39,V0,0.432114,0.640724,0,7
MS_Campanilla,41,V0,0.431023,0.63663,0,7
MS_Campanilla,43,V0,0.432114,0.640724,0,7
MS_Campanilla,45,V1,0.308408,1.912148,0,7
MS_Campanilla,47,V0,0.432114,0.640724,0,7
MS_Campanilla,49,V0,0.431023,0.63663,0,7
MS_Campanilla,51,V1,0.111367,-0.020923,0,10
MS_Campanilla,53,V1,0.124018,0.103192,0,14
MS_Campanilla,55,V1,0.122602,0.089299,0,15
MS_Campanilla,57,V1,0.036247,-0.757882,0,18
MS_Campanilla,59,V1,0.070901,-0.417908,0,17
MS_Campanilla,61,V1,0.037824,-0.742414,0,22
MS_Campanilla,63,V1,0.091861,-0.212289,0,24
MS_Campanilla,65,V1,0.04124,-0.7089,0,28
MS_Campanilla,67,V1,0.05451,-0.578712,0,23
MS_Campanilla,69,V1,0.065018,-0.475626,0,28
MS_Campanilla,71,V1,0.033262,-0.787174,0,32
MS_Campanilla,73,V1,0.101847,-0.114319,0,31
MS_Campanilla,75,V1,0.189505,0.745648,0,16
MS_Campanilla,77,V1,0.131038,0.172062,0,21
MS_Campanilla,79,V1,0.08377,-0.291657,0,24
MS_Campanilla,81,V1,0.225129,1.095138,0,12
MS_Campanilla,83,V0,0.221749,-0.148409,0,13
MS_Campanilla,85,V1,0.185628,0.707617,0,9
MS_Campanilla,87,V1,0.112503,-0.009776,0,20
MS_Campanilla,89,V0,0.948187,2.576647,1,3
MS_Campanilla,91,V0,0.772261,1.916703,0,22234
MS_Campanilla,93,V0,0.780259,1.946705,0,2226
MS_Campanilla,95,V0,0.76353,1.883951,0,232
MS_Campanilla,97,V0,0.625599,1.366535,0,32
MS_Campanilla,99,V1,0.131441,0.176012,0,12
MS_Campanilla,101,V1,0.103101,-0.102011,0,15
MS_Campanilla,103,V1,0.129586,0.157821,0,10
MS_Campanilla,105,V0,0.073907,-0.703002,0,24
MS_Campanilla,107,V0,0.102146,-0.59707,0,19
