teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
MS_Campanilla,3,V1,<BOS>,0.6,0.737,1,0
MS_Campanilla,5,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,7,V0,V1,0.17022166,2.5545,1,0
MS_Campanilla,9,V0,V0,0.60375747,0.728,1,0
MS_Campanilla,11,V1,V0,0.34244236,1.5461,1,0
MS_Campanilla,13,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,15,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,17,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,19,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,21,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,23,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,25,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,27,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,29,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,31,V0,V1,0.17022166,2.5545,1,0
MS_Campanilla,33,V1,V0,0.34244236,1.5461,1,0
MS_Campanilla,35,V0,V1,0.17022166,2.5545,1,0
MS_Campanilla,37,V0,V0,0.60375747,0.728,1,0
MS_Campanilla,39,V0,V0,0.60375747,0.728,1,0
MS_Campanilla,41,V0,V0,0.60375747,0.728,1,0
MS_Campanilla,43,V0,V0,0.60375747,0.728,1,0
MS_Campanilla,45,V1,V0,0.34244236,1.5461,1,0
MS_Campanilla,47,V0,V1,0.17022166,2.5545,1,0
MS_Campanilla,49,V0,V0,0.60375747,0.728,1,0
MS_Campanilla,51,V1,V0,0.34244236,1.5461,1,0
MS_Campanilla,53,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,55,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,57,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,59,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,61,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,63,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,65,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,67,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,69,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,71,V1,V1,0.7959013,0.3293,1,0
MS_Campanilla,73,V1,V1,0.7959013,0.3293,1,0
