teixit,n_voltes,n_tokens_eval,surprisal_loo,surprisal_in_sample,delta_loo_vs_in,n_oov_bigrames_loo,frac_oov_loo
MS_La Puntilla,24,169,7.8455,5.6484,2.1971,43,0.2544
MS_Punto Montaña,4,80,7.314,4.6046,2.7093,24,0.3
MS_Otro punto bellota,6,59,6.4774,3.5606,2.9168,23,0.3898
MS_Punto plisado para chaquetita,4,133,5.8849,1.3016,4.5833,71,0.5338
MS_Ovalo1,26,325,5.8407,4.412,1.4286,52,0.16
MS_Puntilla2,25,274,5.7441,4.1274,1.6167,61,0.2226
MS_Puntilla3,8,162,5.3666,4.3444,1.0222,21,0.1296
MS_Leonor,57,2267,5.3098,2.6178,2.692,647,0.2854
MS_Ovalo2,28,252,5.2981,4.4843,0.8138,27,0.1071
MS_Estrellita,18,89,5.2468,4.6441,0.6026,6,0.0674
MS_Vueltas del reves,12,162,5.1271,3.5574,1.5698,31,0.1914
MS_Gafitas2,14,215,4.9976,4.2324,0.7653,18,0.0837
MS_Adolbert,23,306,4.988,4.2745,0.7135,25,0.0817
MS_Penas,33,198,4.8686,4.5901,0.2785,3,0.0152
MS_Puntilla,15,286,4.8536,4.5522,0.3014,8,0.028
MS_Punto Hojitas vueltas,4,59,4.8212,4.6815,0.1397,0,0.0
MS_Araceli,53,579,4.783,4.2571,0.526,28,0.0484
MS_Celia 1,53,576,4.743,4.0273,0.7157,54,0.0938
MS_Puntilla nueva,14,197,4.6707,4.3243,0.3464,8,0.0406
MS_Punto Feito,6,52,4.5477,4.4048,0.1429,0,0.0
MS_Pensamiento,25,277,4.5458,4.0431,0.5027,14,0.0505
MS_Mariposa,20,160,4.5178,4.2037,0.3141,6,0.0375
MS_Hijo,49,766,4.5032,4.0906,0.4127,20,0.0261
MS_Susana,43,493,4.4881,3.8008,0.6872,42,0.0852
MS_Blumen Flor,24,188,4.4848,4.1788,0.306,5,0.0266
MS_Punto Esmeralda,10,38,4.4722,4.4525,0.0197,0,0.0
MS_Jazmín,16,111,4.4596,4.3279,0.1316,0,0.0
MS_Puntilla4,14,122,4.4355,4.1005,0.3349,5,0.041
MS_Morin,34,482,4.4305,3.8076,0.6229,41,0.0851
MS_Grafico 2,37,549,4.3959,3.9675,0.4283,30,0.0546
MS_Dalila,18,80,4.3743,4.3552,0.0191,0,0.0
MS_Fajas,21,194,4.3351,4.0334,0.3018,7,0.0361
MS_Rita,53,916,4.3096,3.8684,0.4412,47,0.0513
MS_Salvador,76,1548,4.303,3.9009,0.4021,48,0.031
MS_Punto plisado para vestidito,3,37,4.2963,4.091,0.2054,0,0.0
MS_Pino,68,786,4.284,3.9336,0.3504,26,0.0331
MS_Dalia,20,119,4.2632,4.1236,0.1396,2,0.0168
MS_Titi - Puntilla,7,58,4.2366,3.9979,0.2387,1,0.0172
MS_Raetine,57,1003,4.1969,3.4209,0.776,68,0.0678
MS_Plumitas,26,356,4.189,3.8485,0.3406,11,0.0309
MS_Hojas,22,265,4.1685,3.9436,0.2249,5,0.0189
MS_Julito,43,359,4.1059,3.6639,0.442,18,0.0501
MS_Titi 2 - Grafico B,20,246,4.098,3.9358,0.1622,4,0.0163
MS_Celia 2,32,309,4.0828,3.8057,0.2771,10,0.0324
MS_Palmito,19,124,4.0648,3.8814,0.1834,2,0.0161
MS_Hojas de Matilde,3,26,4.0623,3.9761,0.0862,0,0.0
MS_Mary-Luz,10,122,3.9706,3.7793,0.1913,3,0.0246
MS_Antoña o Canijo,16,109,3.9704,3.8831,0.0873,1,0.0092
MS_Gafitas1,6,30,3.9323,3.899,0.0333,0,0.0
MS_MLuisa,28,242,3.9142,3.8176,0.0966,2,0.0083
MS_Pelargonia,40,446,3.8701,3.5633,0.3068,14,0.0314
MS_Puntilla1,5,45,3.8354,3.8277,0.0076,0,0.0
MS_Madreselva,22,239,3.7357,3.5126,0.223,1,0.0042
MS_Punto semilla,5,38,3.7241,3.6864,0.0378,0,0.0
MS_Margarita,71,1174,3.7143,3.343,0.3713,43,0.0366
MS_Vaño Mimosa,55,1457,3.6644,3.2408,0.4236,16,0.011
MS_Claveles,60,1267,3.4846,3.1158,0.3688,51,0.0403
MS_Luis,67,1183,3.4181,3.2474,0.1706,13,0.011
MS_Cacus,22,433,3.3869,3.2306,0.1563,5,0.0115
MS_Grafico B - Puntilla,37,655,3.3842,3.3189,0.0652,2,0.0031
MS_Punto piñas,4,26,3.1525,3.1474,0.005,0,0.0
MS_Punto Calado,3,39,2.9703,2.9632,0.0072,0,0.0
MS_Titi 2 - Grafico A,11,132,2.761,2.6418,0.1192,1,0.0076
MS_Punto Bellota,12,227,2.734,2.4198,0.3142,0,0.0
MS_Otro Punto Calado,3,16,2.6467,2.6457,0.0011,0,0.0
MS_Titi 1,10,122,2.4597,2.3961,0.0637,0,0.0
MS_Punto dos caras,6,76,2.2632,2.1886,0.0745,0,0.0
MS_Marianin o Katiuska,25,25017,1.4641,0.2972,1.1669,4,0.0002
MS_Puntilla pequeña Salvador,5,123,1.2715,1.2631,0.0085,0,0.0
MS_Campanilla,54,25364,0.7108,0.2391,0.4717,76,0.003
MS_Punto conchas,14,6858,0.2164,0.1816,0.0348,12,0.0017
