teixit,volta,tipus_volta,context_macro,longitud_micro,score_anomalia,num_flags_actius,categoria,cross_canal,z_intra_teixit,z_salt_global,frac_outlier,surprisal_macro,z_surprisal_macro,is_zero_prob_macro,mean_surprisal_micro,max_surprisal_micro,z_mean_surprisal_micro,z_max_surprisal_micro,num_zero_prob_raw_micro,n_trans_testades,n_trans_no_validades,frac_trans_no_validades,z_frac_trans_no_validades,flag_sig_intra,flag_sig_salt,flag_macro_surp,flag_macro_zero,flag_micro_mean,flag_micro_max,flag_micro_zero,flag_trans_invalides
MS_Vaño Mimosa,5,V0,V1,2,10.2662,4,CRÍTICA,True,5.703636,1.8726,0.0,2.5545,2.375497,False,4.8994,6.3756,2.047341,-0.251184,0,1,1,1.0,2.5813,True,False,True,False,True,False,False,True
MS_Jazmín,3,V0,V1,1,10.2193,4,CRÍTICA,True,2.555769,3.622812,0.0,2.5545,2.375497,False,6.7689,8.9964,4.257484,1.032694,0,0,0,,,True,True,True,False,True,False,False,False
MS_Luis,3,V0,V1,2,9.5675,4,CRÍTICA,False,2.299921,3.622812,0.0,2.5545,2.375497,False,4.3712,8.4483,1.422897,0.764191,0,1,1,1.0,2.5813,True,True,True,False,False,False,False,True
MS_Penas,13,V0,V1,1,9.5265,3,CRÍTICA,True,1.805308,3.622812,0.0,2.5545,2.375497,False,5.9656,9.4818,3.307814,1.270482,0,0,0,,,False,True,True,False,True,False,False,False
MS_Campanilla,89,V0,V1,3,9.2017,3,CRÍTICA,False,4.400133,3.622812,0.0,2.5545,2.375497,False,4.394,5.3608,1.449852,-0.748314,0,0,0,,,True,True,True,False,False,False,False,False
MS_Raetine,59,V0,V1,2,9.118,3,CRÍTICA,False,3.801391,3.622812,0.0,2.5545,2.375497,False,4.5384,6.0224,1.620563,-0.42421,0,0,0,,,True,True,True,False,False,False,False,False
MS_Celia 1,13,V1,V0,4,9.0982,4,CRÍTICA,False,2.90108,3.622812,0.25,1.5461,0.995385,False,6.0639,12.8608,3.424026,2.925786,0,1,0,0.0,-1.310025,True,True,False,False,True,True,False,False
MS_Margarita,59,V0,V1,1,8.8949,3,CRÍTICA,False,5.260249,3.474338,0.0,2.5545,2.375497,False,3.5596,4.2723,0.463415,-1.281549,0,0,0,,,True,True,True,False,False,False,False,False
MS_Raetine,98,V0,V1,9,8.8647,4,CRÍTICA,True,1.414932,1.17358,0.0,2.5545,2.375497,False,4.905,11.5814,2.053962,2.299034,0,5,5,1.0,2.5813,False,False,True,False,True,True,False,True
MS_Puntilla,3,V0,V1,5,8.8072,4,CRÍTICA,True,2.308083,1.837937,0.0,2.5545,2.375497,False,5.245,12.0252,2.455913,2.516443,0,4,1,0.25,-0.337193,True,False,True,False,True,True,False,False
MS_Claveles,1,V0,<BOS>,2,8.6843,3,CRÍTICA,False,4.539945,,0.0,1.347,0.722893,False,5.3129,7.1024,2.536185,0.104861,0,1,1,1.0,2.5813,True,False,False,False,True,False,False,True
MS_Palmito,21,V0,V1,1,8.676,3,CRÍTICA,False,3.569936,3.622812,0.0,2.5545,2.375497,False,4.0713,5.3608,1.068352,-0.748314,0,0,0,,,True,True,True,False,False,False,False,False
MS_Celia 1,9,V1,V0,10,8.637,4,CRÍTICA,False,1.548538,3.622812,0.5,1.5461,0.995385,False,4.9856,12.8608,2.149248,2.925786,0,9,8,0.888889,2.148931,False,True,False,False,True,True,False,True
MS_Penas,21,V0,V0,1,8.5851,2,ALTA,False,1.805308,3.622812,0.0,0.728,-0.12428,False,5.9656,9.4818,3.307814,1.270482,0,0,0,,,False,True,False,False,True,False,False,False
MS_Penas,19,V0,V0,1,8.535,2,ALTA,False,1.3133,3.622812,0.0,0.728,-0.12428,False,6.4973,8.4483,3.936396,0.764191,0,0,0,,,False,True,False,False,True,False,False,False
MS_Hijo,95,V0,V1,3,8.5175,4,CRÍTICA,False,2.558726,2.408357,0.0,2.5545,2.375497,False,3.7043,6.3756,0.634481,-0.251184,0,2,2,1.0,2.5813,True,True,True,False,False,False,False,True
MS_Ovalo1,49,V0,V1,1,8.502,3,CRÍTICA,False,3.154627,3.622812,0.0,2.5545,2.375497,False,4.0713,5.3608,1.068352,-0.748314,0,0,0,,,True,True,True,False,False,False,False,False
MS_Susana,27,V0,V1,5,8.4942,3,CRÍTICA,False,2.185404,2.346453,0.2,2.5545,2.375497,False,4.6395,8.7522,1.740085,0.913065,0,4,3,0.75,1.608469,True,True,True,False,False,False,False,False
MS_Celia 2,55,V0,V1,4,8.4828,3,CRÍTICA,True,0.689519,1.318552,0.0,2.5545,2.375497,False,5.4787,8.1415,2.732196,0.613895,0,1,1,1.0,2.5813,False,False,True,False,True,False,False,True
MS_Pensamiento,19,V1,V1,5,8.3895,4,CRÍTICA,False,3.048262,1.193905,0.4,0.3293,-0.669947,False,6.052,11.9433,3.409957,2.476321,0,1,1,1.0,2.5813,True,False,False,False,True,True,False,True
MS_Ovalo1,43,V0,V0,3,8.3512,2,ALTA,False,1.667397,1.801133,0.0,0.728,-0.12428,False,5.6856,8.7522,2.976795,0.913065,0,1,1,1.0,2.5813,False,False,False,False,True,False,False,True
MS_Celia 1,21,V0,V0,3,8.3478,2,ALTA,False,3.646683,0.296894,0.0,0.728,-0.12428,False,6.5618,10.0593,4.012648,1.553387,0,0,0,,,True,False,False,False,True,False,False,False
MS_Mariposa,5,V0,V1,2,8.3179,3,CRÍTICA,False,2.180835,0.800675,0.0,2.5545,2.375497,False,4.3712,8.4483,1.422897,0.764191,0,1,1,1.0,2.5813,True,False,True,False,False,False,False,True
MS_Claveles,3,V0,V0,1,8.2825,2,ALTA,False,5.035066,3.622812,0.0,0.728,-0.12428,False,4.1519,4.5276,1.163639,-1.156482,0,0,0,,,True,True,False,False,False,False,False,False
MS_Ovalo2,23,V0,V1,7,8.2757,3,CRÍTICA,False,0.241647,2.464022,0.0,2.5545,2.375497,False,4.3731,8.9184,1.425144,0.994483,0,4,4,1.0,2.5813,False,True,True,False,False,False,False,True
MS_Jazmín,11,V0,V0,1,8.2115,2,ALTA,False,1.267595,3.622812,0.0,0.728,-0.12428,False,5.9701,8.3443,3.313134,0.713243,0,0,0,,,False,True,False,False,True,False,False,False
MS_Penas,9,V0,V1,1,8.1932,2,ALTA,False,0.98653,3.622812,0.0,2.5545,2.375497,False,4.5499,7.8968,1.634158,0.494022,0,0,0,,,False,True,True,False,False,False,False,False
MS_Ovalo2,5,V1,<BOS>,3,8.1336,3,CRÍTICA,False,3.374582,,0.333333,0.737,-0.111963,False,6.1428,9.9646,3.517302,1.506996,0,2,2,1.0,2.5813,True,False,False,False,True,False,False,True
MS_Marianin o Katiuska,1,V1,<BOS>,3,8.0816,3,CRÍTICA,False,4.020373,,0.333333,0.737,-0.111963,False,5.922,8.4483,3.25627,0.764191,0,2,2,1.0,2.5813,True,False,False,False,True,False,False,True
MS_Salvador,111,V0,V1,1,8.0629,2,ALTA,False,5.064006,1.710444,0.0,2.5545,2.375497,False,3.5596,4.2723,0.463415,-1.281549,0,0,0,,,True,False,True,False,False,False,False,False
MS_Dalia,43,V0,V0,5,8.003,2,ALTA,False,2.702694,1.563343,0.0,0.728,-0.12428,False,4.523,8.4483,1.602357,0.764191,0,2,2,1.0,2.5813,True,False,False,False,False,False,False,True
MS_Puntilla2,17,V0,V0,6,7.8936,1,MODERADA,False,1.515035,1.690627,0.0,0.728,-0.12428,False,4.8267,9.7069,1.961394,1.380754,0,4,4,1.0,2.5813,False,False,False,False,False,False,False,True
MS_Celia 1,17,V1,V0,5,7.8876,4,CRÍTICA,False,0.720414,2.13822,0.4,1.5461,0.995385,False,5.1786,11.3869,2.377414,2.203752,0,3,3,1.0,2.5813,False,True,False,False,True,True,False,True
MS_Julito,81,V0,V1,3,7.8293,3,CRÍTICA,False,2.079647,3.073557,0.0,2.5545,2.375497,False,4.349,7.5443,1.396652,0.321339,0,1,0,0.0,-1.310025,True,True,True,False,False,False,False,False
MS_Cacus,1,V0,V1,3,7.8085,3,CRÍTICA,True,1.510323,0.806418,0.333333,2.5545,2.375497,False,4.9683,8.6338,2.128795,0.855063,0,1,1,1.0,2.5813,False,False,True,False,True,False,False,True
MS_Campanilla,83,V0,V1,13,7.7621,2,ALTA,True,1.14173,1.25609,0.153846,2.5545,2.375497,False,4.915,8.7522,2.065784,0.913065,0,10,7,0.7,1.413903,False,False,True,False,True,False,False,False
