teixit,n_voltes,n_CRITICA,n_ALTA,n_MODERADA,n_cross_canal,score_total,score_max,score_mitja
MS_Salvador,76,0,6,9,0,292.4418,8.0629,3.8479
MS_Pino,68,1,1,18,0,266.8365,7.5323,3.9241
MS_Luis,67,2,3,9,1,261.7518,9.5675,3.9067
MS_Celia 1,53,3,13,3,1,250.9687,9.0982,4.7353
MS_Campanilla,54,1,2,16,1,227.0871,9.2017,4.2053
MS_Raetine,57,2,4,12,1,221.9657,9.118,3.8941
MS_Margarita,57,2,1,13,1,207.5732,8.8949,3.6416
MS_Araceli,53,0,1,12,0,203.3295,7.033,3.8364
MS_Hijo,49,1,1,9,0,198.6954,8.5175,4.055
MS_Vaño Mimosa,55,1,1,8,1,191.4305,10.2662,3.4806
MS_Rita,53,0,2,6,0,188.8081,7.6599,3.5624
MS_Leonor,57,0,1,6,0,181.7645,5.8719,3.1889
MS_Susana,43,1,2,8,0,178.5803,8.4942,4.153
MS_Claveles,60,1,2,3,0,166.8732,8.6843,2.7812
MS_Julito,43,1,2,13,0,158.865,7.8293,3.6945
MS_Penas,33,1,4,9,1,156.2852,9.5265,4.7359
MS_Celia 2,32,2,4,11,2,149.898,8.4828,4.6843
MS_Grafico 2,37,0,0,5,0,133.8725,6.4466,3.6182
MS_Pelargonia,40,1,1,10,1,132.9291,7.4671,3.3232
MS_Ovalo1,26,1,4,10,2,132.904,8.502,5.1117
MS_Ovalo2,28,3,1,4,0,125.7215,8.2757,4.4901
MS_Morin,34,0,1,5,0,119.5521,5.7867,3.5162
MS_Grafico B - Puntilla,37,0,3,0,0,115.8243,7.6905,3.1304
MS_La Puntilla,24,0,4,9,1,114.3104,7.7332,4.7629
MS_Puntilla2,25,0,0,7,0,112.4073,7.8936,4.4963
MS_Pensamiento,25,1,3,3,1,107.0326,8.3895,4.2813
MS_Blumen Flor,24,0,2,4,0,97.9133,7.7241,4.0797
MS_Mariposa,20,1,1,7,0,93.2269,8.3179,4.6613
MS_Fajas,21,0,3,7,0,92.8725,7.0056,4.4225
MS_Plumitas,26,0,1,2,0,89.5895,5.918,3.4457
MS_Adolbert,23,0,1,4,0,88.1317,6.588,3.8318
MS_MLuisa,28,0,0,2,0,87.41,5.1623,3.1218
MS_Palmito,19,1,2,3,0,83.5139,8.676,4.3955
MS_Jazmín,16,1,3,3,1,82.301,10.2193,5.1438
MS_Estrellita,18,0,0,9,0,81.3728,6.94,4.5207
MS_Marianin o Katiuska,25,1,1,0,0,78.7323,8.0816,3.1493
MS_Madreselva,22,1,0,3,0,77.9298,7.4295,3.5423
MS_Titi 2 - Grafico B,20,0,0,4,0,74.4908,6.643,3.7245
MS_Dalila,18,0,1,0,0,70.1425,6.5459,3.8968
MS_Dalia,20,0,1,3,0,67.6939,8.003,3.3847
MS_Puntilla,15,1,1,3,1,67.468,8.8072,4.4979
MS_Hojas,22,0,0,2,0,66.8939,5.4803,3.0406
MS_Puntilla nueva,14,0,1,2,1,61.152,6.6052,4.368
MS_Gafitas2,14,0,0,4,0,59.7743,5.8229,4.2696
MS_Antoña o Canijo,16,0,1,2,0,54.4184,5.7575,3.4012
MS_Puntilla4,14,0,1,2,0,53.9851,6.2742,3.8561
MS_Titi 2 - Grafico A,11,0,3,2,0,48.8287,6.8839,4.439
MS_Punto Bellota,12,0,0,3,0,44.9596,5.3935,3.7466
MS_Vueltas del reves,12,0,0,0,0,43.3961,4.8371,3.6163
MS_Titi 1,10,0,2,2,0,42.5899,7.0822,4.259
MS_Punto Esmeralda,10,0,0,4,0,41.6077,5.4556,4.1608
MS_Cacus,12,1,1,1,1,40.2342,7.8085,3.3529
MS_Puntilla3,8,0,0,0,0,34.8626,6.0793,4.3578
MS_Mary-Luz,10,0,0,1,0,33.3163,5.7742,3.3316
MS_Punto conchas,7,0,0,5,0,32.5653,5.9822,4.6522
MS_Gafitas1,6,0,0,1,0,23.481,5.6051,3.9135
MS_Titi - Puntilla,7,0,0,1,0,23.2519,4.7376,3.3217
MS_Punto dos caras,6,0,0,1,0,20.1397,4.3473,3.3566
MS_Punto semilla,5,0,0,2,0,19.3947,6.1325,3.8789
MS_Otro punto bellota,6,0,0,0,0,19.204,4.3775,3.2007
MS_Punto Feito,6,0,0,0,0,19.1763,4.563,3.1961
MS_Puntilla1,5,0,0,1,0,18.9462,5.2427,3.7892
MS_Punto Hojitas vueltas,4,0,0,1,0,18.9125,6.5326,4.7281
MS_Puntilla pequeña Salvador,5,0,1,1,0,16.1118,5.0421,3.2224
MS_Punto piñas,4,0,0,0,0,12.8643,4.3399,3.2161
MS_Punto plisado para chaquetita,4,0,0,0,0,12.0337,4.5178,3.0084
MS_Punto plisado para vestidito,3,0,0,0,0,11.5144,4.4756,3.8381
MS_Punto Montaña,4,0,0,0,0,10.9763,3.8577,2.7441
MS_Hojas de Matilde,3,0,0,0,0,10.0601,4.2686,3.3534
MS_Punto Calado,3,0,0,0,0,9.6925,4.1183,3.2308
MS_Otro Punto Calado,3,0,0,1,0,7.9044,5.7637,2.6348
