prioritat,teixit,volta,n_rare,tokens_rare,z_runs,interpretacio_runs,categoria_fase5,score_anomalia
89.688,MS_Campanilla,91,1,<p22222plxl>,-79.6879,menys runs dels esperats (agrupacio),ALTA,5.3809
85.212,MS_Marianin o Katiuska,23,0,,-85.2124,menys runs dels esperats (agrupacio),,
50.0,MS_Leonor,107,5,T | <L2PLP> | <L2P> | <2PL> | <PL2PL>,,,,
40.0,MS_Pelargonia,64,4,S | b | u | t,,,CRÍTICA,7.4671
30.0,MS_Leonor,105,3,<LP2> | <P2L> | <GLLA3LLA>,,,,
30.0,MS_Campanilla,89,3,<222222l> | 2222223 | <glla3>,,,CRÍTICA,9.2017
29.458,MS_Punto conchas,13,0,,-29.4581,menys runs dels esperats (agrupacio),,
26.93,MS_Marianin o Katiuska,21,0,,-26.9295,menys runs dels esperats (agrupacio),,
20.0,MS_Rita,95,2,<l(4)> | <(4)l>,,,,
20.0,MS_Vaño Mimosa,47,2,<4> | <l4>,,,,
20.0,MS_Adolbert,18,2,25 | .,,,ALTA,6.588
20.0,MS_Grafico 2,67,2,<lxl(7)> | <a(4)>,,,,
20.0,MS_Rita,87,2,<l3lglpla> | <l3l(4)3(4)>,,,,
20.0,MS_Araceli,77,2,<l(9)l> | <lal>,,,,
20.0,MS_La Puntilla,9,2,<ll(7)> | <a(5)(glla-5v)g>,,,,
20.0,MS_La Puntilla,11,2,<ll(9)> | <a(12)p>,,,,
20.0,MS_La Puntilla,13,2,<ll(11)> | <a(10)g>,,,,
20.0,MS_La Puntilla,15,2,<ll(13)> | <a(8)g>,,,,
20.0,MS_La Puntilla,17,2,<ll(15)> | <a(6)g>,,,,
19.096,MS_Campanilla,95,1,<a222g2lxl2>,-9.0955,menys runs dels esperats (agrupacio),,
14.234,MS_Claveles,55,1,<3>>,-4.2344,menys runs dels esperats (agrupacio),,
10.0,MS_Campanilla,93,1,<a2222gplxlp>,,,,
10.0,MS_Leonor,83,1,<L(2)>,,,,
10.0,MS_Leonor,65,1,C,,,,
10.0,MS_Salvador,69,1,<l2>,,,,
10.0,MS_Salvador,101,1,<6,,,,
10.0,MS_Campanilla,97,1,<a22gp2lxl2p>,,,,
10.0,MS_Rita,99,1,<l(3)g>,,,,
10.0,MS_Campanilla,73,1,<2lxl2>,,,,
10.0,MS_Campanilla,69,1,<xll>,,,,
10.0,MS_Claveles,57,1,<3>(2)>,,,,
10.0,MS_Leonor,49,1,<LPL(2)>,,,,
10.0,MS_Puntilla2,43,1,<GL>,,,,
10.0,MS_Raetine,113,1,<#-glla>,,,,
10.0,MS_Hojas,41,1,<xlgl3>lal>,,,,
10.0,MS_Campanilla,79,1,<p22xl22p>,,,,
10.0,MS_Campanilla,105,1,<xlp(la-3v)222(pl-3v)pl>,,,,
10.0,MS_Claveles,75,1,<l(2)llapla(8)g>,,,,
10.0,MS_Rita,81,1,<l(8)>,,,,
10.0,MS_Vaño Mimosa,49,1,<5>,,,,
10.0,MS_Puntilla3,13,1,<lplp3p>,,,,
10.0,MS_Campanilla,77,1,<22lxl22>,,,,
10.0,MS_Rita,77,1,<glla(3)>,,,,
10.0,MS_Grafico 2,81,1,<lpl3l3l3lpla(3)g>,,,,
10.0,MS_Morin,39,1,<ll(4)>,,,,
10.0,MS_Claveles,63,1,<3>(8)>,,,,
10.0,MS_Claveles,65,1,<3>(10)>,,,,
10.0,MS_Claveles,67,1,<3>(12)>,,,,
10.0,MS_Claveles,73,1,<l(3)la(10)g>,,,,
10.0,MS_Hojas,37,1,<xlpl>,,,,
10.0,MS_Pino,137,1,<apgl(2)la(3)pl(3)lappgl(2)3(2)l>,,,,
10.0,MS_Campanilla,107,1,<xlp(la-4v)22(gl-4/v)l>,,,,
10.0,MS_Claveles,59,1,<3>(4)>,,,,
10.0,MS_Puntilla2,39,1,<ALAPGL(13)LAPGLGL(3)L>,,,,
10.0,MS_Morin,43,1,<ll(8)>,,,,
10.0,MS_Morin,63,1,<(gl-2v)(3)(la-2v)(7)p>,,,,
10.0,MS_Claveles,71,1,<lpla(12)g>,,,,
10.0,MS_Claveles,77,1,<l(glla-2v)la(6)g>,,,,
10.0,MS_Ovalo1,23,1,<pgl>,,,,
10.0,MS_Claveles,61,1,<3>(6)>,,,,
10.0,MS_Claveles,69,1,<3>(14)>,,,,
10.0,MS_Rita,83,1,<glpla(3)>,,,,
10.0,MS_Leonor,45,1,<LXLP>,,,,
10.0,MS_Morin,37,1,<ll2>>,,,,
10.0,MS_Campanilla,75,1,<p2lxl2p>,,,,
10.0,MS_Rita,97,1,<l(3)g3>,,,,
10.0,MS_Rita,103,1,<3pl>,,,,
10.0,MS_Araceli,103,1,6,,,,
10.0,MS_Puntilla2,41,1,<AL3L(15)L3LGLGLPLAL>,,,,
10.0,MS_Margarita,71,1,<lxl(4)>,,,,
10.0,MS_Margarita,79,1,<lxl(12)>,,,,
10.0,MS_Morin,45,1,<ll(10)>,,,,
10.0,MS_Campanilla,101,1,<x22xl22plpl>,,,,
10.0,MS_Salvador,109,1,i,,,,
10.0,MS_Gafitas2,57,1,<l(2)la>,,,,
10.0,MS_Grafico 2,77,1,<lpl3lpla(7)g>,,,,
10.0,MS_Grafico 2,83,1,<l(3)lx(3)lxl(3)lapp>,,,,
10.0,MS_Morin,61,1,<lglp(la-2v)(9)p>,,,,
10.0,MS_Claveles,119,1,<l(3)lxl(3)lxl(3)lxl(3)l>,,,ALTA,6.0228
10.0,MS_Ovalo2,11,1,<7>,,,,
10.0,MS_Pensamiento,23,1,<plallgl>,,,,
10.0,MS_Puntilla2,37,1,<APGL(21)LAPGL>,,,,
10.0,MS_Adolbert,35,1,<pl3l>,,,,
10.0,MS_Grafico 2,31,1,<l(3)lx>,,,,
10.0,MS_Grafico 2,85,1,<l3lp>,,,,
10.0,MS_Morin,47,1,<ll(12)>,,,,
10.0,MS_Morin,49,1,<ll(14)>,,,,
10.0,MS_Morin,51,1,<ll(16)>,,,,
10.0,MS_Morin,57,1,<lpla(13)g>,,,,
10.0,MS_Morin,59,1,<l(3)la(11)g>,,,,
10.0,MS_Vueltas del reves,29,1,<l(3)ga(3)>,,,,
10.0,MS_Grafico 2,65,1,<lxl(5)>,,,,
10.0,MS_Grafico 2,69,1,<lxl(9)>,,,,
10.0,MS_Grafico 2,71,1,<lxl(11)>,,,,
10.0,MS_Grafico 2,79,1,<l(3)lxl(3)la(5)g>,,,,
10.0,MS_La Puntilla,1,1,<a(9)g>,,,,
10.0,MS_Morin,65,1,<(pl-3v)p(la-3v)(5)p>,,,,
10.0,MS_Morin,67,1,<(pl-3v)(3)(la-3v)(3)p>,,,,
10.0,MS_Campanilla,99,1,<a23l22lxl22l>,,,,
10.0,MS_Araceli,47,1,<lplx>,,,,
10.0,MS_Puntilla2,5,1,10,,,,
10.0,MS_Puntilla2,7,1,9,,,,
10.0,MS_Puntilla2,23,1,<a(6)(lp-3v)l(6)g>,,,,
10.0,MS_Grafico 2,75,1,<l(3)l(11)>,,,,
10.0,MS_Morin,53,1,<l(18)>,,,,
10.0,MS_Morin,55,1,<la(15)g>,,,,
10.0,MS_Celia 1,103,1,(65),,,,
10.0,MS_Ovalo2,13,1,<ll-8r>,,,,
10.0,MS_Vueltas del reves,19,1,<(3)ga(3)ll>,,,,
10.0,MS_Pensamiento,27,1,<6>lal3lgl>,,,,
10.0,MS_Puntilla2,29,1,<a(9)(lp-3v)l(9)g>,,,,
10.0,MS_Margarita,75,1,<lxl(8)>,,,,
10.0,MS_Margarita,77,1,<lxl(10)>,,,,
10.0,MS_La Puntilla,3,1,<a(6)pglla>,,,ALTA,6.8572
10.0,MS_Fajas,37,1,<l>,,,,
10.0,MS_Campanilla,103,1,<glplala2222glglpl>,,,,
10.0,MS_Claveles,117,1,<lpl3l3l3l3l3lplp3p>,,,,
10.0,MS_Ovalo1,37,1,<lplg>,,,,
10.0,MS_Susana,41,1,<apglpl>,,,,
10.0,MS_Pensamiento,41,1,<a(5)g>,,,,
10.0,MS_Rita,107,1,<gll3l(2)ll(2)l3lla>,,,,
10.0,MS_Puntilla2,45,1,<(AL-2v)3(7)3(LG-4v)LPL(AL-2v)>,,,,
10.0,MS_Puntilla2,47,1,<(AL-2v)A(5)(GL-5v)(3)(LA-2v)L>,,,,
10.0,MS_Puntilla2,49,1,<(AL-2v)A(3)(GL-5v)P(LA-3v)L>,,,,
10.0,MS_Julito,45,1,<apgl>,,,,
10.0,MS_Rita,9,1,13,,,,
10.0,MS_Margarita,73,1,<lxl(6)>,,,,
10.0,MS_Puntilla3,1,1,<a(13)pl3>>,,,,
10.0,MS_La Puntilla,45,1,<p3p(lg-4v)l(15)l(al-4v)>,,,ALTA,7.7332
10.0,MS_Celia 1,83,1,(45),,,,
10.0,MS_Celia 1,87,1,(49),,,,
10.0,MS_Celia 1,91,1,(53),,,,
10.0,MS_Celia 1,95,1,(57),,,,
10.0,MS_Celia 1,99,1,(61),,,,
10.0,MS_Pino,109,1,<a(4)lxl(4)g>,,,,
10.0,MS_Ovalo1,35,1,<laz>,,,,
10.0,MS_Vueltas del reves,17,1,<(8)ll>,,,,
10.0,MS_Araceli,95,1,<a(7)glpl>,,,,
10.0,MS_Araceli,97,1,<a(5)glpl>,,,,
10.0,MS_Araceli,99,1,<a(3)(gl-2v)plal>,,,,
10.0,MS_Araceli,101,1,<ap(gl-2v)(3)lal>,,,,
10.0,MS_Vaño Mimosa,107,1,<a(5)gl(9)l>,,,,
10.0,MS_Vaño Mimosa,109,1,<a(3)gl(11)l>,,,,
10.0,MS_Vaño Mimosa,111,1,<apgl(13)l>,,,,
10.0,MS_Puntilla2,31,1,<a(10)(lp-3v)l(10)g>,,,,
10.0,MS_La Puntilla,23,1,<ll(21)>,,,,
10.0,MS_La Puntilla,27,1,<(10)3(10)lpl>,,,,
10.0,MS_La Puntilla,29,1,<(9)3(9)l(pl-3v)>,,,,
10.0,MS_La Puntilla,31,1,<(8)3(8)lg(lp-3v)lal>,,,,
10.0,MS_La Puntilla,33,1,<(7)3(7)(lg-2v)(lp-3v)(la-2v)l>,,,,
10.0,MS_La Puntilla,35,1,<(6)3(6)(lg-3v)l(3)(la-3v)l>,,,,
10.0,MS_La Puntilla,37,1,<(5)3(5)(lg-4v)lxl(al-4v)>,,,,
10.0,MS_La Puntilla,39,1,<(4)3(4)(lg-4v)l(9)l(al-4v)>,,,,
10.0,MS_La Puntilla,41,1,<(3)3(3)(lg-4v)l(11)l(al-4v)>,,,,
10.0,MS_La Puntilla,43,1,<(2)3(2)(lg-4v)l(13)l(al-4v)>,,,,
10.0,MS_Celia 1,107,1,(69),,,,
10.0,MS_Araceli,79,1,<l(11)l>,,,,
10.0,MS_La Puntilla,47,1,<3(lg-4v)l(17)l(al-4v)>,,,,
10.0,MS_Celia 1,77,1,(39),,,,
10.0,MS_Araceli,75,1,<l(7)l>,,,,
10.0,MS_Araceli,105,1,<x(lp-2v)l(3)l(al-2v)>,,,,
10.0,MS_Puntilla2,25,1,<a(7)(lp-3v)l(7)g>,,,,
10.0,MS_Celia 1,75,1,(37),,,,
10.0,MS_Celia 1,105,1,(67),,,,
10.0,MS_Titi - Puntilla,11,1,<l(3)lxl>,,,,
10.0,MS_Punto conchas,3,1,<p(3r)>,,,,
10.0,MS_Vueltas del reves,15,1,<x7>>,,,,
10.0,MS_Pensamiento,21,1,<(3)ll>,,,ALTA,5.5025
10.0,MS_Pensamiento,43,1,<a(3)g>,,,,
10.0,MS_La Puntilla,5,1,<a(3)(pella-3v)(3)g>,,,,
10.0,MS_La Puntilla,7,1,<a(4)(glla-2v)(4)g>,,,ALTA,4.708
10.0,MS_La Puntilla,19,1,<ll(17)>,,,ALTA,5.257
10.0,MS_La Puntilla,21,1,<ll(19)>,,,,
10.0,MS_Pino,123,1,<3(3)lxl(3)l3l(3)lxl(3)3>,,,,
10.0,MS_Pino,125,1,<a(3)lxl(4)l3l(4)lxl(3)g>,,,,
10.0,MS_Pino,127,1,<a(3)lxl(5)l3l(5)lxl(3)g>,,,,
10.0,MS_Araceli,71,1,<l(3)l>,,,,
10.0,MS_Puntilla2,15,1,<a(2)(lp-3v)l(2)g>,,,,
10.0,MS_Puntilla2,35,1,<A(11)(LP-3v)L(11)G>,,,,
10.0,MS_La Puntilla,25,1,<(23)l>,,,,
10.0,MS_Celia 1,85,1,(47),,,ALTA,6.5202
10.0,MS_Celia 1,89,1,(51),,,ALTA,6.5202
10.0,MS_Celia 1,93,1,(55),,,ALTA,6.5202
10.0,MS_Celia 1,97,1,(59),,,ALTA,6.3917
10.0,MS_Celia 1,101,1,(63),,,ALTA,6.5202
10.0,MS_Pino,121,1,<apg(2)lxl(2)l3l(2)lxl(2)apg>,,,,
10.0,MS_Julito,81,1,<l(3)3(3)>,,,CRÍTICA,7.8293
10.0,MS_Pino,119,1,<a(3)g(plxl-3v)pa(3)g>,,,,
10.0,MS_Puntilla2,27,1,<a(8)(lp-3v)l(8)g>,,,,
10.0,MS_Puntilla2,33,1,<a(11)(lp-3v)l(11)g>,,,,
10.0,MS_Palmito,21,1,<l(9)>,,,CRÍTICA,8.676
10.0,MS_Ovalo1,49,1,333,,,CRÍTICA,8.502
10.0,MS_Julito,83,1,<lplpp3pp>,,,,
10.0,MS_Julito,85,1,<l(3)lp3p>,,,,
