teixit,volta_inici,volta_final,n_voltes,score_mitja,score_acumulat,p_valor,q_valor,significatiu_FDR,n_voltes_cross_canal,n_critiques,n_altes,n_moderades,n_normals
MS_Campanilla,89,109,11,4.1199,45.3186,0.0010,0.0084,TRUE,0,1,1,3,6
MS_Puntilla2,15,49,18,2.0026,36.0459,0.0020,0.0152,TRUE,0,0,0,7,11
MS_Celia 1,81,107,14,2.5634,35.8879,0.0010,0.0084,TRUE,0,0,6,0,8
MS_Penas,9,31,12,1.9512,23.4150,0.0010,0.0084,TRUE,1,1,4,4,3
MS_Grafico 2,65,85,11,1.9092,21.0014,0.0010,0.0084,TRUE,0,0,0,3,8
MS_Margarita,43,79,19,1.0016,19.0295,0.0010,0.0084,TRUE,1,2,1,7,9
MS_Leonor,105,111,4,4.6999,18.7996,0.0050,0.0316,TRUE,0,0,0,2,2
MS_Morin,43,69,14,1.3091,18.3276,0.0010,0.0084,TRUE,0,0,0,1,13
MS_Araceli,71,81,6,2.8402,17.0413,0.0010,0.0084,TRUE,0,0,0,4,2
MS_Julito,71,91,7,1.8942,13.2595,0.0010,0.0084,TRUE,0,1,1,4,1
MS_Rita,93,103,6,2.1948,13.1691,0.0090,0.0456,TRUE,0,0,0,2,4
MS_Pino,117,129,7,1.7296,12.1075,0.0010,0.0084,TRUE,0,1,0,3,3
MS_Claveles,55,77,12,1.0015,12.0178,0.0040,0.0276,TRUE,0,0,0,1,11
MS_Susana,27,37,6,1.3097,7.8580,0.0090,0.0456,TRUE,0,1,2,1,2
MS_Mariposa,3,9,4,1.5270,6.1081,0.0070,0.0409,TRUE,0,1,1,1,1
MS_La Puntilla,1,47,24,2.7651,66.3613,1.0000,1.0000,FALSE,1,0,4,9,11
MS_Celia 1,9,29,11,1.7853,19.6386,0.2767,0.7010,FALSE,1,3,5,0,3
MS_Marianin o Katiuska,21,25,3,6.0018,18.0054,0.0500,0.1651,FALSE,0,0,0,0,3
MS_Ovalo1,29,45,9,1.5788,14.2095,0.2627,0.6886,FALSE,0,0,2,2,5
MS_Punto conchas,1,13,7,1.3803,9.6621,1.0000,1.0000,FALSE,0,0,0,5,2
MS_Pensamiento,19,23,3,3.1474,9.4422,0.0110,0.0522,FALSE,0,1,1,1,0
MS_Palmito,5,23,5,1.6588,8.2940,0.0130,0.0581,FALSE,0,1,2,2,0
MS_Claveles,1,5,3,2.5941,7.7823,0.0140,0.0591,FALSE,0,1,1,1,0
MS_Raetine,53,79,8,0.8948,7.1583,0.1279,0.3796,FALSE,0,1,1,5,1
MS_Celia 2,55,65,6,1.1918,7.1508,0.2577,0.6886,FALSE,1,1,1,3,1
MS_Jazmín,11,19,5,1.3796,6.8978,0.4346,0.9588,FALSE,0,0,2,1,2
MS_Pensamiento,33,45,7,0.9430,6.6009,0.7932,1.0000,FALSE,0,0,1,1,5
MS_Celia 2,13,21,5,1.3050,6.5248,0.2897,0.7103,FALSE,1,1,1,3,0
MS_Salvador,109,115,4,1.5483,6.1930,0.0210,0.0795,FALSE,0,0,2,0,2
MS_Vaño Mimosa,3,9,4,1.5413,6.1652,0.1349,0.3796,FALSE,1,1,1,1,1
MS_Ovalo2,17,27,6,1.0020,6.0119,0.5085,1.0000,FALSE,0,1,0,2,3
MS_Campanilla,73,79,4,1.5002,6.0007,1.0000,1.0000,FALSE,0,0,0,0,4
MS_Vueltas del reves,15,19,3,1.9082,5.7246,0.1329,0.3796,FALSE,0,0,0,0,3
MS_Jazmín,1,5,3,1.8372,5.5117,0.5265,1.0000,FALSE,1,1,1,1,0
MS_Araceli,95,105,6,0.9066,5.4397,0.9451,1.0000,FALSE,0,0,0,0,6
MS_Ovalo1,3,11,5,1.0089,5.0444,1.0000,1.0000,FALSE,2,0,2,2,1
MS_Puntilla,1,5,3,1.6040,4.8119,0.0220,0.0795,FALSE,1,1,1,0,1
MS_Luis,1,5,3,1.5198,4.5594,0.3117,0.7403,FALSE,0,1,0,1,1
MS_Raetine,96,98,3,1.4924,4.4772,0.5435,1.0000,FALSE,1,1,0,1,1
MS_Luis,135,139,3,1.4853,4.4560,0.3497,0.8053,FALSE,0,0,2,0,1
MS_Marianin o Katiuska,1,5,3,1.4461,4.3383,1.0000,1.0000,FALSE,0,1,1,0,1
MS_Rita,73,77,3,1.4354,4.3063,0.9560,1.0000,FALSE,0,0,0,2,1
MS_Campanilla,47,55,5,0.8406,4.2031,1.0000,1.0000,FALSE,0,0,0,4,1
MS_Puntilla3,11,15,3,1.3241,3.9723,0.5135,1.0000,FALSE,0,0,0,0,3
MS_Estrellita,33,37,3,1.3108,3.9324,0.0200,0.0795,FALSE,0,0,0,3,0
MS_Celia 2,1,7,3,1.2502,3.7507,0.8901,1.0000,FALSE,0,0,2,1,0
MS_Campanilla,35,43,5,0.7347,3.6735,1.0000,1.0000,FALSE,0,0,0,1,4
MS_Salvador,119,125,4,0.9095,3.6378,0.5365,1.0000,FALSE,0,0,1,1,2
MS_Fajas,1,7,3,1.1625,3.4875,0.5225,1.0000,FALSE,0,0,2,1,0
MS_Susana,9,17,5,0.6565,3.2826,0.8791,1.0000,FALSE,0,0,0,2,3
MS_Luis,105,113,5,0.6256,3.1278,0.8202,1.0000,FALSE,1,1,0,2,2
MS_Salvador,1,7,3,0.9923,2.9769,0.7572,1.0000,FALSE,0,0,2,1,0
MS_Blumen Flor,1,5,3,0.9445,2.8336,0.4416,0.9588,FALSE,0,0,1,1,1
MS_Susana,71,79,5,0.5589,2.7945,0.9600,1.0000,FALSE,0,0,0,2,3
MS_Titi 2 - Grafico A,17,21,3,0.9250,2.7751,0.5774,1.0000,FALSE,0,0,1,0,2
MS_Puntilla4,23,27,3,0.8961,2.6884,0.1229,0.3796,FALSE,0,0,0,1,2
MS_Vaño Mimosa,89,97,5,0.5186,2.5931,0.9211,1.0000,FALSE,0,0,0,3,2
MS_Leonor,1,7,4,0.6308,2.5233,1.0000,1.0000,FALSE,0,0,0,2,2
MS_Hijo,23,27,3,0.8303,2.4909,0.8442,1.0000,FALSE,0,0,1,2,0
MS_Vaño Mimosa,107,111,3,0.8219,2.4658,0.9870,1.0000,FALSE,0,0,0,0,3
MS_Pino,93,97,3,0.7927,2.3782,1.0000,1.0000,FALSE,0,0,1,0,2
MS_Morin,1,9,3,0.6412,1.9236,1.0000,1.0000,FALSE,0,0,1,0,2
MS_Blumen Flor,109,113,3,0.5560,1.6680,0.9281,1.0000,FALSE,0,0,0,1,2
MS_Estrellita,5,9,3,0.5507,1.6521,0.9600,1.0000,FALSE,0,0,0,2,1
MS_Luis,53,57,3,0.4880,1.4640,1.0000,1.0000,FALSE,0,0,0,1,2
MS_Pino,81,85,3,0.4514,1.3541,1.0000,1.0000,FALSE,0,0,0,1,2
MS_Punto Bellota,10,13,4,0.3238,1.2953,0.0260,0.0897,FALSE,0,0,0,3,1
MS_Puntilla nueva,27,31,3,0.4309,1.2926,0.9421,1.0000,FALSE,1,0,1,0,2
MS_Pino,59,63,3,0.4056,1.2167,1.0000,1.0000,FALSE,0,0,0,2,1
MS_Marianin o Katiuska,29,35,4,0.3013,1.2054,1.0000,1.0000,FALSE,0,0,0,0,4
MS_Dalila,17,21,3,0.3857,1.1571,0.6833,1.0000,FALSE,0,0,0,0,3
MS_Mariposa,29,35,4,0.2811,1.1245,1.0000,1.0000,FALSE,0,0,0,3,1
MS_Salvador,141,145,3,0.2217,0.6652,1.0000,1.0000,FALSE,0,0,0,0,3
MS_Puntilla,17,21,3,0.1706,0.5117,1.0000,1.0000,FALSE,0,0,0,2,1
MS_Adolbert,25,29,3,0.1466,0.4397,1.0000,1.0000,FALSE,0,0,0,3,0
MS_Gafitas2,33,37,3,0.1065,0.3196,1.0000,1.0000,FALSE,0,0,0,0,3
