teixit,volta_inici,volta_final,n_voltes,n_convergents,n_gramaticals,n_lexiques,n_cap,frac_gramatical,frac_lexica,score_mitja_5_2,q_valor_5_2,significatiu_FDR_5_2,veredicte,voltes_convergents,tokens_rare_segment
MS_La Puntilla,1,47,24,13,0,11,0,0.542,1.0,2.7651,1.0,False,CONVERGENCIA,3|7|11|13|15|17|19|21|23|25|27|31|45,<a(9)g>×1|<a(6)pglla>×1|<a(3)(pella-3v)(3)g>×1|<a(4)(glla-2v)(4)g>×1|<ll(7)>×1|<a(5)(glla-5v)g>×1|<ll(9)>×1|<a(12)p>×1|<ll(11)>×1|<a(10)g>×1|<ll(13)>×1|<a(8)g>×1|<ll(15)>×1|<a(6)g>×1|<ll(17)>×1|<ll(19)>×1|<ll(21)>×1|<(23)l>×1|<(10)3(10)lpl>×1|<(9)3(9)l(pl-3v)>×1|<(8)3(8)lg(lp-3v)lal>×1|<(7)3(7)(lg-2v)(lp-3v)(la-2v)l>×1|<(6)3(6)(lg-3v)l(3)(la-3v)l>×1|<(5)3(5)(lg-4v)lxl(al-4v)>×1|<(4)3(4)(lg-4v)l(9)l(al-4v)>×1|<(3)3(3)(lg-4v)l(11)l(al-4v)>×1|<(2)3(2)(lg-4v)l(13)l(al-4v)>×1|<p3p(lg-4v)l(15)l(al-4v)>×1|<3(lg-4v)l(17)l(al-4v)>×1
MS_Celia 1,81,107,14,5,1,8,0,0.429,0.929,2.5634,0.008436008436008436,True,CONVERGENCIA,85|89|93|97|101,(45)×1|(47)×1|(49)×1|(51)×1|(53)×1|(55)×1|(57)×1|(59)×1|(61)×1|(63)×1|(65)×1|(67)×1|(69)×1
MS_Campanilla,89,109,11,5,0,5,1,0.455,0.909,4.1199,0.008436008436008436,True,CONVERGENCIA,89|91|93|101|105,<222222l>×1|2222223×1|<glla3>×1|<p22222plxl>×1|<a2222gplxlp>×1|<a222g2lxl2>×1|<a22gp2lxl2p>×1|<a23l22lxl22l>×1|<x22xl22plpl>×1|<glplala2222glglpl>×1|<xlp(la-3v)222(pl-3v)pl>×1|<xlp(la-4v)22(gl-4/v)l>×1
MS_Puntilla2,15,49,18,5,2,10,1,0.389,0.833,2.0026,0.015184815184815185,True,CONVERGENCIA,23|25|27|29|35,<a(2)(lp-3v)l(2)g>×1|<a(6)(lp-3v)l(6)g>×1|<a(7)(lp-3v)l(7)g>×1|<a(8)(lp-3v)l(8)g>×1|<a(9)(lp-3v)l(9)g>×1|<a(10)(lp-3v)l(10)g>×1|<a(11)(lp-3v)l(11)g>×1|<A(11)(LP-3v)L(11)G>×1|<APGL(21)LAPGL>×1|<ALAPGL(13)LAPGLGL(3)L>×1|<AL3L(15)L3LGLGLPLAL>×1|<GL>×1|<(AL-2v)3(7)3(LG-4v)LPL(AL-2v)>×1|<(AL-2v)A(5)(GL-5v)(3)(LA-2v)L>×1|<(AL-2v)A(3)(GL-5v)P(LA-3v)L>×1
MS_Grafico 2,65,85,11,3,0,7,1,0.273,0.909,1.9092,0.008436008436008436,True,CONVERGENCIA,65|69|75,<lxl(5)>×1|<lxl(7)>×1|<a(4)>×1|<lxl(9)>×1|<lxl(11)>×1|<l(3)l(11)>×1|<lpl3lpla(7)g>×1|<l(3)lxl(3)la(5)g>×1|<lpl3l3l3lpla(3)g>×1|<l(3)lx(3)lxl(3)lapp>×1|<l3lp>×1
MS_Araceli,71,81,6,3,1,1,1,0.667,0.667,2.8402,0.008436008436008436,True,CONVERGENCIA,71|75|77,<l(3)l>×1|<l(7)l>×1|<l(9)l>×1|<lal>×1|<l(11)l>×1
MS_Julito,71,91,7,3,3,0,1,0.857,0.429,1.8942,0.008436008436008436,True,CONVERGENCIA,81|83|85,<l(3)3(3)>×1|<lplpp3pp>×1|<l(3)lp3p>×1
MS_Pino,117,129,7,2,2,3,0,0.571,0.714,1.7296,0.008436008436008436,True,CONVERGENCIA,119|121,<a(3)g(plxl-3v)pa(3)g>×1|<apg(2)lxl(2)l3l(2)lxl(2)apg>×1|<3(3)lxl(3)l3l(3)lxl(3)3>×1|<a(3)lxl(4)l3l(4)lxl(3)g>×1|<a(3)lxl(5)l3l(5)lxl(3)g>×1
MS_Pensamiento,19,23,3,2,1,0,0,1.0,0.667,3.1474,0.0521978021978022,False,CONVERGENCIA,21|23,<(3)ll>×1|<plallgl>×1
MS_Margarita,43,79,19,2,8,6,3,0.526,0.421,1.0016,0.008436008436008436,True,CONVERGENCIA,49|51,<lxl(4)>×1|<lxl(6)>×1|<lxl(8)>×1|<lxl(10)>×1|<lxl(12)>×1
MS_Claveles,55,77,12,1,0,11,0,0.083,1.0,1.0015,0.027608754881482154,True,CONVERGENCIA,57,<3>>×1|<3>(2)>×1|<3>(4)>×1|<3>(6)>×1|<3>(8)>×1|<3>(10)>×1|<3>(12)>×1|<3>(14)>×1|<lpla(12)g>×1|<l(3)la(10)g>×1|<l(2)llapla(8)g>×1|<l(glla-2v)la(6)g>×1
MS_Leonor,105,111,4,1,1,2,0,0.5,0.75,4.6999,0.03163503163503164,True,CONVERGENCIA,109,<LP2>×1|<P2L>×1|<GLLA3LLA>×1|T×1|<L2PLP>×1|<L2P>×1|<2PL>×1|<PL2PL>×1
MS_Rita,93,103,6,1,1,3,1,0.333,0.667,2.1948,0.04555444555444556,True,CONVERGENCIA,97,<l(4)>×1|<(4)l>×1|<l(3)g3>×1|<l(3)g>×1|<3pl>×1
MS_Punto conchas,1,13,7,1,4,1,1,0.714,0.286,1.3803,1.0,False,CONVERGENCIA,13,<p(3r)>×1
MS_Palmito,5,23,5,1,4,0,0,1.0,0.2,1.6588,0.05805958747135218,False,CONVERGENCIA,21,<l(9)>×1
MS_Celia 2,13,21,5,1,4,0,0,1.0,0.2,1.305,0.7102574844510329,False,CONVERGENCIA,15,
