teixit,volta,classe,categoria_5_1,score_5_1,n_rare,tokens_rare,z_runs,flags_5_1
MS_Adolbert,18,CONVERGENT,ALTA,6.588,2,25|.,,flag_sig_intra|flag_macro_surp
MS_Claveles,119,CONVERGENT,ALTA,6.0228,1,<l(3)lxl(3)lxl(3)lxl(3)l>,,flag_sig_intra|flag_macro_surp
MS_Ovalo1,49,CONVERGENT,CRÍTICA,8.502,1,333,,flag_sig_intra|flag_sig_salt|flag_macro_surp
MS_Pelargonia,64,CONVERGENT,CRÍTICA,7.4671,4,S|b|u|t,,flag_sig_intra|flag_macro_surp|flag_micro_max
MS_Rita,107,CONVERGENT,MODERADA,5.3026,1,<gll3l(2)ll(2)l3lla>,,flag_macro_surp
MS_Titi 1,15,CONVERGENT,MODERADA,2.7095,0,,-4.0899,flag_sig_salt
MS_Titi 2 - Grafico A,15,CONVERGENT,MODERADA,2.7994,0,,-4.0899,flag_sig_salt
MS_Adolbert,35,LEXICA,normal,4.0751,1,<pl3l>,,
MS_Araceli,47,LEXICA,normal,3.7596,1,<lplx>,,
MS_Cacus,15,LEXICA,normal,4.5262,0,,3.1952,
MS_Campanilla,69,LEXICA,normal,3.453,1,<xll>,,
MS_Celia 1,55,LEXICA,normal,2.6467,0,,3.379,
MS_Celia 1,75,LEXICA,normal,3.2842,1,(37),,
MS_Celia 1,77,LEXICA,normal,4.4653,1,(39),,
MS_Claveles,111,LEXICA,normal,2.6118,0,,4.0828,
MS_Claveles,115,LEXICA,normal,2.3981,0,,5.391,
MS_Claveles,117,LEXICA,normal,4.6027,1,<lpl3l3l3l3l3lplp3p>,,
MS_Fajas,37,LEXICA,normal,3.5285,1,<l>,,
MS_Gafitas2,57,LEXICA,normal,5.6117,1,<l(2)la>,,
MS_Grafico 2,31,LEXICA,normal,2.3433,1,<l(3)lx>,,
MS_Grafico B - Puntilla,73,LEXICA,normal,3.0921,0,,5.391,
MS_Hijo,31,LEXICA,normal,3.0279,0,,3.1261,
MS_Hijo,33,LEXICA,normal,3.0863,0,,3.5832,
MS_Hojas,37,LEXICA,normal,3.0236,1,<xlpl>,,
MS_Hojas,41,LEXICA,normal,4.601,1,<xlgl3>lal>,,
MS_Hojas,43,LEXICA,normal,3.2579,0,,5.0745,
MS_Julito,45,LEXICA,normal,3.2415,1,<apgl>,,
MS_Leonor,45,LEXICA,normal,2.9692,1,<LXLP>,,
MS_Leonor,49,LEXICA,normal,2.8765,1,<LPL(2)>,,
MS_Leonor,65,LEXICA,normal,2.4552,1,C,,
MS_Leonor,83,LEXICA,normal,2.2588,1,<L(2)>,,
