A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
p,p,3,0.6,7.3e-05,8180.3,40897.5,0.0,0.0,True
<73,>,6,1.0,0.000147,6816.9167,,0.0,0.0,True
<83,>,6,1.0,0.000147,6816.9167,,0.0,0.0,True
MZ,MZ,18,0.692308,0.00022,3146.2692,,0.0,0.0,True
<LG>,<LP>,4,0.125,9.8e-05,1278.1719,2920.25,0.0,0.0,True
<LP>,<LA>,4,0.5,0.00077,649.2302,1385.3559,0.0,0.0,True
3>,<7,7,0.104478,0.000171,610.4701,1362.15,0.0,0.0,True
],[,42,0.512195,0.000917,558.6546,2599.1636,0.0,0.0,True
<GL>,(4),23,0.638889,0.002726,234.3634,721.5542,0.0,0.0,True
(4),<LA>,29,0.128889,0.00077,167.3571,354.8583,0.0,0.0,True
28,/,13,1.0,0.007591,131.7279,,0.0,0.0,True
23,/,10,1.0,0.007591,131.7279,,0.0,0.0,True
212,/,10,1.0,0.007591,131.7279,,0.0,0.0,True
24,/,6,1.0,0.007591,131.7279,,0.0,0.0,True
25,/,6,1.0,0.007591,131.7279,,0.0,0.0,True
26,/,6,1.0,0.007591,131.7279,,0.0,0.0,True
27,/,6,1.0,0.007591,131.7279,,0.0,0.0,True
29,/,6,1.0,0.007591,131.7279,,0.0,0.0,True
210,/,6,1.0,0.007591,131.7279,,0.0,0.0,True
33,/,6,1.0,0.007591,131.7279,,0.0,0.0,True
211,/,5,1.0,0.007591,131.7279,,0.0,0.0,True
22,/,10,0.625,0.007591,82.3299,221.4294,0.0,0.0,True
(6),<LG>,4,0.028369,0.000367,77.3551,91.6743,2.2e-07,5.6e-07,True
16,/,4,0.571429,0.007591,75.2731,175.4273,1.1e-07,2.9e-07,True
R,R,671,0.791274,0.010538,75.0911,1603.0007,0.0,0.0,True
-,R,147,0.703349,0.010538,66.7472,268.1979,0.0,0.0,True
12,/,6,0.461538,0.007591,60.7975,113.1359,0.0,0.0,True
3>,(6),6,0.089552,0.001565,57.2316,65.8001,0.0,0.0,True
10,/,3,0.375,0.007591,49.3979,78.8126,2.37e-05,5.05e-05,True
(6),3>,6,0.042553,0.00088,48.3469,54.9468,0.0,1e-08,True
2,/,252,0.364162,0.007591,47.9703,125.3202,0.0,0.0,True
/,V,446,0.718196,0.015061,47.6872,260.6806,0.0,0.0,True
13,/,4,0.333333,0.007591,43.9093,65.7812,1.55e-06,3.7e-06,True
·,v,156,0.968944,0.022799,42.5,1459.28,0.0,0.0,True
5,.,194,0.902326,0.022786,39.5992,442.0899,0.0,0.0,True
11,.,17,0.85,0.022786,37.3029,245.2467,0.0,0.0,True
V,<3,13,0.010924,0.000293,37.2353,80.932,0.0,0.0,True
4,.,213,0.832031,0.022786,36.5143,239.7116,0.0,0.0,True
7,.,106,0.815385,0.022786,35.7837,200.7724,0.0,0.0,True
9,.,47,0.810345,0.022786,35.5626,187.953,0.0,0.0,True
8,.,45,0.775862,0.022786,34.0493,152.0984,0.0,0.0,True
6,.,95,0.76,0.022786,33.3532,143.0442,0.0,0.0,True
17,.,6,0.75,0.022786,32.9143,129.0694,0.0,1e-08,True
V,V,588,0.494118,0.015061,32.8087,121.2877,0.0,0.0,True
6,/,30,0.24,0.007591,31.6147,43.3273,0.0,0.0,True
15,.,5,0.714286,0.022786,31.3469,107.5,1.2e-07,3.1e-07,True
v,v,1205,0.676586,0.022799,29.6766,251.5552,0.0,0.0,True
8,/,13,0.224138,0.007591,29.5252,38.5519,0.0,0.0,True
13,.,8,0.666667,0.022786,29.2572,86.1369,0.0,0.0,True
3,.,654,0.644335,0.022786,28.2771,119.1457,0.0,0.0,True
X,X,216,0.259304,0.00945,27.4409,50.5405,0.0,0.0,True
10,.,5,0.625,0.022786,27.4286,71.6658,3.2e-07,8e-07,True
2,.,426,0.615607,0.022786,27.0164,88.732,0.0,0.0,True
V,),9,0.007563,0.000293,25.7783,40.9473,0.0,0.0,True
7,/,24,0.184615,0.007591,24.319,30.7485,0.0,0.0,True
12,.,7,0.538462,0.022786,23.6308,50.2182,0.0,1e-08,True
9,/,10,0.172414,0.007591,22.7117,27.6643,0.0,0.0,True
<GL>,(3),4,0.111111,0.005012,22.1688,25.0496,3.226e-05,6.835e-05,True
4,/,43,0.167969,0.007591,22.1262,28.28,0.0,0.0,True
IMZ,3,5,0.25,0.012066,20.7201,27.4274,3.38e-06,7.65e-06,True
G,<L(3)LX>,12,0.003238,0.000159,20.3752,253.6957,0.0,0.0,True
R,),5,0.005896,0.000293,20.097,25.2657,4.27e-06,9.55e-06,True
11,/,3,0.15,0.007591,19.7592,23.1768,0.00045077,0.00085385,True
3,<LG>,7,0.006897,0.000367,18.8053,24.3856,7e-08,1.8e-07,True
-,V,53,0.253589,0.015061,16.8379,23.1726,0.0,0.0,True
v,),8,0.004492,0.000293,15.3103,22.5623,3e-08,7e-08,True
A,13,7,0.001959,0.000134,14.5653,38.3778,9e-08,2.2e-07,True
A,·,102,0.028539,0.001968,14.5007,38.9232,0.0,0.0,True
A,17,5,0.001399,9.8e-05,14.3052,36.5303,7.96e-06,1.758e-05,True
3,/,109,0.107389,0.007591,14.1461,18.8631,0.0,0.0,True
3,(2),13,0.012808,0.000954,13.4323,16.1124,0.0,0.0,True
A,-,122,0.034135,0.002555,13.3607,31.7435,0.0,0.0,True
(2),3,13,0.158537,0.012066,13.1396,15.6193,0.0,0.0,True
A,15,4,0.001119,8.6e-05,13.0791,29.2161,0.00011447,0.00023551,True
(3),<LA>,4,0.009524,0.00077,12.3663,13.2536,0.00032119,0.00062493,True
/,v,175,0.281804,0.022799,12.3605,18.4561,0.0,0.0,True
2>,3,4,0.148148,0.012066,12.2786,14.294,0.00029634,0.00057972,True
X,6,15,0.018007,0.001516,11.8794,13.6035,0.0,0.0,True
5,/,19,0.088372,0.007591,11.6411,13.041,0.0,0.0,True
X,(6),15,0.018007,0.001565,11.5082,13.1213,0.0,0.0,True
(6),X,14,0.099291,0.00945,10.5075,11.7503,0.0,0.0,True
3,(11),4,0.003941,0.000416,9.4817,10.6506,0.00081257,0.00150725,True
A,8,23,0.006435,0.000697,9.2357,14.8963,0.0,0.0,True
A,(7),32,0.008954,0.001002,8.932,14.1261,0.0,0.0,True
(7),G,34,0.419753,0.047028,8.9257,14.7809,0.0,0.0,True
[,A,44,0.357724,0.041221,8.6782,13.1127,0.0,0.0,True
3,[,8,0.007882,0.000917,8.5967,9.5713,4.43e-06,9.84e-06,True
(9),G,19,0.404255,0.047028,8.5961,13.8139,0.0,0.0,True
A,(4),83,0.023223,0.002726,8.519,13.2614,0.0,0.0,True
A,2,252,0.070509,0.0083,8.4946,13.8218,0.0,0.0,True
G,12,5,0.001349,0.000159,8.4897,13.1871,0.00018036,0.0003648,True
(3),-,9,0.021429,0.002555,8.3872,8.8886,1.62e-06,3.85e-06,True
A,5,75,0.020985,0.002567,8.1744,12.3994,0.0,0.0,True
(13),G,6,0.375,0.047028,7.974,12.1759,5.732e-05,0.00012001,True
A,7,45,0.012591,0.001589,7.9229,11.723,0.0,0.0,True
A,(9),16,0.004477,0.000575,7.7918,11.3435,0.0,0.0,True
(4),G,82,0.364444,0.047028,7.7496,11.8513,0.0,0.0,True
A,(13),5,0.001399,0.000183,7.6295,10.9581,0.00032982,0.00063824,True
(11),G,12,0.352941,0.047028,7.505,11.0846,2e-08,6e-08,True
G,],41,0.011063,0.001516,7.2984,10.5149,0.0,0.0,True
.,2>,4,0.002273,0.000318,7.1506,8.2855,0.00218748,0.00391559,True
],3,7,0.085366,0.012066,7.0752,7.6896,6.317e-05,0.00013148,True
A,(11),10,0.002798,0.000416,6.7319,9.1429,1.25e-06,3.03e-06,True
A,9,17,0.004757,0.000709,6.7087,9.1143,0.0,0.0,True
G,G,1149,0.310038,0.047028,6.5927,12.5578,0.0,0.0,True
L,33,6,0.000483,7.3e-05,6.589,,1.221e-05,2.681e-05,True
L,(25),3,0.000242,3.7e-05,6.589,,0.00349497,0.00610341,True
L,<3L>,3,0.000242,3.7e-05,6.589,,0.00349497,0.00610341,True
<L3>,L,14,1.0,0.151902,6.5832,,0.0,0.0,True
<L(3)LX>,L,13,1.0,0.151902,6.5832,,0.0,0.0,True
<4,L,7,1.0,0.151902,6.5832,,1.86e-06,4.33e-06,True
<L3L(3)>,L,7,1.0,0.151902,6.5832,,1.86e-06,4.33e-06,True
(26),L,5,1.0,0.151902,6.5832,,8.082e-05,0.00016724,True
3,],10,0.009852,0.001516,6.4995,7.0415,3.78e-06,8.51e-06,True
A,(8),6,0.001679,0.000269,6.2423,8.2203,0.00028201,0.00055473,True
],A,21,0.256098,0.041221,6.2128,8.0513,0.0,0.0,True
.,G,513,0.291477,0.047028,6.198,9.4652,0.0,0.0,True
G,[,20,0.005397,0.000917,5.8862,7.6991,0.0,0.0,True
(21),L,7,0.875,0.151902,5.7603,39.104,1.293e-05,2.822e-05,True
A,6,31,0.008674,0.001516,5.7221,7.3512,0.0,0.0,True
A,<3,6,0.001679,0.000293,5.7221,7.3067,0.00047191,0.00088918,True
A,11,5,0.001399,0.000244,5.7221,7.3049,0.0014185,0.00259093,True
A,(5),39,0.010912,0.00198,5.5102,7.0057,0.0,0.0,True
L,<83,5,0.000403,7.3e-05,5.4909,27.9561,0.00042174,0.00080309,True
<3,L,13,0.8125,0.151902,5.3489,24.2182,1e-08,2e-08,True
A,A,780,0.218243,0.041221,5.2945,8.1464,0.0,0.0,True
A,3,225,0.062955,0.012066,5.2177,6.8301,0.0,0.0,True
A,(6),29,0.008114,0.001565,5.1856,6.456,0.0,0.0,True
<LG>,L,25,0.78125,0.151902,5.1431,19.9782,0.0,0.0,True
v,3>,8,0.004492,0.00088,5.1034,5.6372,0.00017302,0.00035193,True
(8),G,5,0.238095,0.047028,5.0629,6.3395,0.0024793,0.00441586,True
(5),G,38,0.233129,0.047028,4.9573,6.2118,0.0,0.0,True
L,(19),6,0.000483,9.8e-05,4.9418,16.7748,0.00025881,0.0005145,True
L,(23),6,0.000483,9.8e-05,4.9418,16.7748,0.00025881,0.0005145,True
