teixit,volta,longitud_total,num_tokens_atomics,num_macros,prof_max,frac_outlier,tokens_desconeguts,num_blocks_verticals,sum_n_voltes_verticals,max_n_voltes_verticals,max_seq_len_vertical,frac_verticals,dist_cosinus_volta_anterior,z_salt_global,dist_centroide_teixit,z_intra_teixit,frac_C0,frac_C1,frac_C2,frac_C3,frac_C4,frac_C5,frac_C6,frac_C7,frac_C8,frac_C9,frac_C10,frac_C11,frac_C_RARE
ND_Isabelet,1,2,2,0,0,0.0,0,0,0,0,0,0.0,,,0.105925,1.550939,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND_Isabelet,3,4,4,0,0,0.0,0,0,0,0,0,0.0,0.051317,-0.277981,0.098496,1.34276,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
ND_Isabelet,5,5,5,0,0,0.0,0,0,0,0,0,0.0,0.002946,-0.572932,0.091733,1.153254,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
ND_Isabelet,7,7,5,1,1,0.142857,0,0,0,0,0,0.0,0.125525,0.174515,0.051969,0.03902,0.0,0.142857,0.428571,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.0,0.142857,0.0
ND_Isabelet,9,7,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.051969,0.03902,0.0,0.142857,0.428571,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.0,0.142857,0.0
ND_Isabelet,11,7,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.051969,0.03902,0.0,0.142857,0.428571,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.0,0.142857,0.0
ND_Isabelet,13,7,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.051969,0.03902,0.0,0.142857,0.428571,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.0,0.142857,0.0
ND_Isabelet,15,7,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.051969,0.03902,0.0,0.142857,0.428571,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.0,0.142857,0.0
ND_Isabelet,17,7,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.051969,0.03902,0.0,0.142857,0.428571,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.0,0.142857,0.0
ND_Isabelet,19,8,6,1,1,0.0,0,0,0,0,0,0.0,0.029275,-0.412386,0.103311,1.477681,0.0,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.125,0.0
ND_Isabelet,21,8,5,1,1,0.0,0,0,0,0,0,0.0,0.049671,-0.288018,0.035752,-0.415405,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0
ND_Isabelet,25,8,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.035752,-0.415405,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0
ND_Isabelet,29,8,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.035752,-0.415405,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0
ND_Isabelet,33,8,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.035752,-0.415405,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0
ND_Isabelet,23,8,5,1,1,0.0,0,0,0,0,0,0.0,0.0,-0.590895,0.035752,-0.415405,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0
