teixit,volta,tipus,dist_centroide,z_intra_tipus,es_outlier,longitud_total
ND_Isabelet,1,V0,0.097328,-0.166533,0,2
ND_Isabelet,3,V0,0.103458,-0.110965,0,4
ND_Isabelet,5,V0,0.093454,-0.201657,0,5
ND_Isabelet,7,V0,0.109299,-0.058014,0,7
ND_Isabelet,9,V0,0.109299,-0.058014,0,7
ND_Isabelet,11,V0,0.109299,-0.058014,0,7
ND_Isabelet,13,V0,0.109299,-0.058014,0,7
ND_Isabelet,15,V0,0.109299,-0.058014,0,7
ND_Isabelet,17,V0,0.109299,-0.058014,0,7
ND_Isabelet,19,V1,0.104813,-0.245085,0,8
ND_Isabelet,21,V0,0.08005,-0.32316,0,8
ND_Isabelet,25,V0,0.08005,-0.32316,0,8
ND_Isabelet,29,V0,0.08005,-0.32316,0,8
ND_Isabelet,33,V0,0.08005,-0.32316,0,8
ND_Isabelet,23,V0,0.08005,-0.32316,0,8
ND_Isabelet,27,V0,0.08005,-0.32316,0,8
ND_Isabelet,31,V0,0.08005,-0.32316,0,8
ND_Isabelet,35,V0,0.08005,-0.32316,0,8
ND_Isabelet,37,V0,0.109299,-0.058014,0,7
ND_Isabelet,39,V0,0.109299,-0.058014,0,7
ND_Isabelet,41,V0,0.109299,-0.058014,0,7
ND_Isabelet,43,V0,0.109299,-0.058014,0,7
ND_Isabelet,45,V0,0.08005,-0.32316,0,8
ND_Isabelet,47,V0,0.08005,-0.32316,0,8
ND_Isabelet,49,V0,0.08005,-0.32316,0,8
ND_Isabelet,51,V0,0.08906,-0.241489,0,10
ND_Isabelet,53,V0,0.041294,-0.674502,0,14
ND_Isabelet,55,V0,0.099429,-0.147488,0,16
ND_Isabelet,57,V0,0.014585,-0.916617,0,18
ND_Isabelet,59,V0,0.044151,-0.648601,0,19
ND_Isabelet,61,V0,0.014672,-0.915833,0,21
ND_Isabelet,63,V1,0.069197,-0.46136,0,61
ND_Isabelet,65,V0,0.103737,-0.108439,0,25
ND_Isabelet,67,V0,0.103737,-0.108439,0,25
ND_Isabelet,69,V0,0.056101,-0.540267,0,29
ND_Isabelet,71,V0,0.072306,-0.393366,0,28
ND_Isabelet,73,V0,0.057357,-0.528883,0,27
ND_Isabelet,75,V0,0.057357,-0.528883,0,27
ND_Isabelet,77,V0,0.052037,-0.577109,0,25
ND_Isabelet,79,V0,0.032237,-0.756599,0,23
ND_Isabelet,81,V0,0.077649,-0.344928,0,22
ND_Isabelet,83,V0,0.03778,-0.706349,0,24
ND_Isabelet,85,V0,0.044541,-0.645067,0,23
ND_Isabelet,87,V1,0.091627,-0.325157,0,56
ND_Isabelet,89,V0,0.078988,-0.332793,0,110
ND_Isabelet,91,V0,0.00997,-0.958459,0,53
ND_Isabelet,93,V0,0.024402,-0.827623,0,48
ND_Isabelet,95,V0,0.013516,-0.92631,0,43
ND_Isabelet,97,V0,0.032151,-0.757376,0,50
ND_Isabelet,99,V0,0.055869,-0.542373,0,59
ND_Isabelet,101,V0,0.017781,-0.887649,0,65
ND_Isabelet,103,V0,0.019188,-0.874896,0,51
ND_Isabelet,105,V0,0.015708,-0.906437,0,66
ND_Isabelet,107,V0,0.016351,-0.900612,0,65
ND_Isabelet,109,V0,0.043952,-0.6504,0,20
ND_Isabelet,111,V0,0.04109,-0.676346,0,61
ND_Isabelet,113,V0,0.033935,-0.741205,0,54
ND_Isabelet,115,V0,0.017232,-0.892626,0,40
ND_Isabelet,117,V0,0.016256,-0.901472,0,31
ND_Isabelet,119,V0,0.022651,-0.843502,0,35
ND_Isabelet,121,V0,0.019129,-0.875428,0,32
ND_Isabelet,123,V0,0.032515,-0.75408,0,40
ND_Isabelet,125,V0,0.020721,-0.860997,0,40
ND_Isabelet,127,V0,0.011908,-0.940889,0,39
ND_Isabelet,129,V0,0.03854,-0.69946,0,40
ND_Isabelet,131,V0,0.063151,-0.476358,0,11
ND_Isabelet,133,V0,0.10962,-0.055107,0,6
ND_Isabelet,135,V0,0.10962,-0.055107,0,6
ND_Isabelet,137,V0,0.10962,-0.055107,0,6
ND_Isabelet,139,V0,0.10962,-0.055107,0,6
ND_Isabelet,141,V0,0.10962,-0.055107,0,6
ND_Isabelet,143,V0,0.045419,-0.637102,0,15
ND_Isabelet,145,V0,0.032132,-0.757553,0,15
ND_Isabelet,147,V0,0.058919,-0.514726,0,18
ND_Isabelet,149,V0,0.018106,-0.884701,0,28
ND_Isabelet,151,V0,0.041781,-0.670086,0,21
ND_Isabelet,153,V0,0.095586,-0.182325,0,25
ND_Isabelet,155,V0,0.034093,-0.739772,0,28
ND_Isabelet,157,V0,0.032589,-0.753411,0,48
ND_Isabelet,159,V0,0.047965,-0.61402,0,30
ND_Isabelet,161,V0,0.047965,-0.61402,0,30
ND_Isabelet,163,V0,0.058835,-0.515487,0,29
ND_Isabelet,165,V0,0.014424,-0.91808,0,28
ND_Isabelet,167,V0,0.045239,-0.638738,0,52
ND_Isabelet,169,V0,0.100619,-0.136702,0,27
ND_Isabelet,171,V0,0.123366,0.069502,0,27
ND_Isabelet,173,V0,0.123366,0.069502,0,27
ND_Isabelet,175,V0,0.193766,0.707701,0,24
ND_Isabelet,177,V0,0.193766,0.707701,0,24
ND_Isabelet,179,V0,0.017558,-0.889669,0,67
ND_Isabelet,181,V0,0.015966,-0.904101,0,67
ND_Isabelet,183,V0,0.041476,-0.672844,0,56
ND_Isabelet,185,V0,0.054797,-0.552087,0,64
ND_Isabelet,187,V0,0.047598,-0.617353,0,68
ND_Isabelet,189,V0,0.121604,0.053533,0,69
ND_Isabelet,191,V0,0.061437,-0.491898,0,74
ND_Isabelet,193,V0,0.187425,0.650213,0,81
ND_Isabelet,195,V0,0.027518,-0.799384,0,70
ND_Rosario,1,V0,0.097328,-0.166533,0,2
ND_Rosario,3,V0,0.103458,-0.110965,0,4
ND_Rosario,5,V0,0.097328,-0.166533,0,5
ND_Rosario,7,V0,0.097328,-0.166533,0,5
ND_Rosario,9,V0,0.097328,-0.166533,0,5
ND_Rosario,11,V0,0.106015,-0.087786,0,7
ND_Rosario,13,V0,0.072402,-0.392497,0,7
ND_Rosario,15,V1,0.105027,-0.243786,0,10
ND_Rosario,17,V1,0.065065,-0.486449,0,12
ND_Rosario,19,V1,0.086867,-0.35406,0,13
ND_Rosario,21,V1,0.066011,-0.480703,0,16
ND_Rosario,23,V1,0.07788,-0.408632,0,18
ND_Rosario,25,V1,0.090638,-0.331162,0,20
ND_Rosario,27,V1,0.102854,-0.256983,0,22
ND_Rosario,29,V1,0.114041,-0.189053,0,24
ND_Rosario,31,V0,0.044786,-0.642842,0,18
ND_Rosario,33,V1,0.083005,-0.377513,0,24
ND_Rosario,35,V1,0.072176,-0.443269,0,25
ND_Rosario,37,V1,0.088603,-0.343516,0,25
ND_Rosario,39,V1,0.057522,-0.53225,0,26
ND_Rosario,41,V1,0.079173,-0.40078,0,26
ND_Rosario,43,V1,0.087523,-0.350077,0,27
ND_Rosario,45,V0,0.098871,-0.152545,0,27
ND_Rosario,47,V1,0.050952,-0.572146,0,29
ND_Rosario,49,V0,0.07167,-0.399135,0,32
ND_Rosario,51,V0,0.072942,-0.387598,0,32
ND_Rosario,53,V0,0.074344,-0.374893,0,37
ND_Rosario,55,V0,0.078706,-0.335351,0,23
ND_Rosario,57,V0,0.146775,0.281715,0,23
ND_Rosario,59,V0,0.078706,-0.335351,0,23
ND_Rosario,61,V0,0.146775,0.281715,0,23
ND_Rosario,63,V1,0.053909,-0.554189,0,26
ND_Rosario,65,V1,0.11158,-0.203998,0,27
ND_Rosario,67,V1,0.016838,-0.779296,0,30
ND_Rosario,69,V1,0.03083,-0.694332,0,31
ND_Rosario,71,V1,0.039938,-0.639026,0,42
ND_Rosario,73,V1,0.065919,-0.481262,0,45
ND_Rosario,75,V1,0.043545,-0.617121,0,44
ND_Rosario,77,V1,0.051418,-0.569317,0,57
ND_Rosario,79,V1,0.059846,-0.51814,0,46
ND_Rosario,81,V1,0.093636,-0.312955,0,43
ND_Rosario,83,V1,0.132433,-0.077375,0,50
