teixit,n_voltes,n_tokens_eval,surprisal_loo,surprisal_in_sample,delta_loo_vs_in,n_oov_bigrames_loo,frac_oov_loo
ND_Dolores,106,1171,4.3724,3.7037,0.6686,71,0.0606
ND_Ruth,36,1219,4.2576,3.1112,1.1464,135,0.1107
ND_Punto Angelines para blusa,15,439,4.0173,2.9399,1.0773,41,0.0934
ND_Conchita Romero,90,1851,3.75,2.9932,0.7568,105,0.0567
ND_Merche,53,811,3.6438,3.3462,0.2976,15,0.0185
ND_Campesina,30,264,3.4776,3.3982,0.0795,2,0.0076
ND_Sin nombre,8,53,3.4654,3.4418,0.0236,0,0.0
ND_Vilno (Hijo),75,2151,3.4019,2.995,0.4068,77,0.0358
ND_Demetri pequeño,28,317,3.3252,3.2481,0.0771,1,0.0032
ND_Chistrofe Rosa de Navidad,91,1213,3.2116,3.071,0.1405,9,0.0074
ND_Isabelet,98,2865,3.1968,2.6594,0.5374,162,0.0565
ND_Demetri grande,49,740,3.1834,3.0249,0.1585,9,0.0122
ND_Anelise,65,1476,3.1768,2.8352,0.3417,50,0.0339
ND_Tara,65,1331,3.069,2.9555,0.1135,7,0.0053
ND_Aurea,70,2811,2.9681,2.6058,0.3624,60,0.0213
ND_Renacimiento,31,643,2.9478,2.9145,0.0333,0,0.0
ND_Coco liso,45,2135,2.9361,2.7382,0.1979,7,0.0033
ND_Chechee,55,2024,2.5365,2.1392,0.3973,54,0.0267
ND_Rosario,107,5247,2.3968,2.0319,0.3649,46,0.0088
ND_Modelo Ros Mari,55,2205,1.7813,1.6592,0.1221,2,0.0009
ND_Zapatitos de recién nacido,5,255,1.1035,1.0964,0.0071,0,0.0
ND_Maria,118,51877,1.0338,0.376,0.6578,84,0.0016
