teixit,volta,tipus_volta,context_macro,longitud_micro,score_anomalia,num_flags_actius,categoria,cross_canal,z_intra_teixit,z_salt_global,frac_outlier,surprisal_macro,z_surprisal_macro,is_zero_prob_macro,mean_surprisal_micro,max_surprisal_micro,z_mean_surprisal_micro,z_max_surprisal_micro,num_zero_prob_raw_micro,n_trans_testades,n_trans_no_validades,frac_trans_no_validades,z_frac_trans_no_validades,flag_sig_intra,flag_sig_salt,flag_macro_surp,flag_macro_zero,flag_micro_mean,flag_micro_max,flag_micro_zero,flag_trans_invalides
ND_Demetri grande,3,V1,V0,3,11.7763,5,CRÍTICA,True,3.299703,5.506775,0.0,4.4266,4.407566,False,4.8543,9.2287,3.678458,1.170415,0,1,1,1.0,4.58292,True,True,True,False,True,False,False,True
ND_Chistrofe Rosa de Navidad,36,V1,V0,1,11.1242,4,CRÍTICA,True,4.244788,5.506775,0.0,4.4266,4.407566,False,6.1178,8.1766,5.485283,0.672744,0,0,0,,,True,True,True,False,True,False,False,False
ND_Chistrofe Rosa de Navidad,44,V1,V0,1,10.3228,4,CRÍTICA,True,4.453356,5.506775,0.0,4.4266,4.407566,False,5.0338,7.4396,3.935146,0.324123,0,0,0,,,True,True,True,False,True,False,False,False
ND_Ruth,35,V1,V0,1,10.0748,4,CRÍTICA,True,3.759244,5.506775,0.0,4.4266,4.407566,False,5.0338,7.4396,3.935146,0.324123,0,0,0,,,True,True,True,False,True,False,False,False
ND_Chechee,1,V1,<BOS>,1,8.7188,2,ALTA,False,6.320703,,0.0,1.3067,0.984989,False,7.0414,10.0125,6.806045,1.541173,0,0,0,,,True,False,False,False,True,False,False,False
ND_Anelise,3,V1,V0,6,8.2447,4,CRÍTICA,True,2.596561,2.779805,0.0,4.4266,4.407566,False,3.9461,10.0125,2.379718,1.541173,0,5,2,0.4,1.070123,True,True,True,False,True,False,False,False
ND_Chistrofe Rosa de Navidad,40,V0,V0,1,8.2162,3,CRÍTICA,False,4.271636,5.506775,0.0,0.0938,-0.345581,False,5.1553,5.9202,4.108893,-0.394594,0,0,0,,,True,True,False,False,True,False,False,False
ND_Dolores,51,V1,V0,7,8.1851,3,CRÍTICA,False,5.003005,4.023017,0.0,4.4266,4.407566,False,2.7263,7.4396,0.635385,0.324123,0,4,1,0.25,0.191924,True,True,True,False,False,False,False,False
ND_Merche,3,V0,V1,1,7.9728,3,CRÍTICA,False,3.44171,5.506775,0.0,2.1258,1.883554,False,4.0086,5.6393,2.469094,-0.527467,0,0,0,,,True,True,False,False,True,False,False,False
ND_Demetri pequeño,47,V1,V0,16,7.9455,3,CRÍTICA,False,3.502762,1.925351,0.0,4.4266,4.407566,False,2.9383,10.6351,0.938548,1.83568,0,15,9,0.6,2.241056,True,False,True,False,False,False,False,True
ND_Chistrofe Rosa de Navidad,46,V0,V1,4,7.8797,2,ALTA,False,0.668085,5.506775,0.0,2.1258,1.883554,False,4.0986,7.4396,2.597795,0.324123,0,2,1,0.5,1.65559,False,True,False,False,True,False,False,False
ND_Dolores,79,V1,V0,3,7.8267,2,ALTA,False,1.513435,1.441659,0.0,4.4266,4.407566,False,3.5394,4.6398,1.798131,-1.000257,0,2,2,1.0,4.58292,False,False,True,False,False,False,False,True
ND_Merche,91,V1,V0,5,7.8095,3,CRÍTICA,True,0.47152,1.384,0.0,4.4266,4.407566,False,4.5199,9.2287,3.200261,1.170415,0,3,2,0.666667,2.631366,False,False,True,False,True,False,False,True
ND_Merche,7,V0,V0,1,7.527,3,CRÍTICA,False,2.998179,5.506775,0.0,0.0938,-0.345581,False,4.9258,5.2465,3.780704,-0.713272,0,0,0,,,True,True,False,False,True,False,False,False
ND_Ruth,3,V0,V1,4,7.2204,1,MODERADA,False,0.75274,5.506775,0.0,2.1258,1.883554,False,3.3463,6.0611,1.521995,-0.327944,0,2,1,0.5,1.65559,False,True,False,False,False,False,False,False
ND_Renacimiento,1,V1,<BOS>,2,7.1055,3,CRÍTICA,False,3.600959,,0.0,1.3067,0.984989,False,4.3985,4.6398,3.026657,-1.000257,0,1,1,1.0,4.58292,True,False,False,False,True,False,False,True
ND_Ruth,5,V1,V0,7,7.095,3,CRÍTICA,False,0.141491,2.180221,0.0,4.4266,4.407566,False,3.6186,6.0611,1.911388,-0.327944,0,6,4,0.666667,2.631366,False,True,True,False,False,False,False,True
ND_Dolores,53,V0,V1,6,7.0592,3,CRÍTICA,False,3.415223,4.023017,0.0,2.1258,1.883554,False,4.1809,7.4396,2.715486,0.324123,0,4,0,0.0,-1.271741,True,True,False,False,True,False,False,False
ND_Demetri grande,53,V1,V0,26,6.811,3,CRÍTICA,False,2.264851,1.215271,0.0,4.4266,4.407566,False,3.0874,4.6398,1.151764,-1.000257,0,25,16,0.64,2.475242,True,False,True,False,False,False,False,True
ND_Dolores,47,V0,V0,6,6.8017,3,CRÍTICA,False,3.415223,2.966077,0.0,0.0938,-0.345581,False,4.1809,7.4396,2.715486,0.324123,0,4,2,0.5,1.65559,True,True,False,False,True,False,False,False
ND_Chechee,84,V0,V0,6,6.7975,3,CRÍTICA,False,1.615938,2.057414,0.0,0.0938,-0.345581,False,3.9858,7.8574,2.43649,0.521754,0,2,2,1.0,4.58292,False,True,False,False,True,False,False,True
ND_Conchita Romero,1,V1,<BOS>,2,6.5653,2,ALTA,False,6.555959,,0.0,1.3067,0.984989,False,4.7169,10.0125,3.481974,1.541173,0,1,0,0.0,-1.271741,True,False,False,False,True,False,False,False
ND_Chistrofe Rosa de Navidad,7,V0,V1,4,6.4415,2,ALTA,False,0.273638,1.986285,0.0,2.1258,1.883554,False,4.2113,6.1158,2.758958,-0.30207,0,3,2,0.666667,2.631366,False,False,False,False,True,False,False,True
ND_Renacimiento,3,V1,V1,2,6.4222,3,CRÍTICA,False,3.600959,-0.590895,0.0,0.4202,0.012485,False,4.3985,4.6398,3.026657,-1.000257,0,1,1,1.0,4.58292,True,False,False,False,True,False,False,True
ND_Chistrofe Rosa de Navidad,50,V1,V0,5,6.3518,1,MODERADA,False,0.592341,0.96184,0.0,4.4266,4.407566,False,3.5183,7.4396,1.767957,0.324123,0,4,2,0.5,1.65559,False,False,True,False,False,False,False,False
ND_Merche,81,V1,V0,9,6.3199,2,ALTA,False,0.460372,0.847588,0.0,4.4266,4.407566,False,3.1791,4.6398,1.282896,-1.000257,0,8,6,0.75,3.119255,False,False,True,False,False,False,False,True
ND_Modelo Ros Mari,3,V1,<BOS>,4,6.2265,2,ALTA,False,-0.682769,,0.0,1.3067,0.984989,False,4.5942,10.0125,3.306511,1.541173,0,3,3,1.0,4.58292,False,False,False,False,True,False,False,True
ND_Isabelet,19,V1,V0,8,6.1828,1,MODERADA,False,1.477681,-0.412386,0.0,4.4266,4.407566,False,3.6286,10.0125,1.925688,1.541173,0,7,3,0.428571,1.237399,False,False,True,False,False,False,False,False
ND_Ruth,1,V1,<BOS>,1,6.1507,2,ALTA,False,3.747725,,0.0,1.3067,0.984989,False,5.151,7.4396,4.102744,0.324123,0,0,0,,,True,False,False,False,True,False,False,False
ND_Merche,11,V0,V0,3,6.1406,2,ALTA,False,1.538996,5.506775,0.0,0.0938,-0.345581,False,4.2749,6.5979,2.849907,-0.074024,0,2,0,0.0,-1.271741,False,True,False,False,True,False,False,False
ND_Campesina,7,V1,V0,11,6.1239,2,ALTA,False,0.113279,3.224783,0.0,4.4266,4.407566,False,2.3742,4.6398,0.131877,-1.000257,0,10,5,0.5,1.65559,False,True,True,False,False,False,False,False
ND_Ruth,11,V1,V0,11,6.1239,2,ALTA,False,0.272094,1.601254,0.0,4.4266,4.407566,False,2.8241,6.0611,0.775241,-0.327944,0,10,6,0.6,2.241056,False,False,True,False,False,False,False,True
ND_Merche,1,V1,<BOS>,2,6.026,2,ALTA,False,0.579809,,0.0,1.3067,0.984989,False,4.3985,4.6398,3.026657,-1.000257,0,1,1,1.0,4.58292,False,False,False,False,True,False,False,True
