teixit,n_voltes,n_CRITICA,n_ALTA,n_MODERADA,n_cross_canal,score_total,score_max,score_mitja
ND_Chistrofe Rosa de Navidad,91,3,8,16,2,278.4909,11.1242,3.0603
ND_Maria,118,1,5,20,1,220.131,5.7532,1.8655
ND_Isabelet,98,0,1,7,0,216.3314,6.1828,2.2075
ND_Conchita Romero,90,0,2,11,0,208.5462,6.5653,2.3172
ND_Rosario,107,0,2,12,0,200.8756,5.9326,1.8773
ND_Merche,53,3,5,8,1,150.6664,7.9728,2.8428
ND_Chechee,55,2,1,8,0,134.8911,8.7188,2.4526
ND_Vilno (Hijo),75,0,0,11,0,131.0043,5.0679,1.7467
ND_Dolores,42,3,3,9,0,127.7335,8.1851,3.0413
ND_Tara,65,0,0,6,0,124.7802,5.2264,1.9197
ND_Demetri grande,49,2,1,9,1,123.4832,11.7763,2.5201
ND_Modelo Ros Mari,55,0,2,10,0,115.2707,6.2265,2.0958
ND_Anelise,65,1,0,1,1,106.773,8.2447,1.6427
ND_Ruth,34,2,3,9,2,106.3755,10.0748,3.1287
ND_Aurea,70,0,3,2,0,99.7188,5.1066,1.4246
ND_Demetri pequeño,28,1,1,2,0,77.249,7.9455,2.7589
ND_Coco liso,45,0,1,2,0,68.9183,4.1904,1.5315
ND_Renacimiento,31,2,0,2,0,59.3974,7.1055,1.916
ND_Punto Angelines para blusa,15,0,2,1,0,58.9121,4.6038,3.9275
ND_Campesina,16,0,3,1,0,49.7665,6.1239,3.1104
ND_Sin nombre,8,0,0,0,0,11.6006,3.2149,1.4501
ND_Zapatitos de recién nacido,5,0,0,0,0,8.6563,3.3021,1.7313
