teixit,volta_inici,volta_final,n_voltes,score_mitja,score_acumulat,p_valor,q_valor,significatiu_FDR,n_voltes_cross_canal,n_critiques,n_altes,n_moderades,n_normals
ND_Chistrofe Rosa de Navidad,36,54,10,3.5547,35.5472,0.0010,0.0240,TRUE,2,3,1,5,1
ND_Ruth,1,37,10,2.7666,27.6660,0.0010,0.0240,TRUE,1,2,2,2,4
ND_Renacimiento,1,9,5,1.4810,7.4050,0.0020,0.0320,TRUE,0,2,0,2,1
ND_Dolores,45,59,8,7.0673,56.5380,0.0130,0.1558,FALSE,0,3,1,3,1
ND_Dolores,77,83,4,6.5602,26.2409,0.5155,1.0000,FALSE,0,0,1,1,2
ND_Chistrofe Rosa de Navidad,5,32,12,1.4451,17.3408,0.7802,1.0000,FALSE,0,0,5,5,2
ND_Merche,1,17,9,1.9080,17.1720,0.0529,0.2310,FALSE,0,2,4,2,1
ND_Maria,1,19,7,2.3192,16.2346,0.0529,0.2310,FALSE,1,0,3,4,0
ND_Punto Angelines para blusa,1,18,15,1.0710,16.0646,1.0000,1.0000,FALSE,0,0,2,1,12
ND_Demetri pequeño,47,55,5,2.6410,13.2051,0.0500,0.2310,FALSE,0,1,0,1,3
ND_Isabelet,3,51,25,0.4220,10.5502,0.0500,0.2310,FALSE,0,0,0,2,23
ND_Demetri grande,1,7,4,2.3591,9.4365,0.1009,0.4036,FALSE,1,1,1,0,2
ND_Campesina,1,9,5,1.6410,8.2049,0.0500,0.2310,FALSE,0,0,3,0,2
ND_Merche,67,85,10,0.7869,7.8695,0.9940,1.0000,FALSE,0,0,1,4,5
ND_Merche,59,63,3,2.5320,7.5960,0.6663,1.0000,FALSE,0,0,0,0,3
ND_Conchita Romero,1,11,6,1.1663,6.9980,0.0270,0.2158,FALSE,0,0,1,4,1
ND_Chechee,1,5,3,2.1754,6.5263,0.1449,0.5069,FALSE,0,0,1,2,0
ND_Dolores,15,19,3,2.0849,6.2547,1.0000,1.0000,FALSE,0,0,0,0,3
ND_Modelo Ros Mari,15,31,9,0.6887,6.1981,0.0260,0.2158,FALSE,0,0,0,6,3
ND_Anelise,1,9,3,1.8947,5.6841,0.7682,1.0000,FALSE,1,1,0,1,1
ND_Conchita Romero,133,143,6,0.9250,5.5503,0.1479,0.5069,FALSE,0,0,0,2,4
ND_Dolores,1,7,4,1.3070,5.2282,1.0000,1.0000,FALSE,0,0,0,3,1
ND_Chechee,102,114,7,0.6964,4.8750,0.8042,1.0000,FALSE,0,0,0,3,4
ND_Demetri grande,51,57,4,1.1866,4.7463,0.9960,1.0000,FALSE,0,1,0,0,3
ND_Chechee,73,90,7,0.6624,4.6369,0.8531,1.0000,FALSE,0,1,0,1,5
ND_Chistrofe Rosa de Navidad,168,190,12,0.3550,4.2606,1.0000,1.0000,FALSE,0,0,1,2,9
ND_Chistrofe Rosa de Navidad,74,86,7,0.5852,4.0965,1.0000,1.0000,FALSE,0,0,0,2,5
ND_Merche,91,95,3,1.3494,4.0482,1.0000,1.0000,FALSE,1,1,0,0,2
ND_Chistrofe Rosa de Navidad,134,146,7,0.4961,3.4724,1.0000,1.0000,FALSE,0,0,1,0,6
ND_Conchita Romero,21,27,4,0.8541,3.4165,0.7612,1.0000,FALSE,0,0,0,1,3
ND_Isabelet,63,71,5,0.6585,3.2924,1.0000,1.0000,FALSE,0,0,1,0,4
ND_Rosario,11,15,3,1.0768,3.2303,0.1808,0.5786,FALSE,0,0,0,2,1
ND_Maria,39,43,3,1.0312,3.0937,1.0000,1.0000,FALSE,0,0,0,2,1
ND_Maria,181,185,3,0.8372,2.5117,1.0000,1.0000,FALSE,0,0,1,1,1
ND_Rosario,37,49,7,0.3569,2.4985,0.2048,0.6144,FALSE,0,0,0,1,6
ND_Demetri grande,67,71,3,0.7878,2.3634,1.0000,1.0000,FALSE,0,0,0,1,2
ND_Demetri grande,81,97,9,0.2120,1.9076,1.0000,1.0000,FALSE,0,0,0,8,1
ND_Isabelet,169,179,6,0.3037,1.8224,1.0000,1.0000,FALSE,0,0,0,2,4
ND_Campesina,17,21,3,0.5422,1.6266,1.0000,1.0000,FALSE,0,0,0,0,3
ND_Maria,239,243,3,0.4182,1.2546,1.0000,1.0000,FALSE,0,0,0,3,0
ND_Demetri pequeño,29,35,4,0.2930,1.1720,1.0000,1.0000,FALSE,0,0,0,0,4
ND_Tara,11,27,9,0.1210,1.0893,1.0000,1.0000,FALSE,0,0,0,2,7
ND_Chistrofe Rosa de Navidad,106,110,3,0.2980,0.8941,1.0000,1.0000,FALSE,0,0,0,1,2
ND_Maria,51,55,3,0.2336,0.7008,1.0000,1.0000,FALSE,0,0,0,0,3
ND_Modelo Ros Mari,51,55,3,0.1323,0.3969,1.0000,1.0000,FALSE,0,0,0,0,3
ND_Tara,73,77,3,0.0543,0.1630,1.0000,1.0000,FALSE,0,0,0,0,3
ND_Modelo Ros Mari,67,71,3,-0.0071,-0.0214,1.0000,1.0000,FALSE,0,0,0,0,3
ND_Rosario,131,135,3,-0.0494,-0.1481,1.0000,1.0000,FALSE,0,0,0,3,0
