teixit,forma,(11p)l,(13p)l,(15p)l,(17p)l,(2p)g,(2p)l,(2p)lxl(2p),(3p)(la-2v)l,(3p)g,(3p)gl,(3p)l,(3p)l3,(3p)la(5p),(3p)lxl(3p),(3p)lxl(3p)l,(4p)g,(4p)gl,(4p)l,(4p)lxl(4p),(5p)g,(5p)gl(3p),(5p)lap,(5p)lxl(5p),(6p)gl,(6p)l,(6p)lxl(6p),(7p)g,(7p)gl,(7p)l,(7p)lxl,(8p)l,(9p)g,(9p)l,(9p)lp,(glla-2v)gll3l,(glla-2v)pl,(glla-6v)g,(la-2v)l,(la-2v)l3l(gl-2v),(la-2v)p,(la-2v)p(gl-2v),(la-3v)l,(lg-2v)l,(lg-3v)l,(lg-3v)lpl(al-3v),(lg-4v)l,(lg-6v)l,3gl,3l,3l(6p),3p,a(11p)g,a(2p),a(3p),a(3p)g,a(4p),a(5p),a(5p)g,a(5p)l,a(6p)gl,a(7p),a(7p)g,a(9p)g,a3,agl,al,al3l,al3lg,ap,apg,apgl,appl,g(lx-3v)la,gl,gl(2p)l,gl(3p)gl,gl(3p)l,gl(3p)la,gl(4p)l,gl(5p),gl(5p)g,gl(5p)gl,gl(5p)l,gl(5p)la,gl(9p)l,gl3l,gl3la,gll,gll3,gll3l,glla,glla3,gllagl,glp,glpl,gp,gpl,l(10p),l(10p)l,l(11p),l(11p)l,l(12p)l,l(13p)l,l(2p),l(2p)l,l(3p),l(3p)3(3p)l,l(3p)l,l(3p)la,l(3p)lx,l(3p)lxl(3p),l(3p)lxl(3p)l,l(4p),l(4p)l,l(4p)la,l(5p),l(5p)gl,l(5p)l,l(5p)l3,l(5p)la,l(5p)lp,l(6p),l(6p)g,l(7p),l(7p)gl,l(7p)l,l(7p)lx,l(7p)lxl(7p)l,l(8p),l(8p)l,l(9p),l(9p)l,l(9p)la,l(al-6v),l(gl-2v),l(glla-2v)l,l(glla-4v),l3,l3gl,l3l,l3l(3p),l3la,l3lg,l3lp,la,la(11p),la(3p),la(4p),la(5p),la(5p)l,la(5p)l3,la(6p),la(7p)l,la(glla-2v)gl,lagll,laglla,lal,lal3,lalxlgl,lap,lapg,lapgl,lappgl,lg,lgl,lgl(3p),lgl(3p)lal,lglp,lglpla,lglplal,ll,ll3,ll3l,lla,llagl,llp,lp,lp3pl,lpga,lpgll,lpl,lpla,lplal,lplx,lplxlpl,lpp,lpp(glla-2v)l,lppl,lx,lxl,p(gl-2v),p(gl-3v),p(la-3v),p3p,pa,pap,pg,pgl,pgl(3p),pglp,pl,pl(9p),pl3l,pl3lp,pla,pla(5p),plal,pll,plp,plxl,plxlp,pp,ppl,ppl3lpp,ppla,pplxlpp,px,xl,xl(3p)l,xlp,xlpl
P_Jafisa - Grafico B,,0,0,0,0,0,11,5,1,6,0,8,1,0,3,1,0,0,4,3,4,0,0,3,0,4,3,5,1,2,2,0,6,0,0,0,0,0,6,0,2,2,0,1,2,1,1,1,0,15,1,24,4,0,7,5,0,5,3,0,0,5,4,6,0,0,29,3,3,23,15,2,0,2,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,1,0,0,0,0,0,0,11,6,7,0,5,0,1,1,0,4,2,0,4,0,2,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,15,0,14,1,0,3,3,25,2,0,0,0,0,0,0,0,0,0,0,8,2,4,3,2,2,0,28,6,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,6,2,1,0,0,0,0,0,32,30,2,0,0,0,3,2,23,3,0,2,17,0,3,3,8,0,5,0,0,2,1,0,0,0,0,0,0,31,1,2,1
P_Jafisa - Grafico C,,0,0,0,0,0,0,0,1,1,0,5,0,0,1,1,11,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,4,2,2,0,0,2,0,9,0,0,1,1,9,1,1,0,0,0,0,1,0,0,7,0,0,3,3,2,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,0,5,2,1,1,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,14,4,2,1,2,1,1,0,0,0,0,0,0,10,0,0,0,7,2,1,1,1,0,0,0,11,9,0,0,1,0,0,0,3,2,0,0,7,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,9,1,1,1
P_Conchita Romero,,2,2,2,2,4,6,0,0,15,6,46,9,2,3,2,1,0,7,0,6,2,0,3,1,1,0,6,6,7,1,5,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,80,1,99,1,3,20,1,1,8,1,3,0,9,1,1,0,2,48,6,3,24,16,14,0,0,113,2,3,8,6,2,6,0,0,4,2,1,8,2,2,1,1,1,0,0,7,5,0,0,0,0,1,1,0,1,10,3,61,0,25,7,5,3,2,12,7,3,27,3,15,2,4,0,2,2,8,4,2,0,0,5,4,1,1,1,0,1,0,0,60,0,52,8,5,7,2,85,2,11,0,8,3,0,2,3,0,0,0,5,2,1,20,14,12,0,22,14,1,1,1,0,0,6,1,1,1,0,0,14,0,0,0,11,4,0,4,1,0,0,0,34,19,1,3,0,0,0,0,23,19,8,3,18,0,1,1,7,1,1,0,0,4,1,0,0,0,0,0,1,32,5,4,4
P_Ruth,Ovalado,0,0,0,0,2,2,2,0,18,10,31,4,2,16,10,0,0,0,0,17,3,0,0,0,14,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14,28,0,59,0,1,20,17,0,17,17,0,0,1,1,0,18,58,4,0,0,83,17,6,61,0,216,0,0,5,0,0,0,0,0,0,0,0,8,7,129,9,0,97,8,17,21,17,13,7,0,0,0,0,0,0,4,0,29,0,21,4,9,9,8,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,4,17,4,7,0,5,197,0,9,0,11,0,0,0,0,0,22,15,2,0,0,37,6,1,0,4,4,0,0,0,0,0,153,9,0,113,21,16,137,0,0,2,19,16,0,1,0,93,0,20,110,105,0,0,0,0,23,21,82,33,2,6,140,0,4,4,24,4,0,9,7,81,75,211,97,4,6,69,15,105,10,75,0
P_Primavera,,7,2,0,0,5,3,0,0,16,7,37,2,3,3,3,14,4,9,2,33,2,3,2,4,60,1,0,0,16,3,3,0,15,1,4,3,0,0,0,0,0,0,0,0,0,0,0,3,73,2,69,0,3,14,1,8,35,2,29,3,0,0,0,4,34,35,4,2,71,12,8,13,0,250,0,2,10,6,1,13,5,1,6,3,4,9,9,156,21,16,131,1,11,22,11,23,16,3,3,6,5,3,2,5,1,41,0,23,11,4,3,3,17,7,2,49,23,16,0,6,4,15,3,17,0,14,3,2,3,2,16,15,6,0,0,5,5,87,3,63,0,10,2,6,251,1,7,3,28,24,7,2,0,3,23,10,22,6,0,39,8,7,4,25,22,4,4,4,4,4,186,22,17,157,24,2,109,0,11,6,23,12,4,4,4,45,2,11,45,40,0,0,0,0,21,6,66,36,3,2,96,0,5,5,20,6,4,3,6,8,7,86,32,5,2,2,1,41,3,8,4
P_Pasión,,0,0,0,0,0,0,0,4,6,0,9,0,0,3,0,0,0,3,3,3,0,1,3,0,5,3,3,0,5,3,2,3,3,0,0,0,0,11,2,3,2,1,3,2,0,2,3,0,18,0,35,2,0,2,2,2,2,2,0,0,2,2,2,0,0,17,4,3,17,6,3,2,0,42,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,5,1,3,2,0,0,0,0,1,0,20,0,6,0,0,0,0,4,0,0,7,0,4,0,1,1,7,0,5,0,3,1,0,4,2,7,2,0,0,4,0,0,23,0,17,2,0,5,2,48,1,0,0,0,0,0,0,0,0,0,0,5,3,0,4,3,2,0,35,14,2,0,3,1,1,12,1,0,0,0,0,24,0,3,0,5,1,1,1,0,6,0,0,38,34,3,4,4,0,5,0,19,6,1,0,16,1,2,1,2,0,2,0,1,7,6,18,5,0,0,3,0,40,0,7,1
P_Celia,,0,0,0,0,0,0,0,2,5,1,14,3,0,7,4,2,0,9,6,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,2,0,1,1,0,16,0,33,0,0,8,5,2,7,5,0,0,4,1,0,0,0,8,0,0,11,6,0,0,2,25,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,15,0,10,2,4,4,1,10,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,3,0,0,5,31,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,16,4,2,2,1,1,1,0,0,0,0,0,0,21,0,0,0,5,1,1,1,1,10,0,6,38,32,2,1,3,0,6,0,7,1,0,0,26,0,5,5,2,0,2,0,0,12,8,14,10,3,0,7,0,34,4,8,1
P_Rosa de los Vientos,,3,1,0,0,0,0,0,1,27,4,49,4,0,1,1,2,2,4,0,0,0,0,0,2,0,0,0,0,7,0,0,0,12,1,0,0,0,3,0,0,0,3,0,1,0,4,0,0,25,0,106,0,0,27,0,2,0,0,0,2,0,0,0,0,2,11,3,0,5,0,0,0,0,23,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,3,3,0,1,0,0,52,6,12,2,4,1,1,4,0,0,8,0,7,1,0,3,0,0,8,0,7,3,0,0,0,10,10,1,0,0,0,0,30,0,22,4,0,1,7,23,0,0,1,0,0,0,1,0,0,0,0,5,1,0,2,0,0,1,14,3,1,1,0,0,0,38,0,0,0,0,4,29,5,0,0,12,3,1,3,0,9,0,0,16,1,0,0,1,14,0,0,2,2,2,0,29,0,7,7,3,0,1,5,0,0,0,22,10,3,0,0,0,2,1,0,0
P_Renacimiento,Cuadrado,2,1,1,0,0,2,0,0,1,1,11,3,0,0,0,0,0,1,0,3,0,1,0,5,5,0,1,1,6,0,4,2,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,32,5,13,0,0,1,1,1,4,3,0,0,1,1,2,0,0,26,3,3,5,3,3,2,0,53,1,0,7,5,0,6,0,0,6,5,3,0,0,0,0,0,0,0,0,17,11,1,1,0,0,2,2,0,1,2,2,11,0,11,7,0,0,0,1,0,0,9,0,9,2,6,0,5,5,6,0,6,0,0,4,0,3,3,3,0,0,0,0,33,0,32,3,0,3,9,56,0,1,1,4,0,0,5,0,0,0,0,25,3,0,5,3,3,0,27,25,4,1,8,5,1,0,0,0,0,0,0,32,0,0,0,21,14,6,0,0,4,0,2,0,0,0,0,0,0,0,0,6,6,0,3,32,0,9,5,19,2,7,0,1,0,0,6,4,2,1,0,4,29,1,3,2
P_Puntilla del Cacus,,0,0,0,0,0,0,0,0,0,0,9,3,0,4,2,6,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,12,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,4,4,3,0,0,11,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,3,1,0,4,4,0,0,0,0,0,0,0,0,0,0,11,0,9,0,4,4,2,4,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,3,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,0,0,0,11,4,0,4,4,0,0,0,17,16,0,0,0,0,0,0,4,3,0,3,11,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,16,2,4,4
