A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
<43,>,3,1.0,0.000139,7174.25,,0.0,0.0,True
I,M,8,1.0,0.000279,3587.125,,0.0,0.0,True
M,V,8,1.0,0.000314,3188.5556,,0.0,0.0,True
<l(3p)g>,<a(3p)l>,3,0.5,0.000279,1793.5625,5737.2,0.0,0.0,True
IMZ,-,4,1.0,0.001289,775.5946,,0.0,0.0,True
V,-,6,0.666667,0.001289,517.0631,1848.8387,0.0,0.0,True
v,),10,0.153846,0.000348,441.4923,,0.0,0.0,True
+,+,5,0.25,0.000697,358.7125,636.9333,0.0,0.0,True
<lppg>,<lg>,4,0.666667,0.00223,298.9271,954.3667,0.0,0.0,True
v,v,41,0.630769,0.002335,270.1669,1879.5609,0.0,0.0,True
-,v,20,0.540541,0.002335,231.5208,716.2203,0.0,0.0,True
<al>,<appl>,4,0.050633,0.000244,207.5732,508.7111,0.0,1e-08,True
3,[,11,0.064327,0.000523,123.0671,490.2219,0.0,0.0,True
],3,10,0.666667,0.006551,101.7624,320.2697,0.0,0.0,True
3,<lg>,27,0.157895,0.00223,70.7985,144.3699,0.0,0.0,True
<al>,3,16,0.202532,0.006551,30.9152,42.0022,0.0,0.0,True
<agll>,a,8,1.0,0.036729,27.2268,,0.0,0.0,True
3,<glla>,25,0.146199,0.007562,19.334,25.2693,0.0,0.0,True
g,<lppg>,6,0.003654,0.000209,17.4769,,3e-08,1.4e-07,True
g,<lxl>,4,0.002436,0.000139,17.4769,,1.068e-05,3.1e-05,True
<a(3p)l>,a,5,0.625,0.036729,17.0167,43.9148,3.38e-06,1.112e-05,True
a,z,5,0.004098,0.000244,16.8015,56.5329,2.69e-06,9.06e-06,True
-,3,4,0.108108,0.006551,16.502,18.7589,9.949e-05,0.00026294,True
g,<llag>,7,0.004263,0.000279,15.2923,115.8275,2e-08,6e-08,True
g,<l(3p)g>,5,0.003045,0.000209,14.564,82.6329,3.48e-06,1.121e-05,True
[,a,8,0.533333,0.036729,14.5209,30.195,2e-08,7e-08,True
<pl>,a,3,0.5,0.036729,13.6134,26.2988,0.00090913,0.00228053,True
g,<plxl>,10,0.00609,0.000453,13.4437,55.2533,0.0,0.0,True
t,g,16,0.761905,0.059937,12.7118,50.6516,0.0,0.0,True
3>,<glla>,6,0.09375,0.007562,12.3979,13.9346,9.07e-06,2.686e-05,True
g,<lx>,5,0.003045,0.000279,10.923,27.5423,2.951e-05,8.4e-05,True
<gl>,3>,3,0.021277,0.002195,9.6917,10.3246,0.00371753,0.00833628,True
<glla>,3>,4,0.0199,0.002195,9.0648,9.7865,0.00100743,0.00244425,True
x,x,2473,0.850705,0.100254,8.4855,358.053,0.0,0.0,True
<glla>,3,11,0.054726,0.006551,8.3536,9.2628,1e-07,3.8e-07,True
g,],7,0.004263,0.000523,8.1559,14.4747,8.49e-06,2.617e-05,True
3,<la>,5,0.02924,0.004809,6.0804,6.4302,0.0014511,0.00330404,True
<al>,a,17,0.21519,0.036729,5.8589,7.2927,0.0,1e-08,True
g,g,556,0.338611,0.059937,5.6495,11.3878,0.0,0.0,True
a,<glla>,52,0.042623,0.007562,5.6366,7.3694,0.0,0.0,True
l,<xl>,3,0.000549,0.000105,5.252,,0.00689969,0.01438245,True
<lx>,l,8,1.0,0.195177,5.1235,,2.1e-06,7.27e-06,True
<llag>,l,8,1.0,0.195177,5.1235,,2.1e-06,7.27e-06,True
|,l,8,1.0,0.195177,5.1235,,2.1e-06,7.27e-06,True
<lapgl(3p)>,l,6,1.0,0.195177,5.1235,,5.516e-05,0.00015404,True
<l3l(5p)>,l,4,1.0,0.195177,5.1235,,0.00144991,0.00330404,True
<lxl>,l,4,1.0,0.195177,5.1235,,0.00144991,0.00330404,True
<l(3p)>,l,3,1.0,0.195177,5.1235,,0.0074319,0.01466562,True
<lxl(3p)>,l,3,1.0,0.195177,5.1235,,0.0074319,0.01466562,True
<lxl(5p)>,l,3,1.0,0.195177,5.1235,,0.0074319,0.01466562,True
