teixit,volta,longitud_total,num_tokens_atomics,num_macros,prof_max,frac_outlier,tokens_desconeguts,num_blocks_verticals,sum_n_voltes_verticals,max_n_voltes_verticals,max_seq_len_vertical,frac_verticals,dist_cosinus_volta_anterior,z_salt_global,dist_centroide_teixit,z_intra_teixit,frac_C0,frac_C1,frac_C2,frac_C3,frac_C4,frac_C5,frac_C6,frac_C7,frac_C8,frac_C_RARE
P_Jafisa - Grafico B,1,56,16,6,1,0.0,0,2,6,3,2,0.035714,,,0.037184,-0.661897,0.0,0.0,0.857143,0.0,0.0,0.017857,0.017857,0.0,0.107143,0.0
P_Jafisa - Grafico B,3,24,8,3,1,0.0,0,1,3,3,4,0.041667,0.00198,-0.3942,0.050168,-0.557512,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.083333,0.041667
P_Jafisa - Grafico B,5,36,19,6,1,0.0,0,0,0,0,0,0.0,0.037905,-0.180718,0.025141,-0.75871,0.0,0.0,0.722222,0.0,0.0,0.0,0.0,0.0,0.277778,0.0
P_Jafisa - Grafico B,7,36,27,2,1,0.0,0,0,0,0,0,0.0,0.046927,-0.127105,0.084258,-0.283442,0.0,0.0,0.555556,0.0,0.0,0.0,0.0,0.0,0.444444,0.0
P_Jafisa - Grafico B,9,36,27,6,1,0.0,0,0,0,0,0,0.0,0.0,-0.405966,0.084258,-0.283442,0.0,0.0,0.555556,0.0,0.0,0.0,0.0,0.0,0.444444,0.0
P_Jafisa - Grafico B,11,23,22,4,1,0.0,0,4,8,2,2,0.173913,0.009256,-0.350962,0.079248,-0.323723,0.0,0.086957,0.521739,0.0,0.0,0.0,0.0,0.0,0.391304,0.0
P_Jafisa - Grafico B,13,23,18,8,1,0.0,0,4,8,2,2,0.173913,0.004145,-0.381334,0.054843,-0.519924,0.0,0.086957,0.565217,0.0,0.0,0.0,0.0,0.0,0.347826,0.0
P_Jafisa - Grafico B,15,17,16,5,1,0.0,0,5,11,3,2,0.294118,0.075743,0.044132,0.035981,-0.671564,0.0,0.117647,0.705882,0.0,0.0,0.0,0.058824,0.0,0.117647,0.0
P_Jafisa - Grafico B,17,26,24,1,1,0.0,0,1,3,3,4,0.038462,0.375569,1.825828,0.27688,1.265131,0.0,0.038462,0.346154,0.0,0.0,0.0,0.0,0.0,0.615385,0.0
P_Jafisa - Grafico B,19,36,31,4,1,0.0,0,0,0,0,0,0.0,0.074075,0.03422,0.084258,-0.283442,0.0,0.0,0.555556,0.0,0.0,0.0,0.0,0.0,0.444444,0.0
P_Jafisa - Grafico B,21,38,27,4,1,0.0,0,0,0,0,0,0.0,0.001686,-0.395947,0.105375,-0.113675,0.0,0.0,0.526316,0.0,0.0,0.0,0.0,0.0,0.473684,0.0
P_Jafisa - Grafico B,23,36,19,6,1,0.0,0,0,0,0,0,0.0,0.066105,-0.013141,0.025141,-0.75871,0.0,0.0,0.722222,0.0,0.0,0.0,0.0,0.0,0.277778,0.0
P_Jafisa - Grafico B,25,36,19,4,1,0.0,0,0,0,0,0,0.0,0.0,-0.405966,0.025141,-0.75871,0.0,0.0,0.722222,0.0,0.0,0.0,0.0,0.0,0.277778,0.0
P_Jafisa - Grafico B,27,36,15,4,1,0.0,0,0,0,0,0,0.0,0.003947,-0.382511,0.025069,-0.759291,0.0,0.0,0.777778,0.0,0.0,0.0,0.0,0.0,0.222222,0.0
P_Jafisa - Grafico B,29,33,11,2,1,0.0,0,0,0,0,0,0.0,0.001777,-0.395406,0.029337,-0.72498,0.0,0.0,0.818182,0.0,0.0,0.0,0.0,0.0,0.181818,0.0
P_Jafisa - Grafico B,31,32,14,4,1,0.0,0,0,0,0,0,0.0,3.3e-05,-0.40577,0.028551,-0.731295,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.1875,0.0
P_Jafisa - Grafico B,33,32,14,5,1,0.0,0,0,0,0,0,0.0,0.0,-0.405966,0.028551,-0.731295,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.1875,0.0
P_Jafisa - Grafico B,35,29,15,5,1,0.0,0,1,2,2,2,0.034483,0.000229,-0.404605,0.030757,-0.713563,0.0,0.0,0.827586,0.0,0.0,0.0,0.0,0.0,0.172414,0.0
P_Jafisa - Grafico B,37,29,15,6,1,0.0,0,1,2,2,2,0.034483,0.0,-0.405966,0.030757,-0.713563,0.0,0.0,0.827586,0.0,0.0,0.0,0.0,0.0,0.172414,0.0
P_Jafisa - Grafico B,39,26,16,4,1,0.0,0,2,4,2,2,0.076923,0.009509,-0.349459,0.017647,-0.818963,0.0,0.038462,0.692308,0.0,0.0,0.0,0.038462,0.0,0.230769,0.0
P_Jafisa - Grafico B,41,46,19,7,1,0.0,0,2,4,2,2,0.043478,0.007622,-0.360672,0.029659,-0.722393,0.0,0.021739,0.804348,0.0,0.0,0.0,0.0,0.0,0.173913,0.0
