teixit,volta,tipus,dist_centroide,z_intra_tipus,es_outlier,longitud_total
P_Jafisa - Grafico B,1,V0,0.013593,-0.104079,0,56
P_Jafisa - Grafico B,3,V0,0.020029,0.17633,0,24
P_Jafisa - Grafico B,5,V0,0.00377,-0.532069,0,36
P_Jafisa - Grafico B,7,V2,0.005504,-0.474897,0,36
P_Jafisa - Grafico B,9,V2,0.005504,-0.474897,0,36
P_Jafisa - Grafico B,11,V2,0.013947,-0.34615,0,23
P_Jafisa - Grafico B,13,V2,0.028933,-0.117638,0,23
P_Jafisa - Grafico B,15,V0,0.019365,0.1474,0,17
P_Jafisa - Grafico B,17,V2,0.043763,0.108501,0,26
P_Jafisa - Grafico B,19,V2,0.005504,-0.474897,0,36
P_Jafisa - Grafico B,21,V2,0.00191,-0.529691,0,38
P_Jafisa - Grafico B,23,V0,0.00377,-0.532069,0,36
P_Jafisa - Grafico B,25,V0,0.00377,-0.532069,0,36
P_Jafisa - Grafico B,27,V0,0.000686,-0.666436,0,36
P_Jafisa - Grafico B,29,V0,0.00304,-0.563894,0,33
P_Jafisa - Grafico B,31,V0,0.00251,-0.586979,0,32
P_Jafisa - Grafico B,33,V0,0.00251,-0.586979,0,32
P_Jafisa - Grafico B,35,V0,0.004046,-0.520036,0,29
P_Jafisa - Grafico B,37,V0,0.004046,-0.520036,0,29
P_Jafisa - Grafico B,39,V0,0.001652,-0.624347,0,26
P_Jafisa - Grafico B,41,V0,0.003285,-0.553219,0,46
P_Jafisa - Grafico B,43,V0,0.025247,0.403642,0,35
P_Jafisa - Grafico B,45,V0,0.010423,-0.242193,0,33
P_Jafisa - Grafico B,47,V0,0.005932,-0.437884,0,27
P_Jafisa - Grafico B,49,V0,0.028518,0.54615,0,21
P_Jafisa - Grafico B,51,V0,0.024218,0.358808,0,15
P_Jafisa - Grafico B,53,V0,0.022265,0.273743,0,13
P_Jafisa - Grafico B,55,V0,0.01814,0.094027,0,8
P_Jafisa - Grafico B,57,V0,0.030443,0.630048,0,9
P_Jafisa - Grafico B,59,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,61,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,63,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,65,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,67,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,69,V0,0.153433,5.988515,1,5
P_Jafisa - Grafico B,71,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,73,V0,0.153433,5.988515,1,5
P_Jafisa - Grafico B,75,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,77,V0,0.153433,5.988515,1,5
P_Jafisa - Grafico B,79,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,81,V0,0.153433,5.988515,1,5
P_Jafisa - Grafico B,83,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,85,V0,0.153433,5.988515,1,5
P_Jafisa - Grafico B,87,V1,0.184672,-1.083125,0,3
P_Jafisa - Grafico B,89,V2,0.150178,1.731145,0,5
P_Jafisa - Grafico B,91,V2,0.18011,2.187567,1,6
P_Jafisa - Grafico B,93,V0,0.016016,0.001484,0,3
P_Jafisa - Grafico B,95,V0,0.041797,1.124721,0,1
P_Jafisa - Grafico C,5,V0,0.021562,0.243078,0,13
P_Jafisa - Grafico C,7,V0,0.008083,-0.344157,0,33
P_Jafisa - Grafico C,9,V2,0.017108,-0.297952,0,35
P_Jafisa - Grafico C,11,V0,0.002862,-0.571635,0,37
P_Jafisa - Grafico C,13,V2,0.024887,-0.179327,0,38
P_Jafisa - Grafico C,15,V0,0.002785,-0.574981,0,38
P_Jafisa - Grafico C,17,V0,0.022414,0.28024,0,21
P_Jafisa - Grafico C,19,V0,0.007373,-0.375113,0,27
P_Jafisa - Grafico C,21,V2,0.134546,1.492785,0,12
P_Jafisa - Grafico C,23,V2,0.078641,0.640325,0,16
P_Jafisa - Grafico C,25,V2,0.056403,0.301232,0,11
P_Conchita Romero,1,V0,0.041797,1.124721,0,2
P_Conchita Romero,3,V0,0.016016,0.001484,0,3
P_Conchita Romero,5,V2,0.017108,-0.297952,0,5
P_Conchita Romero,7,V0,0.004912,-0.4823,0,7
P_Conchita Romero,9,V0,0.000686,-0.666436,0,9
P_Conchita Romero,11,V2,0.003887,-0.499549,0,11
P_Conchita Romero,13,V2,0.008825,-0.424254,0,14
P_Conchita Romero,15,V0,0.000694,-0.666081,0,17
P_Conchita Romero,17,V2,0.009829,-0.408942,0,18
P_Conchita Romero,19,V0,0.018073,0.091093,0,8
P_Conchita Romero,21,V0,0.009198,-0.295594,0,10
P_Conchita Romero,23,V0,0.023892,0.344613,0,10
P_Conchita Romero,25,V2,0.022711,-0.212503,0,11
P_Conchita Romero,27,V0,0.023892,0.344613,0,10
P_Conchita Romero,29,V0,0.023892,0.344613,0,10
P_Conchita Romero,31,V0,0.023892,0.344613,0,10
P_Conchita Romero,33,V2,0.022711,-0.212503,0,11
P_Conchita Romero,35,V2,0.014685,-0.334888,0,27
P_Conchita Romero,37,V2,0.01118,-0.388341,0,31
P_Conchita Romero,39,V2,0.00251,-0.52055,0,19
P_Conchita Romero,41,V2,0.154493,1.796952,0,16
P_Conchita Romero,43,V0,0.032213,0.707146,0,12
P_Conchita Romero,45,V2,0.022711,-0.212503,0,11
P_Conchita Romero,47,V0,0.024414,0.367375,0,14
P_Conchita Romero,49,V0,0.029549,0.591087,0,23
P_Conchita Romero,51,V0,0.012279,-0.161361,0,23
P_Conchita Romero,53,V2,0.024495,-0.185307,0,22
P_Conchita Romero,55,V2,0.021886,-0.225088,0,19
P_Conchita Romero,57,V2,0.00509,-0.481203,0,47
P_Conchita Romero,59,V0,0.003678,-0.536087,0,35
P_Conchita Romero,61,V0,0.01268,-0.143864,0,27
P_Conchita Romero,63,V0,0.002159,-0.602243,0,26
