teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
P_Jafisa - Grafico B,1,V0,<BOS>,0.59375,0.7521,1,0
P_Jafisa - Grafico B,3,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,5,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,7,V2,V0,0.18584906,2.4278,1,0
P_Jafisa - Grafico B,9,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico B,11,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico B,13,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico B,15,V0,V2,0.44117647,1.1806,1,0
P_Jafisa - Grafico B,17,V2,V0,0.18584906,2.4278,1,0
P_Jafisa - Grafico B,19,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico B,21,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico B,23,V0,V2,0.44117647,1.1806,1,0
P_Jafisa - Grafico B,25,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,27,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,29,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,31,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,33,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,35,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,37,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,39,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,41,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,43,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,45,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,47,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,49,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,51,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,53,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,55,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,57,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,59,V1,V0,0.01981132,5.6575,1,0
P_Jafisa - Grafico B,61,V1,V1,0.43103448,1.2141,1,0
P_Jafisa - Grafico B,63,V1,V1,0.43103448,1.2141,1,0
P_Jafisa - Grafico B,65,V1,V1,0.43103448,1.2141,1,0
P_Jafisa - Grafico B,67,V1,V1,0.43103448,1.2141,1,0
P_Jafisa - Grafico B,69,V0,V1,0.39655172,1.3344,1,0
P_Jafisa - Grafico B,71,V1,V0,0.01981132,5.6575,1,0
P_Jafisa - Grafico B,73,V0,V1,0.39655172,1.3344,1,0
P_Jafisa - Grafico B,75,V1,V0,0.01981132,5.6575,1,0
P_Jafisa - Grafico B,77,V0,V1,0.39655172,1.3344,1,0
P_Jafisa - Grafico B,79,V1,V0,0.01981132,5.6575,1,0
P_Jafisa - Grafico B,81,V0,V1,0.39655172,1.3344,1,0
P_Jafisa - Grafico B,83,V1,V0,0.01981132,5.6575,1,0
P_Jafisa - Grafico B,85,V0,V1,0.39655172,1.3344,1,0
P_Jafisa - Grafico B,87,V1,V0,0.01981132,5.6575,1,0
P_Jafisa - Grafico B,89,V2,V1,0.15517241,2.6881,1,0
P_Jafisa - Grafico B,91,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico B,93,V0,V2,0.44117647,1.1806,1,0
P_Jafisa - Grafico B,95,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico B,,<EOS>,V0,0.01792453,5.8019,1,0
P_Jafisa - Grafico C,5,V0,<BOS>,0.59375,0.7521,1,0
P_Jafisa - Grafico C,7,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico C,9,V2,V0,0.18584906,2.4278,1,0
P_Jafisa - Grafico C,11,V0,V2,0.44117647,1.1806,1,0
P_Jafisa - Grafico C,13,V2,V0,0.18584906,2.4278,1,0
P_Jafisa - Grafico C,15,V0,V2,0.44117647,1.1806,1,0
P_Jafisa - Grafico C,17,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico C,19,V0,V0,0.77641509,0.3651,1,0
P_Jafisa - Grafico C,21,V2,V0,0.18584906,2.4278,1,0
P_Jafisa - Grafico C,23,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico C,25,V2,V2,0.51357466,0.9614,1,0
P_Jafisa - Grafico C,,<EOS>,V2,0.02488688,5.3285,1,0
P_Conchita Romero,1,V0,<BOS>,0.59375,0.7521,1,0
P_Conchita Romero,3,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,5,V2,V0,0.18584906,2.4278,1,0
P_Conchita Romero,7,V0,V2,0.44117647,1.1806,1,0
P_Conchita Romero,9,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,11,V2,V0,0.18584906,2.4278,1,0
P_Conchita Romero,13,V2,V2,0.51357466,0.9614,1,0
P_Conchita Romero,15,V0,V2,0.44117647,1.1806,1,0
P_Conchita Romero,17,V2,V0,0.18584906,2.4278,1,0
P_Conchita Romero,19,V0,V2,0.44117647,1.1806,1,0
P_Conchita Romero,21,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,23,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,25,V2,V0,0.18584906,2.4278,1,0
P_Conchita Romero,27,V0,V2,0.44117647,1.1806,1,0
P_Conchita Romero,29,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,31,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,33,V2,V0,0.18584906,2.4278,1,0
P_Conchita Romero,35,V2,V2,0.51357466,0.9614,1,0
P_Conchita Romero,37,V2,V2,0.51357466,0.9614,1,0
P_Conchita Romero,39,V2,V2,0.51357466,0.9614,1,0
P_Conchita Romero,41,V2,V2,0.51357466,0.9614,1,0
P_Conchita Romero,43,V0,V2,0.44117647,1.1806,1,0
P_Conchita Romero,45,V2,V0,0.18584906,2.4278,1,0
P_Conchita Romero,47,V0,V2,0.44117647,1.1806,1,0
P_Conchita Romero,49,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,51,V0,V0,0.77641509,0.3651,1,0
P_Conchita Romero,53,V2,V0,0.18584906,2.4278,1,0
P_Conchita Romero,55,V2,V2,0.51357466,0.9614,1,0
P_Conchita Romero,57,V2,V2,0.51357466,0.9614,1,0
P_Conchita Romero,59,V0,V2,0.44117647,1.1806,1,0
P_Conchita Romero,61,V0,V0,0.77641509,0.3651,1,0
