teixit,n_voltes,n_tokens_eval,surprisal_loo,surprisal_in_sample,delta_loo_vs_in,n_oov_bigrames_loo,frac_oov_loo
P_Ruth,59,2535,3.7922,2.6268,1.1654,319,0.1258
P_Celia,53,6905,2.8336,0.602,2.2316,32,0.0046
P_Jafisa - Grafico A,21,394,2.6286,2.1093,0.5193,25,0.0635
P_Jafisa - Grafico C,11,281,2.3925,2.2618,0.1307,4,0.0142
P_Puntilla del Cacus,8,335,2.2931,1.9005,0.3925,16,0.0478
P_Jafisa - Grafico B,48,917,2.274,2.165,0.109,7,0.0076
P_Conchita Romero,89,1877,2.2553,1.9007,0.3545,74,0.0394
P_Primavera,97,3631,2.1368,1.824,0.3129,122,0.0336
P_Gentio,100,2833,2.0274,1.6836,0.3438,110,0.0388
P_Renacimiento,31,866,1.7287,1.7087,0.0199,0,0.0
P_Pasión,68,1497,1.7106,1.6385,0.0722,8,0.0053
P_Cori,21,429,1.7026,1.6899,0.0127,0,0.0
P_Rosa de los Vientos,65,1821,1.6362,1.484,0.1523,6,0.0033
P_Helga,103,5150,1.422,1.3205,0.1015,48,0.0093
