teixit,volta,tipus_volta,context_macro,longitud_micro,score_anomalia,num_flags_actius,categoria,cross_canal,z_intra_teixit,z_salt_global,frac_outlier,surprisal_macro,z_surprisal_macro,is_zero_prob_macro,mean_surprisal_micro,max_surprisal_micro,z_mean_surprisal_micro,z_max_surprisal_micro,num_zero_prob_raw_micro,n_trans_testades,n_trans_no_validades,frac_trans_no_validades,z_frac_trans_no_validades,flag_sig_intra,flag_sig_salt,flag_macro_surp,flag_macro_zero,flag_micro_mean,flag_micro_max,flag_micro_zero,flag_trans_invalides
P_Gentio,195,V1,V2,1,13.5026,4,CRÍTICA,True,8.875348,5.536466,0.0,5.618,4.921955,False,5.0869,6.3585,4.523155,-0.049389,0,0,0,,,True,True,True,False,True,False,False,False
P_Primavera,9,V1,V0,1,11.548,4,CRÍTICA,True,5.261026,5.536466,0.0,5.6575,4.963718,False,4.8664,6.2141,4.242504,-0.131177,0,0,0,,,True,True,True,False,True,False,False,False
P_Ruth,635,V1,V0,1,11.3784,4,CRÍTICA,True,4.626078,5.536466,0.0,5.6575,4.963718,False,5.0869,6.3585,4.523155,-0.049389,0,0,0,,,True,True,True,False,True,False,False,False
P_Conchita Romero,117,V1,V2,1,10.6101,4,CRÍTICA,True,3.75998,5.20785,0.0,5.618,4.921955,False,4.8664,6.2141,4.242504,-0.131177,0,0,0,,,True,True,True,False,True,False,False,False
P_Jafisa - Grafico A,35,V1,V0,2,10.215,4,CRÍTICA,True,2.604585,5.410796,0.0,5.6575,4.963718,False,4.9607,6.3585,4.362528,-0.049389,0,0,0,,,True,True,True,False,True,False,False,False
P_Celia,3,V1,V2,1,9.9439,4,CRÍTICA,True,3.51267,5.536466,0.0,5.618,4.921955,False,3.955,4.1741,3.08248,-1.286621,0,0,0,,,True,True,True,False,True,False,False,False
P_Helga,7,V1,V0,2,9.4012,3,CRÍTICA,True,6.638053,1.376764,0.0,5.6575,4.963718,False,3.5742,6.4533,2.5978,0.004305,0,0,0,,,True,False,True,False,True,False,False,False
P_Jafisa - Grafico A,3,V1,V2,1,9.3541,4,CRÍTICA,True,2.344305,5.536466,0.0,5.618,4.921955,False,3.955,4.1741,3.08248,-1.286621,0,0,0,,,True,True,True,False,True,False,False,False
P_Conchita Romero,125,V1,V1,1,8.7844,3,CRÍTICA,False,4.155246,5.536466,0.0,1.2141,0.265705,False,5.0869,6.3585,4.523155,-0.049389,0,0,0,,,True,True,False,False,True,False,False,False
P_Celia,13,V2,V0,4,7.0119,3,CRÍTICA,False,1.567241,2.527397,0.0,2.4278,1.548952,False,5.5411,11.0834,5.101257,2.626767,0,1,0,0.0,-1.679146,False,True,False,False,True,True,False,False
P_Jafisa - Grafico B,59,V1,V0,3,6.3472,2,ALTA,True,1.356223,1.223057,0.0,5.6575,4.963718,False,3.3862,6.5862,2.358515,0.079579,0,2,0,0.0,-1.679146,False,False,True,False,True,False,False,False
P_Primavera,11,V1,V1,1,6.3128,2,ALTA,False,5.261026,-0.405966,0.0,1.2141,0.265705,False,4.8664,6.2141,4.242504,-0.131177,0,0,0,,,True,False,False,False,True,False,False,False
P_Primavera,13,V1,V1,1,6.3128,2,ALTA,False,5.261026,-0.405966,0.0,1.2141,0.265705,False,4.8664,6.2141,4.242504,-0.131177,0,0,0,,,True,False,False,False,True,False,False,False
P_Celia,9,V2,V1,11,6.1095,1,MODERADA,False,1.284891,5.536466,0.0,2.6881,1.824167,False,1.8887,6.4533,0.452507,0.004305,0,10,4,0.4,0.552405,False,True,False,False,False,False,False,False
P_Pasión,73,V2,V0,11,6.1028,1,MODERADA,False,5.143827,1.436479,0.0,2.4278,1.548952,False,2.212,6.929,0.864001,0.273739,0,10,3,0.3,-0.005483,True,False,False,False,False,False,False,False
