teixit,n_voltes,n_CRITICA,n_ALTA,n_MODERADA,n_cross_canal,score_total,score_max,score_mitja
P_Conchita Romero,89,2,3,6,1,157.6073,10.6101,1.7709
P_Primavera,97,1,4,7,1,157.0465,11.548,1.619
P_Gentio,100,2,2,4,1,129.7701,13.5026,1.2977
P_Helga,103,1,1,9,1,126.5877,9.4012,1.229
P_Jafisa - Grafico B,48,1,6,6,6,101.9153,6.3472,2.1232
P_Ruth,48,1,1,9,1,98.9487,11.3784,2.0614
P_Pasión,68,0,2,8,0,87.2041,6.1028,1.2824
P_Rosa de los Vientos,65,0,2,4,0,85.1823,5.9048,1.3105
P_Celia,53,2,4,12,1,77.0103,9.9439,1.453
P_Jafisa - Grafico A,21,2,1,5,2,59.9284,10.215,2.8537
P_Renacimiento,31,0,3,3,0,44.5097,4.3247,1.4358
P_Cori,21,0,0,4,0,30.5383,4.7495,1.4542
P_Jafisa - Grafico C,11,0,1,0,0,21.3737,5.638,1.9431
P_Puntilla del Cacus,8,0,0,0,0,12.8785,2.8078,1.6098
