prioritat,teixit,volta,n_rare,tokens_rare,z_runs,interpretacio_runs,categoria_fase5,score_anomalia
47.138,P_Celia,23,0,,-47.1381,menys runs dels esperats (agrupacio),,
34.848,P_Celia,69,3,u | n | o,-4.8477,menys runs dels esperats (agrupacio),,
30.0,P_Ruth,57,3,<3>p3><7pp<73>lppgllapp> | <7 | <73,,,,
23.95,P_Helga,159,2,c | r,-3.9495,menys runs dels esperats (agrupacio),,
20.0,P_Primavera,131,2,<a(8p)gl(3p)l> | (3),,,,
20.0,P_Primavera,181,2,<l(5p)l(2p)gap> | <l(5p)lppgap>,,,,
20.0,P_Primavera,179,2,<l(3p)l(3p)gapp> | <l(3p)gapp>,,,,
20.0,P_Primavera,193,2,<gl(5p)lal3l> | <la3lgl(5p)>,,,,
20.0,P_Conchita Romero,113,2,<lplag> | <aglp>,,,,
20.0,P_Ruth,65,2,<l(6p)xafx(6p)l(glla-3v)> | f,,,,
20.0,P_Ruth,21,2,<applxlppglsl> | <applxlppg>,,,,
20.0,P_Jafisa - Grafico A,35,2,<a(7p)ga(7p)a(plxl-3v)p> | <a(7p)ga(7p)gl(3p)lxl(3p)l>,,,CRÍTICA,10.215
16.306,P_Ruth,53,1,<l(6p)xppx(6p)lppgllapp>,-6.3059,menys runs dels esperats (agrupacio),,
15.727,P_Rosa de los Vientos,117,0,,-15.7273,menys runs dels esperats (agrupacio),ALTA,5.9048
15.727,P_Rosa de los Vientos,127,0,,-15.7273,menys runs dels esperats (agrupacio),ALTA,5.9048
14.201,P_Pasión,91,1,<lpl(9p)>,-4.2007,menys runs dels esperats (agrupacio),,
13.386,P_Primavera,121,1,<lxl(9p)>,-3.386,menys runs dels esperats (agrupacio),,
10.169,P_Helga,211,0,,-10.1694,menys runs dels esperats (agrupacio),,
10.0,P_Ruth,39,1,<ppgllaglla>,,,,
10.0,P_Ruth,35,1,<ppl(3p)l>,,,,
10.0,P_Ruth,49,1,33>,,,,
10.0,P_Ruth,31,1,<ppl>,,,,
10.0,P_Ruth,33,1,<pplpl>,,,,
10.0,P_Primavera,123,1,(11),,,,
10.0,P_Primavera,127,1,(12),,,,
10.0,P_Jafisa - Grafico A,33,1,/,,,,
10.0,P_Primavera,187,1,<l(3p)gappx(3p)>,,,,
10.0,P_Primavera,167,1,<3p>,,,,
10.0,P_Primavera,119,1,<lxl(7p)>,,,,
10.0,P_Primavera,67,1,<pglla>,,,,
10.0,P_Conchita Romero,99,1,<l(2p)>,,,,
10.0,P_Conchita Romero,101,1,<(3p)l>,,,,
10.0,P_Ruth,67,1,<3>(6p)xppx(6p)3>l(agll-2v)agl>,,,,
10.0,P_Ruth,71,1,<l(6p)xagx(6p)lpp(glla-2v)pp>,,,,
10.0,P_Primavera,139,1,<aglpp(glla-2v)ppl>,,,,
10.0,P_Helga,189,1,<l(3p)(la-2v)l3l(gl-2v)>,,,,
10.0,P_Ruth,59,1,<l(6p)xagx(6p)lp(glla-2v)p>,,,,
10.0,P_Conchita Romero,169,1,<gl-(3p)>,,,,
10.0,P_Primavera,135,1,<a(4p)gl(glla-2v)l>,,,,
10.0,P_Ruth,17,1,<pplxlpplsl>,,,,
10.0,P_Primavera,133,1,<a(6p)glpgllapl>,,,,
10.0,P_Helga,197,1,<l(11p)lal3lg>,,,,
10.0,P_Helga,195,1,<l(9p)lalapglg>,,,,
10.0,P_Ruth,63,1,<3>p3>1>pp1>3>p3>l(agll-3v)lagl>,,,,
10.0,P_Ruth,75,1,<3>p3><4pp<43>p3>lpp(glla-3v)ppl>,,,,
10.0,P_Primavera,129,1,<a(10p)glppl>,,,,
10.0,P_Primavera,175,1,<l(11)lx>,,,,
10.0,P_Helga,199,1,<l(13p)lalxlg>,,,,
10.0,P_Helga,201,1,<l(15p)lapg>,,,,
10.0,P_Helga,203,1,<l(17p)l3>,,,,
10.0,P_Helga,205,1,<l(19p)lx>,,,,
10.0,P_Primavera,141,1,<alp(glla-3v)pl>,,,,
10.0,P_Conchita Romero,115,1,<l(3p)lg>,,,,
10.0,P_Primavera,137,1,<appgl(3p)glla(3p)l>,,,,
10.0,P_Jafisa - Grafico B,3,1,<lxlp>,,,,
10.0,P_Conchita Romero,97,1,<l3>,,,,
10.0,P_Pasión,97,1,<l-3>,,,,
10.0,P_Ruth,73,1,<l3>(6p)xppx(6p)3>(glla-3v)>,,,,
10.0,P_Pasión,93,1,<l(3p)l(9p)>,,,,
10.0,P_Conchita Romero,69,1,<l(4p)lx>,,,,
10.0,P_Ruth,81,1,<<4pp<4l(3p)(glla-3v)(3p)l>,,,,
10.0,P_Conchita Romero,47,1,<la(9p)gl(3p)>,,,,
10.0,P_Ruth,83,1,<<4llpp(glla-4v)ppl>,,,,
10.0,P_Ruth,69,1,<3>p3>1>pp1>3>p3>(glla-3v)>,,,,
10.0,P_Helga,39,1,<l(sp)l3>,,,,
10.0,P_Helga,31,1,<l(5p)l3>,,,,
10.0,P_Conchita Romero,21,1,<(5p)lxl>,,,,
10.0,P_Ruth,85,1,<2>llp(glla-5v)pll>,,,,
10.0,P_Pasión,99,1,<gl-3v>,,,,
10.0,P_Rosa de los Vientos,151,1,<3l>,,,,
10.0,P_Pasión,123,1,<lgl(4p)(la-3v)pgl>,,,,
10.0,P_Jafisa - Grafico A,11,1,<ll2>>,,,,
10.0,P_Gentio,39,1,(15),,,CRÍTICA,5.9978
10.0,P_Conchita Romero,125,1,<3l(3p)l>,,,CRÍTICA,8.7844
10.0,P_Ruth,1,1,5>,,,,
10.0,P_Ruth,635,1,<5,,,CRÍTICA,11.3784
10.0,P_Gentio,195,1,<3lgl(2p)lgla>,,,CRÍTICA,13.5026
8.553,P_Helga,167,0,,-8.5534,menys runs dels esperats (agrupacio),,
7.438,P_Primavera,143,0,,-7.4377,menys runs dels esperats (agrupacio),,
6.201,P_Ruth,45,0,,-6.2013,menys runs dels esperats (agrupacio),,
5.756,P_Helga,177,0,,-5.7564,menys runs dels esperats (agrupacio),,
5.695,P_Celia,107,0,,-5.6949,menys runs dels esperats (agrupacio),,
5.533,P_Primavera,191,0,,5.5327,mes runs dels esperats (alternancia),,
5.303,P_Helga,129,0,,-5.3029,menys runs dels esperats (agrupacio),,
4.798,P_Helga,121,0,,-4.7977,menys runs dels esperats (agrupacio),,
4.596,P_Conchita Romero,61,0,,-4.5962,menys runs dels esperats (agrupacio),,
4.583,P_Celia,71,0,,-4.5826,menys runs dels esperats (agrupacio),,
4.583,P_Celia,73,0,,-4.5826,menys runs dels esperats (agrupacio),,
4.583,P_Celia,75,0,,-4.5826,menys runs dels esperats (agrupacio),,
4.56,P_Helga,109,0,,-4.5603,menys runs dels esperats (agrupacio),,
4.56,P_Helga,113,0,,-4.5603,menys runs dels esperats (agrupacio),,
4.56,P_Helga,117,0,,-4.5603,menys runs dels esperats (agrupacio),,
4.451,P_Celia,25,0,,-4.451,menys runs dels esperats (agrupacio),ALTA,5.6278
4.416,P_Helga,125,0,,-4.4158,menys runs dels esperats (agrupacio),,
4.413,P_Helga,185,0,,-4.4135,menys runs dels esperats (agrupacio),,
4.292,P_Primavera,81,0,,-4.2919,menys runs dels esperats (agrupacio),,
4.129,P_Helga,103,0,,-4.1288,menys runs dels esperats (agrupacio),,
4.113,P_Primavera,97,0,,-4.1129,menys runs dels esperats (agrupacio),,
3.974,P_Puntilla del Cacus,11,0,,-3.9737,menys runs dels esperats (agrupacio),,
3.942,P_Gentio,193,0,,3.9421,mes runs dels esperats (alternancia),,
3.902,P_Gentio,73,0,,-3.9019,menys runs dels esperats (agrupacio),,
3.831,P_Gentio,159,0,,-3.8311,menys runs dels esperats (agrupacio),,
3.814,P_Ruth,61,0,,-3.8138,menys runs dels esperats (agrupacio),,
3.809,P_Primavera,113,0,,-3.8094,menys runs dels esperats (agrupacio),,
3.78,P_Primavera,189,0,,3.7802,mes runs dels esperats (alternancia),,
3.711,P_Gentio,49,0,,-3.711,menys runs dels esperats (agrupacio),,
3.679,P_Primavera,101,0,,-3.6795,menys runs dels esperats (agrupacio),,
3.679,P_Primavera,105,0,,-3.6795,menys runs dels esperats (agrupacio),,
3.612,P_Primavera,109,0,,-3.6124,menys runs dels esperats (agrupacio),,
3.584,P_Conchita Romero,91,0,,-3.5837,menys runs dels esperats (agrupacio),,
3.524,P_Ruth,51,0,,-3.5244,menys runs dels esperats (agrupacio),,
3.504,P_Pasión,85,0,,-3.5042,menys runs dels esperats (agrupacio),,
3.391,P_Gentio,41,0,,-3.3912,menys runs dels esperats (agrupacio),,
3.386,P_Primavera,117,0,,-3.386,menys runs dels esperats (agrupacio),,
3.351,P_Helga,83,0,,-3.3513,menys runs dels esperats (agrupacio),,
