teixit,volta_inici,volta_final,n_voltes,score_mitja,score_acumulat,p_valor,q_valor,significatiu_FDR,n_voltes_cross_canal,n_critiques,n_altes,n_moderades,n_normals
P_Conchita Romero,107,127,11,2.5476,28.0236,0.0010,0.0210,TRUE,1,2,3,1,5
P_Jafisa - Grafico B,59,95,19,1.1870,22.5526,0.0010,0.0210,TRUE,6,1,6,6,6
P_Renacimiento,1,9,5,0.8402,4.2008,0.0030,0.0420,TRUE,0,0,3,2,0
P_Ruth,57,77,11,2.4395,26.8347,0.3217,0.8490,FALSE,0,0,0,2,9
P_Primavera,127,145,10,1.9723,19.7232,0.0200,0.2098,FALSE,0,0,0,2,8
P_Primavera,1,15,8,1.9118,15.2944,0.1329,0.6042,FALSE,1,1,4,2,1
P_Celia,1,17,8,1.8357,14.6854,0.2717,0.8490,FALSE,1,2,3,3,0
P_Celia,21,31,6,2.2092,13.2549,0.3277,0.8490,FALSE,0,0,1,2,3
P_Jafisa - Grafico A,33,41,5,2.5875,12.9377,0.5864,1.0000,FALSE,1,1,0,3,1
P_Gentio,193,207,3,4.0099,12.0297,0.0410,0.3441,FALSE,1,1,0,1,1
P_Jafisa - Grafico A,1,11,4,2.5860,10.3439,0.7772,1.0000,FALSE,1,1,1,2,0
P_Ruth,81,89,5,1.8903,9.4514,1.0000,1.0000,FALSE,0,0,0,2,3
P_Primavera,187,193,4,2.1504,8.6015,0.6733,1.0000,FALSE,0,0,0,2,2
P_Helga,195,205,6,1.3389,8.0333,0.1439,0.6042,FALSE,0,0,0,0,6
P_Helga,7,23,9,0.8768,7.8911,0.2068,0.7896,FALSE,1,1,1,3,4
P_Ruth,1,7,4,1.6741,6.6964,1.0000,1.0000,FALSE,0,0,1,3,0
P_Primavera,113,123,6,1.1053,6.6320,0.9990,1.0000,FALSE,0,0,0,1,5
P_Celia,69,75,4,1.5810,6.3240,0.9990,1.0000,FALSE,0,0,0,0,4
P_Ruth,31,35,3,2.0352,6.1057,1.0000,1.0000,FALSE,0,0,0,0,3
P_Pasión,97,103,4,1.4482,5.7928,0.2707,0.8490,FALSE,0,0,0,3,1
P_Pasión,69,75,4,1.3937,5.5747,0.2857,0.8490,FALSE,0,0,0,3,1
P_Ruth,49,53,3,1.8001,5.4004,1.0000,1.0000,FALSE,0,0,0,0,3
P_Pasión,121,125,3,1.6947,5.0841,0.3437,0.8490,FALSE,0,0,1,0,2
P_Conchita Romero,97,103,4,1.1922,4.7686,0.9990,1.0000,FALSE,0,0,0,0,4
P_Helga,27,33,4,0.7303,2.9211,1.0000,1.0000,FALSE,0,0,0,0,4
P_Jafisa - Grafico C,21,25,3,0.9456,2.8367,0.0609,0.3656,FALSE,0,0,1,0,2
P_Conchita Romero,17,21,3,0.9272,2.7815,1.0000,1.0000,FALSE,0,0,0,0,3
P_Conchita Romero,39,47,5,0.4866,2.4328,1.0000,1.0000,FALSE,0,0,0,1,4
P_Primavera,101,109,5,0.4830,2.4149,1.0000,1.0000,FALSE,0,0,0,0,5
P_Cori,1,7,4,0.5807,2.3228,0.0509,0.3566,FALSE,0,0,0,2,2
P_Gentio,1,5,3,0.6904,2.0711,1.0000,1.0000,FALSE,0,0,2,1,0
P_Pasión,1,5,3,0.6416,1.9249,1.0000,1.0000,FALSE,0,0,1,2,0
P_Rosa de los Vientos,1,5,3,0.5079,1.5237,1.0000,1.0000,FALSE,0,0,0,2,1
P_Conchita Romero,159,163,3,0.3983,1.1949,1.0000,1.0000,FALSE,0,0,0,0,3
P_Puntilla del Cacus,11,15,3,0.3881,1.1642,0.0929,0.4878,FALSE,0,0,0,0,3
P_Helga,65,71,4,0.2759,1.1034,1.0000,1.0000,FALSE,0,0,0,1,3
P_Gentio,223,229,4,0.2569,1.0275,1.0000,1.0000,FALSE,0,0,0,1,3
P_Conchita Romero,173,177,3,0.2431,0.7294,1.0000,1.0000,FALSE,0,0,0,0,3
P_Helga,43,53,6,0.1104,0.6622,1.0000,1.0000,FALSE,0,0,0,3,3
P_Conchita Romero,1,7,4,0.1412,0.5648,1.0000,1.0000,FALSE,0,0,0,3,1
P_Rosa de los Vientos,83,91,5,0.1105,0.5527,1.0000,1.0000,FALSE,0,0,0,0,5
P_Primavera,71,75,3,0.1263,0.3788,1.0000,1.0000,FALSE,0,0,0,0,3
